title	address	city	theme	introduce	traffic_guide	open_time	ticket_information	ticket_price	ticket_total	ticket_surplus	stars
广西北海	 广西·北海 广西壮族自治区北海市 	北海	森林 海滨 赏花	"广西壮族自治区北海，位于广西最南端，北部湾东北岸，北海是一个浪漫的城市，风光旖旎，气候宜人，让人流连忘返。它还是一座具有亚热带滨海风光的美丽城市，拥有中国优秀旅游城市的称号。
北海是中国南部海滨的一座美丽的花园城市，道路宽阔笔直，绿树成荫，碧蓝的大海，明媚的阳光，沙白水净的海滩，中西合壁、华洋并存的市区建筑，环境优美的住宅小区，别具风格的绿化广场，大自然优厚的馈赠为这里钩画了一幅美丽的画卷。城市居民淳朴友好，珠乡文化、客家文化、蛋家文化形成了鲜明的地方文化风貌。
北海地处亚热带，阳光充沛，雨量充足，植被丰茂。全年花繁叶绿，四季瓜果飘香。自然环境得到很好的保护，大陆和海岛沿岸有众多天然优良海滩，海水温净碧透，浪软如毯，自净力强。水质为国家一级标准。北海空气的清新可谓全国之最，在全国各城市中居优级领先地位。是中国可适宜居住城市的“三海一门”（即珠海、北海、威海、厦门）中的一海。可称得上是免费的氧吧。
北海拥有北海银滩国家旅游度假区和涠洲岛、星岛湖两个省级旅游度假区、观涛岭国家森林公园、山口国家红树林自然保护区、美人鱼国家自然保护区、白龙珍珠城遗址、合浦汉代墓葬保护区、大士阁、东坡亭、欧美领事馆旧址等一大批景点，集“海、滩、岛、湖、林、山、古迹、人文”于一体。北海银滩被国家列为中国五个最美度假胜地之一。广西则以“北有桂林山水，南有北海银滩”而自豪。
北海印象
海上丝绸之路
“海上丝绸之路”是古代中国与外国交通贸易和文化交往的海上通道。关于这条海上贸易线路的起点一直争议不断。史书记载，2000多年前的汉代，就有由“黄门”宦官和译长率领、私商应募参与的“官方”船队，从北部湾北海市现辖下的合浦等地出发，沿中南半岛海岸，经南洋抵达印度洋，进入中亚。北海在遥远的两汉时代就成为中国对外开放的前沿地带，成为传播中华文明和中外经济文化交流的重要门户。作为最早的“海上丝绸之路”始发港，在北海市合浦县城廉州镇周边，至今仍保存着近万座汉墓。随着历史变迁，“海上丝绸之路”始发港逐渐东移，广州、泉州、宁波等地因为大量贸易活动的史料发现及城市发展规模，成为“海丝”始发港的当然“代表”。
2011年，北海加入了“海上丝绸之路”世界遗产申报城市的行列，与广州、漳州、泉州、宁波、扬州、蓬莱等6城市建立了中国“海上丝绸之路”7城市文化遗产研究、保护、利用和联合申遗工作联席会议机制。
涠洲风情
找一个岛，太阳起得不太早，同行的陌生朋友，醒来连名字都不知道；
找一个岛，月亮爬得不太高，谈天、喝酒、说笑，还有螃蟹围着客厅跑；
找一个岛，走路走到快睡着，偶尔想被人打扰，只有牛过小路在吃草.....
有一个岛，北部湾上找得到，阳光、沙滩、海水，还有珊瑚和海草；
有一个岛，火山熔岩景观好，万年前波涌出，还有依依相伴斜阳岛；
有一个岛，哥特教堂是国宝，三婆圣庙神韵在，还有龟豕拱碧迎客到；
有一个岛，北部湾上涠洲岛，南海碧波镶翡翠，真是人间蓬莱天下少！
海上“吉普赛人”
北海的疍民是个特殊的群体，他们以前大多居住在小舟上，以舟楫为家，舟小如疍，故称疍民。有的人类学家认为他们是古越族的后代，因为常年漂泊海上,他们被称为海上的“吉普赛”人。
对于“疍”这个名城的来历，疍家人表示，这是因为他们常年与风浪搏斗，生命难以得到保障，如同蛋壳一般脆弱，故称为疍家。疍民和客家人一样，他们漂泊、迁徙、避世。不过，客家人躲进深山老林，而他们则隐身于汪洋大海。
疍民没有统一的语言，有部分疍民仍保留原祖籍的语言，部分地区的疍民语言与当地居民同化，已没有独立语言。疍民风俗习惯与当地汉族相同，宗教信仰为佛教，但他们更信奉龙皇，初一、十五都会上香，并且非备猪、羊奠祀不可，祈求神明保佑他们平安、幸福。
"	飞机：北海福成机场距离市区24公里，到北京、上海、长沙、武汉、深圳、昆明、重庆、成都、广州、郑州、桂林、杭州、海口、梧州、珠海等都有航线，铁路：有南宁到北海往返专列，公路：北海共有4个汽车站，汽车总站最大最规范，二运和客运中心有少量车，西区客运服务站多走广东北海市。，火车：北海铁路只开通北海—南宁的往返列车，一般到北海选择列车的话，都是先乘火车到南宁，再转车到北海。目前南宁已开通直达北海的快速列车，行程约三小时，南宁直达北海的快速列车，发车时间在早上九点和下午两点左右。	北海海底世界开放时间：8：00——18：00，海洋之窗4D影院播放时间：8:00--18:00 	"         欣欣价-广西北海海洋之窗门票：80元起（省58元）；
欣欣价-金海湾红树林门票：80元起（省25元）；
欣欣价-渔家乐游船票：80元起（省100元）；
欣欣价-海底世界门票：90元起（省48元）； "	2	314	314	3
北海银滩	 广西·北海 北海市 	北海	NA	"北海银滩被列为国家级旅游度假区，为中国的35个“王牌景点”之一，享有“天下第一滩”的美誉。她东西绵延24公里，以滩长平、沙细白、水温净、浪柔软、无鲨鱼、无污染的特点称奇于世。
银滩位于北海南部海滨，距市区8公里。银滩长24公里，一年中可有9个月时间下海。在阳光的照射下，沙滩会泛出银光，故称银滩，以滩平、沙白、水净、浪柔等特点，被喻为""中国第一滩""。银滩景区主要分为银滩公园和海滩公园。
这里空气清新自然，负氧离子含量是内陆城市的50-100倍，年平均气温22.6摄氏度，是康复休养的好环境。北海银滩公园依据自身的旅游特点和旅游优势，推出了许多独具特色的旅游项目：大型海滨浴场、精彩刺激的海上摩托快艇、一教就会的安全卡丁车、沙滩摩托车、痛快淋漓的沙滩足球、浪漫欢乐的异国民族风情歌舞......
游玩要点：游泳场在银滩公园和海滩公园，周末晚上海滩公园里有音乐喷泉“潮”、水幕电影、及放焰火。
如何区分银滩公园和海滩公园？
银滩公园和海滩公园是两个公园，都免费。两者中间被渔船的避风港隔开，不能沿着海滩直接走过去。其中，音乐喷泉是在海滩公园里的，另外3路车也是先到海滩公园后到银滩公园的。海滩大酒店出来正前方即为海滩公园，有个大球形状的音乐喷泉，而从北海银滩正门进去即为银滩公园。


"	从市区打的15分钟左右可到达银滩，费用15元左右，可讲价，也可坐3路公车(2元/人)到达终点站即为银滩。北海银滩公园内有电瓶车，可以环海观光游览，10元/人。	NA	NA	NA	391	391	3
北海涠洲岛	 广西·北海 广西北海半岛东南面36海里处 	北海	海滨 岛屿 公园	"
北海市拥有广西最大的海岛涠洲岛。涠洲岛位于北海半岛东南面24海里处，由南至北长6.5公里，由东至西宽6公里，最高海拔79米，北海涠洲岛是我国最大最年轻的火山岛。岛上住有2000多户人家， 16000多人口， 85％以上都是客家人，岛上不但气候宜人，资源丰富，风光秀丽，景色迷人，四季如春，气候温暖湿润，富含负氧离子的空气清新宜人，具备世界旅游界向注的“三S （海水sea 、阳光sun、沙滩sand的旅游资源十分丰富的岛屿；故素有“大蓬莱”仙岛之称。
在高空鸟瞰，面积为25平方公里的涠洲岛犹如一枚翡翠漂浮于湛蓝的大海中。踏上这座火山岛，撞入眼帘的是奇特的海蚀海积地貌与火山熔岩景观――猪仔岭憨态可掬，鳄鱼石栩栩如生，滴水岩泉水叮咚，红色火山岩好象刚刚喷发过……位于盛堂村的法国天主教堂，更是在19世纪末就落户岛上，材料全部取于岛上的珊瑚、岩石，历经百年岁月，依然坚固如初。四百多年前，明代著名戏剧家汤显祖游览该岛，写下“日射涠洲廓，风斜别岛洋”的诗句。
猪仔岭
猪仔岭位于涠洲岛月牙形海湾的中心部位，与岛相离100米，有乱石堆成的小路通往其上，在涨潮时，这条路会被海水淹没。这座耸翠的小岛酷肖一头匍匐着的肥猪，小小的双眼、短短的耳朵、高高的前额，身躯丰盈，膘悍粗犷，唯妙唯肖，叫猪仔岭。
天主教堂
涠洲岛天主教堂是法国文艺复兴时期哥特式建筑，整个建筑群由教堂、男女  修道院、医院、神父楼、育婴室等组成。当时还没有钢筋水泥，建筑材料全取自岛上的珊瑚、岩石、石灰拌海石花及竹木建造。一百多年来，涠洲岛天主教堂虽经历了多少风雨的冲刷，仍保存完好。
法国哥特式的天主教堂颇具特色，它高13.5米，长56米、宽17米，全用岩石、珊瑚粒及竹木瓦建造，建筑面积为1500平方米，教堂内可容纳教徒1500人。涠洲岛天主教堂始建于清代同治年间（公元1861──1880年）历经20年才建成。据说此教堂为当时全国四大教堂之一。涠洲天主教堂由钟楼、修道院学堂、医院、育婴堂所组成。由于“文革”的扫“四旧”，除教堂和钟楼外，其余都已荡然无存了。迄今仍可供教徒们在教堂内弥撒祈祷和供后人观瞻。现有信徒2000多人，每逢星期日，便有信秆到此做礼拜，热闹非凡。
火山口地质公园
火山口意即火山喷发时的口子，在涠洲岛的西南边，在“鳄鱼”山脚下，因壮观的火山熔岩而出名，是涠洲岛上最主要的景区，2010年1月13日，顺利通过了国家旅游局专家评审组审核评定，被国家旅游局评为国家4A级旅游景区。这里的火山岩石千姿百态，各种形状都有，奇妙极了，让人不得不感叹大自然的妙笔生花。
火山口确实很美，岩层一层一层的，像关于火山喷发的科普书一样，在说着涠洲岛久远的故事。
有风的时候，一浪涌着一浪，扑到岸边的岩石上腾起高高的白花，发出“轰轰”的响声。蓝天、白云、岩石、巨浪交相辉映，美不胜收。
滴水丹屏
滴水丹屏在涠洲岛滴水村南岸边，原名滴水岩。绝壁上部绿树成荫，壁上层间裂隙常有水溢出，一点点往下滴，如朱帘垂挂。由于海蚀作用，岩石的外表形态犹如一有眼、有鼻、有嘴、有发的巨型侧面“人头像”（现已倒塌），景致优美。
滴水丹屏的海滩非常不错，靠近水边的沙子很细腻，中间铺满了碎珊瑚，再往岸边就是松树林。在这里游泳的人很多，在海里随着海浪的涌动时而跳跃，时而漂浮。
滴水丹屏是赏日落的最佳位置。在晴天的时候，每当傍晚时分，将落的太阳会绽放出一天中最后的灿烂，为我们呈献出最绚丽的晚霞。
五彩滩
五彩滩，原名芝麻滩，是因沙滩上有许多像芝麻一样的黑色的小石粒而出名。退潮后的芝麻滩格外的漂亮，巨大的火山岩石一层一层的，在阳光的照射下特别的壮面。大片大片的火山熔岩裸露出来，特别的宽阔。许多地方虽然海水退了，但还是留下了大片大片的一洼一洼的水，在蓝天的映射下，一洼一洼的水在视线中也变成了蓝色，和裸露的岩石一起，很是迷人。远处蓝蓝的天和蓝蓝的海水成了一色，白白的云点缀蓝蓝的天，让天空更生动；海水时而很温柔地亲吻着火山岩石，时而遇到岩石便跳跃起来，飞溅成白色的美丽的浪花。
碰到好天气，在芝麻滩远眺，离涠洲岛约9海里远、面积约1.89平方公里的斜阳岛犹如就在眼前。
石螺口海滩
石螺口海滩和其它的景点都不一样，即有国内其它地方海滩的那种浪漫，又有涠洲岛特有的原始与自然。石螺口海滩的沙子很漂亮且很松软，在阳光的照射下很白，刺的人睁不开眼晴。天空与白云、海水与浪花、沙滩与茅草棚、渔船与远处的风景、戴着斗笠织网的渔民与躺在太阳伞下戴着太阳镜的游客，很自然地构成一幅无可言说的风景。
石螺口海滩也是涠洲岛上最佳的潜水基地，如果您有兴趣，穿上潜水服，跟着潜水教练一起潜入深秘的海底，与美丽的珊瑚来个亲秘接触可能会让您的涠洲之行终生难忘。
在石螺口海滩，您可以租上太阳伞和椅子，要一些冷饮，很惬意地躺在太阳伞下，一边观赏着美景，一边喝着冷饮。困了就眯上眼睡一会，睡醒了就去沙滩上踩着浪花走一会，在这里只有你才是大自然的主人，怎么玩你说了算。
涠洲岛灯塔
涠洲灯塔位于涠洲岛之巅，1956年设立，原为铁架结构，1969年改建为石塔。由于原灯塔高度不够，导航性能较差，加之建设简陋，与涠洲岛的旅游景点很不相称。2002年，广东海事局拨款100多万元重建后的涠洲灯塔，高22米，设计考究，建造工艺精细，是一个不可多得的建筑精品；其内设旋转楼梯，上落方便，梯级铺贴红色花岗岩面层，显得名贵高雅；塔身内侧贴白色瓷砖，外侧面贴白色仿石砖，洁白如雪；灯塔采用高级铝合金刚化玻璃水密窗，耐腐蚀、防水性好；塔的底部和悬挑室底板处巧妙地开设通风孔，使灯塔内部长期处于通风透气状态；塔顶安装上海产铜制灯笼，灯光射程18海里；灯塔上部设计有瞭望台，游人登塔极目远眺，全岛风光尽收眼底 。
"	去涠洲岛要先到达北海市，再乘船前往涠洲岛。而到北海一般情况下都需要从南宁市中转。乘坐轮船是到达涠洲岛的唯一途径，一般都会从北海国际客运港登船。	08:00-18:00 	         欣欣价-涠洲岛国家地质公园成人票：108元起（省7元） 	75	363	363	3
北海冠头岭	 广西·北海 北海市区西南 	北海	NA	冠头岭国家森林公园在北海市区西南，距市区8公里，犹如一青龙横卧海面。因坡岭宛延起伏，状如窿冠因而得名。它曾是历史上北部湾畔人民作为抵抗帝国主义侵略的天然屏障，主要由风门岭、丫髻岭、马鞍山三个山体组成，自西南而东北弓行走向的3公里多的全岭，密林覆盖，绿荫苍郁，四季长青，气候温暖。　 冠头岭长6公里，其主峰高120米，登峰可观日出日落、万顷海涛。晚上，海上渔火点点，景色分外迷人。临海一面海蚀景观错落别致，姿态万千。西南麓下海湾，海水清澈见底，巨大的礁石群错落嶙峋，古迹龙王岩（廉阳古洞），因海浪侵蚀沙岩，壁基裸露，现出突兀参差的怪石奇观。 在冠头岭登山远望，海天一色，帆影点点，令人顿觉心旷神怡。朝观日出夕赏日落，听浪涛拍岸，看浪花卷起千堆雪，大自然的天籁美景，美不胜收。	市区可乘6路公交车到达。	NA	NA	NA	347	347	3
南国星岛湖	 广西·北海 广西北海长青东路21号 	北海	湖泊 游船 赏花	"星岛湖旅游区是利用洪潮江水库发展建成的一个内陆湖旅游度假区，整个水库水面面积6660公顷。湖内的1026个岛 屿象星星一样密密麻麻地座落在清澈湛蓝的水面上，星岛湖因此而得名。这里冬暖夏凉，湖面宽阔，湖水清澈湛蓝，光影鉴人，湖深最深达三十二米。
岛上林木苍翠、百花争妍，到处是水依岛、山绕水，让你萌生一种“山在水中长，水在林中流”的感觉。
这里优雅的环境，清新的空气，茂盛的植被衬托出天水一色的迷人画面，从车水马龙、尘土飞扬的大都市来到这好 比仙境的世外桃源，大家的心情一定会很舒畅，会有一种返朴归真、心旷神怡的感想。
星岛湖旅游区的开发建设在总体规划上分为11个功能区：名桥名亭会萃景区、湖山胜地景区、垂钓区、水上运动区 、水上迷宫区、影视城、凤赏动物区、旅游果无区、度假区、生态环境保育区和农业生产基地等。
"	"自驾路线：
北海市区—迎宾大道—南北高速—星岛湖出口—终点。"	8:30-18:00 	"         欣欣成人门票价：98元起（省40元）；
特惠政策：A.免票政策：儿童身高1.2米（含1.2米）以下免费。
B.优惠政策：儿童身高1.2-1.4米、70周岁以上老人（凭老年证或身份证）购景区优惠票（上述优惠政策，需到景区自行购买）。 "	110	314	314	2
北海海底世界	 广西·北海 北海海滨公园内 	北海	NA	北海海底世界座落在北海海滨公园内，是我国西南地区最大的海底世界观光旅游项目，其总占地5亩，有大型观赏水体五处，总储水量超过5700吨，分为A，B个馆区。A区就是原来的北海水族馆，该馆具有二十多年历史，与青岛水族馆并列为中国最早的水族馆。该馆以前曾是较为全面的海洋水族馆。在海底世界建成后，就成了以展出淡水观赏鱼为主的A区。现在A区最为精彩的展区就数原水族馆的珊瑚鱼厅和海龟馆了。B区即为新建的海洋馆，其展示方式为第三代水族馆模式。 　　北海海底世界的展示方式和规模在全国十大海洋馆中名列前矛。其中有多个全国第一：第一个把日本八景岛海洋馆区形鱼池概念引入中国，鱼池总高度超过三层楼，内有装备重型潜水器械的潜水员作深潜水表演。将号称世界第一的日本岛羽水族馆平板框架形海底遂道移入北海，并饲养了数拾条凶猛的鲨鱼。届时还可欣赏到人鲨共舞的惊险表演；有迄今国内最大、最高的压克力大圆柱鱼池，数十种上千条珊瑚礁鱼（又称蝴蝶鱼）在大水体内百蝶争艳；还有国内第一次投入使用的360度全方位透视海底隧道，这些使北海海底巨轮增添了无穷的神秘感和吸引力。	"1、市区可乘3、9路公交车到达。
 2、乘摩的2－5元。"	NA	NA	NA	374	374	4
北海海洋之窗	 广西·北海 北海市四川南路中段 	北海	游乐场	"
1. 国家AAAA级旅游景区
北海海洋之窗是国家AAAA级旅游景区、全国科普教育基地，座落于我国富饶美丽的北部湾之滨，占地2.1公顷，建筑面积18,100平方米。景区由神秘绚丽的活体珊瑚、丰蕴深厚的航海历史文化、高科技造景技术的新一代无水水族馆、创多项国内之最的巨型圆缸景观，及逼真刺激的国际最先进的4D动感电影等构成。是一座引领海洋科技时尚、传播海洋文化品位、领略海洋无限风光的大型综合性海洋博览馆！

2. 珊瑚海：
① 目前世界上最大最全的活体珊瑚展示缸，环型展缸长达28米，高3米，国内顶级活体珊瑚养殖技术，展示156个品种，2600多朵来自世界各地五彩斑斓的活体珊瑚，通过调节水质、水温、光线来控制其舒展和休息时间，让大家不必潜水冒险就能轻松地欣赏神秘绚烂的活体珊瑚，就算渔民在海上工作一辈子也不曾见过如此壮观的珊瑚。
② 展缸同时模拟了珊瑚的生态环境，展示了300多种热带观赏鱼。
③ 展缸总水体超过一千吨。

3. 海洋剧场展厅（人鲨共舞表演，每天5场）：
①目前是国内最大的水族展缸，创四项之最：最大—圆缸直径长达11米；最深—缸体高达13米，有三层楼体的深度；最重—缸内水体超过1000吨；最奇—四面通透的缸体隧道从圆缸中部直穿而过。
② 欣赏绿色海洋人鲨共舞、美人鱼等精彩表演，体验人与自然和谐共处典范。

4. 高科技打造的无水水族馆：
① 您有没有见过在您面前游来游去，却摸不着还会变的鱼？鱼缸里没有水，鱼在畅游……一睹为快！
② 在海洋之窗的梦幻海洋展厅，您将领略到新一代高科技无水水族馆，例如摸摸鱼，魔幻奇宫，海洋百科全书……该项技术在国内唯海洋之窗仅有。

5. 负压缸：俗话说，人往高处走，水往低处流，您有没有见过水不往低处流的奇妙景观呢？在海洋之窗你可通过水族箱玻璃上的圆孔，伸手进去与鱼儿亲密接触、玩耍，妙不可言。

6. 时光隧道：
① 国内绝无仅有的荧光纯手工壁画，由日本著名荧光画大师远山先生花了3个多月画成，价值超三百万元。整个壁画描述了海洋形成、发展过程和未来的遐想，即海洋的昨天、今天和未来，在这里你可以完全放飞你的想象；
② 该壁画另一奇妙之处：如果关闭荧光灯，壁画会变成一面白墙，什么也不见，但是打开荧光灯后，画面栩栩如生，层次分明，你不得不惊叹大师的高超技艺。

7. 海之角：
① 现代人类离婚率不断攀升，而在我们大海中却有一种生物对爱情始终忠贞不移，成年后一旦找到另一半就会终生不分开，这种海洋生物就是中华鲎，中华鲎和恐龙是同一个时代的生物，因此也被誉为海洋生物的活化石。
② 在海之角您能亲密接触到100多岁、重达300多斤的大海龟，您也可以往海龟背上掷硬币，以祈求好运。

8. 贝类区：汇集世界600多个种，7000多枚多姿多彩，各种形态的珍稀贝类，中国四大名螺，还有一枚国内绝无仅有的镇厅之宝--龙宫翁戎螺，价值高达60万人民币

9. 动感4D影院（独立售票）：目前国际最高水准的特种电影，三维立体加现场感觉--喷洒、撞击、水雾、扫腿、摇晃、震动，让您不仅在看电影，而是身临其境完全融入电影之中。

10. 全国科普教育基地：高层次的科普教育意义，是学校、部队等单位首选的科普教育基地，是广大青少年儿童不得不看的地方。

11. 专业讲解服务：俗话说，看景不如听景，海洋之窗提供全程导游讲解服务，让客人看听景结合，尽情领略海洋奥秘。

"	北海市四川南路中段，从北部湾广场往北海银滩方向直行即可到达。	08:00-18:00；17:20停止入园 	     门票：138元。动感4D影院票：25元。 	80	310	310	2
北海北部湾广场	 广西·北海  	北海	海滨 广场	"北部湾广场位于市区中心，广场上的大型喷泉雕塑名为“南珠魂”，为全国著名雕塑家叶毓山所作。 圆球展览馆原为一巨大蓄水池，经改建后辟为展览馆，结构独具一格；紧邻是下沉喷泉广场，为周未举行广场文艺晚会之用。该广场在广西数一数二。
北部湾广场地处北海市中心，广场中央矗立着15米高的巨型人工珠贝雕塑“南珠魂”，是北海的城市标志。广场周围则是北海市最繁华的商业区，有启东商城、新力百货商业广场等大型购物场所。
“南珠魂”雕塑以水池、珠贝、人像作素材，表达大海、珍珠、劳动者的主题。雕塑的底座是一座喷水池，当中竖立着钢筋水泥制成的三面一体的珍珠贝。珍珠贝壳向三面张开，当中镶嵌着一颗不锈钢制造的“大珍珠”，水池里有三尊大型青铜雕像。
北部湾广场虽然并不是很大，但因为地处商业中心，周边吃饭、娱乐、购物都很方便，茶余饭后来广场走走、看看喷泉，感觉不错。
"	"1、市区可乘3、9路公交车到达。
 2、乘摩的2－5元。"	全天开放。 	       无需门票。 	2	321	321	3
北海海上观光游	 广西·北海 北海市海城区海角路港务局客运站码头 	北海	NA	"北海扬帆领航游船投资有限公司坐落于泛北部湾经济合作区的中心---北海市，成立于2013年初，并已合法取得“ 海上游”经营资质。公司投巨资新建了10艘新型豪华游船，拥有良好的经营环境和经过严格培训的高素质专业人才，并致力打造集旅游观光、休闲娱乐、会议接待为一体的高端、合法、规范 的新型游船经营模式。
本公司现有47座豪华游船8艘，32座豪华游船2艘（32座船装修更显豪华、舒适），均长25米、宽5米。游船配备全 封闭空调ktv船舱、全景观光平台、垂钓区、麻将、沙滩椅、地笼、渔网、各式热带水果、特色现磨咖啡等设施与服务！并对每一位上船游览的客人提供更多的安全保障---人生意外伤害险及 医疗险！
北海扬帆领航游船投资有限公司将结合北部湾特有风光以及环北海美丽的滨海城市景观，让您体验全新、高端的海 上休闲游览方式，并率先发展成为一只具有多功能作用的海上游船团队。公司产品定位为海上休闲观光游---即让您感受到环北海半岛的美丽风光，又能体验北海疍族“渔家乐”的独特风情！
"	NA	NA	NA	NA	306	306	5
广西海上豪华型观光游艇	 广西·北海 广西省北海市海城区海角路北海港客运站 	北海	游船	"在约两个半小时的航行中，游船环将北海半岛一周，途径冠头岭-北海港客运码头-外沙海鲜岛-北部湾一号，缓缓行驶于波光粼粼的海面上，饱览海滨旖旎风光的游人吹着海风，踏着海浪，品着海鲜，享受疍族独一无二的渔家风情。
可载游客50人的“北港邮31、32号”游轮，长22.63米，宽6米，是一艘高档次的豪华观光游船。该船外型采用现代化观光玻璃钢材质，船上配有会议投影仪、豪华音响、真皮沙发等现代化设施。其结构共分两层：一层为观景大厅，二层是观光甲板。
"	自驾：北海汽车总站--广东路--中山路--中山西路--北海港客运站	8:30-17:30 	     258元起 	98	367	367	3
