title	address	city	theme	introduce	traffic_guide	open_time	ticket_information	ticket_price	ticket_total	ticket_surplus	stars
南宁大明山	 广西·南宁 南宁武鸣县两江镇明山路1号 	南宁	山脉	位于武鸣县东北部约３８公里的大明山，是我国南方较大的山脉之一，横跨上林、马山、宾阳、武鸣四县，平均海拔１２００米，主峰龙头山海拔１７８５米，是桂中南最高峰。它的山高坡陡，沟谷幽深，溪流纵横，林木茂盛。这时气候凉爽多雨，年平均气温为摄氏１６度左右。由于地势和气候的特殊条件，使这里保留有大面积的天然生态系统，有丰富的植物资源和各种珍奇动物，植物１８００多种，其中有长苞铁衫、白豆杉、穗花杉、三尖杉等珍贵树种。野生动物８０多种，其中黑叶猴、懒猴为国家一级保护动物。 大明山的主要游览景点有：奇峰幽谷。以甘南大河谷最为壮观，烟雾缭绕，难以见底，两岸奇峰陡峭。高山草坪。大明山主脉群峰之顶有六片天然大草坪，草坪四周古木环绕，中间则长草不长树，甚为奇特，人称天坪仙圩。深山飞瀑。瀑布连冲三级，最大一级高约６０米，如龙尾摆动，称“三滩龙尾瀑布”。大明山还有一非常罕见的一景，就是“照仙境”。	"1. 武鸣县内驾车：
1) 从起点向正西方向出发，沿兴武大道行驶40米，过右侧的武鸣宏声家用电器经营部，左转进入建设街
2) 沿建设街行驶150米，过右侧的万盛购物中心约170米后，右后方转弯进入灵源路
3) 沿灵源路行驶340米，直行进入五海桥
4) 沿五海桥行驶80米，过五海桥直行进入灵源路
5) 沿灵源路行驶400米，过右侧的武兴百货批发，右前方转弯进入武华大道
6) 沿武华大道行驶1.3公里，直行进入武鸣互通
7) 沿武鸣互通行驶710米，稍向右转
8) 继续沿武鸣互通行驶70米，右前方转弯
9) 继续沿武鸣互通行驶560米，朝河池方向，稍向右转
10) 继续沿武鸣互通行驶780米，在武鸣互通式立交桥从入口进入都南高速公路"	每年3月1日至10月31日：8:00-20:00；11月1日至次年2月28日（闰年为2月29日）：8:00-19:00 	     128元。欣欣票价：85元起。 	48	354	354	4
南宁良凤江	 广西·南宁 中国广西省南宁良凤江国家森林公园 	南宁	NA	位于南宁市南郊，距市中心14.5公里处，市区往机场的公路横贯公园腹地，从市中心乘301路公共汽车可直达公园。园内有清澈的良凤江缓缓流　过，江畔林木繁茂，亭阁错落，芳草萋萋，野花点点，环境特别清秀恬美。园中有亚热带树种及广西濒临灭绝的树种共122科1294个品种，属国家保护植物的85种。公园的景点可以划分为：菩提佛光、双狮拜佛、树木家园、阳光部落、八卦水域、休闲河州、雨林天簌、激情地带、绿岛龙珠、原始群落等十个各具特性的景点公园内可以满足游客游览、烧烤、登山、划船、垂钓、游泳、森林浴、会议、度假、科普、科研、文化娱乐、集体活动等不同需要，大凡来者， 均可以自得其乐。		NA	NA	NA	300	300	3
武鸣伊岭岩	 广西·南宁 广西省南宁市武鸣县双桥镇伊岭村 	南宁	洞穴	"伊岭岩，壮语称“敢宫”，意思是宫殿一样美丽的岩洞，因地处伊岭村而得名。它与广西许多岩洞一样，它是一座典型的喀斯特岩溶洞。此岩原为一段地下河道，因地壳上升而成洞。经过千万年水对岩石的溶蚀作用，洞中钟乳密布，千姿百态。岩洞形似海螺，深四点五米，面积两万四千多平方米，游程一千一百多米，大小景点一百多个。它的洞口在一片青篁绿树之后，一爿绝壁之下，甚为绝妙。 进得洞去，回眸洞口，就会赫然发现有两只雄狮立于道旁，好象在欢迎远道而来的客人，这就是进洞第一景“双狮迎客”。再往前走，经过一棵“满树娇花红似火”的“木棉树”下，就来到了充满丰收喜悦的“壮乡”，金灿灿的“稻穗”堆积如山，硕大的“玉米”铺金叠银，各式各样的“瓜菜”堆满屋。“壮乡”的前面是一条九曲十八弯的小路，只见回廊曲折，洞穴幽深，地势越来越高，景致越来越险奇，此时游人走上的就是“空中走廊”了。
"	"1.伊岭岩位于南武二级公路中段，距水南高速公路伊岭岩出口站3公里。 
2.在南宁市安吉客运站乘坐南宁至武鸣的中巴车，到伊岭岩大门下车即可，10分钟发一班车。 
3.伊岭岩距武鸣县城15公里，乘坐武鸣至花花世界的4路公交车，到伊岭岩大门下车，三十分钟发一班车。"	8:30—16:30 	"     成人票60元，儿童票30元
A.免费政策：儿童1.2米以下【不含1.2米】免票；老人70周岁以上凭身份证或当地老年证可免公园门票。
B.优惠政策：儿童身高1.2米-1.5米之间【含1.2米，不含1.5米】半价。 "	30	356	356	4
南宁大王滩	 广西·南宁 广西首府南宁市南郊28公里处 	南宁	NA	大王滩国家水利风景区位于广西首府南宁市南郊28公里处，依托大王滩水库而建，以秀丽的江南湖光山色和恢宏的现代水利工程而著称，人称首府南宁的“后花园”，属绿都南宁十大景区之一，广西优秀旅游风景区。大王滩水库坐落于美丽的凤凰岭下，又被人们美称为凤凰湖，位于源自广西十万大山的八尺江中游。过去河流穿过凤凰岭和猫头山形成峡谷险滩，人们为了祈求风调雨顺和过往船只的平安，在峡谷旁建了一座大王庙，故称大王滩。		NA	NA	NA	357	357	4
南宁龙虎山	 广西·南宁 广西南宁市隆安县龙虎山自然保护区 	南宁	NA	龙虎山自然风景区离首府南宁市78公里。景区内动植物众多，不少为国家一级保护动植物。旅游区内群峰叠翠，四季长青，古藤，竹桥，碧水，楼宇，百鸟唱林间，群猴迎游客。现已向游人开放的有：深山逗猴、溶洞奇观、石林盆景、天然植物园、水上游艇、翠海观仙女、壮家小竹楼等。目前，龙虎山已建成较为完善的吃、住、玩一条龙服务，是集旅游、度假、避署、疗养、教学、科研、会议于一体的理想胜地。		NA	NA	NA	303	303	2
南宁海底世界	 广西·南宁 广西省南宁市民主路人民公园后门内 	南宁	游乐场	"南宁海底世界位于广西首府南宁市人民公园内，占地5000多平方米，是广西规模较大的游乐公园及水族馆之一，也是南宁地区甚至广西的海洋教育中心及海洋动物保护区，被评为2005年南宁市优秀旅游景区。神奇美丽、变幻莫测、绚丽多彩的海底水晶就在你面前，一起揭开它的神秘面纱，感受它独特迷人的吸引力，一起探索海平面下的生命惊奇。
南宁海底世界建筑分布于南宁市人民公园内,设有两个进出口：正门入口及海狮剧场入口。拥有十二个主题游乐区，分别为：触摸池、海底长廊、沙滩和千年海龟池、珍奇贝壳馆、鲨鱼表演馆、梦幻水径、时光隧道、海底观光船、小迷宫、水晶城、鲳鱼馆、海狮剧场。主打四个特色娱乐表演节目：海狮表演、人鲨之恋表演、魔鬼鱼进食表演、水中芭蕾表演。还有丰富多彩的海洋生物特性演示：鲳鱼捕食演示、刺豚胀气演示、黑鳍鲨鱼捕食演示、电鳗放电演示、射水鱼捕食演示、狮子鱼捕食演示、石头鱼捕食演示、乌贼变色演示。小朋友游客在观赏各类海洋生物的同时还可参与各类的即有游戏性又有教育性的趣味课堂。海狮剧场内有更精彩有趣的人与海狮表演，不容错过。各种海洋生物和演员造等可供游客穿梭游览及拍照留念。并可品尝南北小食，或选购精美的传统海洋手工艺品和纪念品。

"	"南宁海底世界自驾车路线： 
青秀山——良凤江——南宁海底世界

南宁海底世界乘车路线： 
7路、14路、74路、86路、57路、63路等公交车可达。"	9:00—17:30 	"     35元。
特殊人群：A.免费政策：儿童1.1米以下免票；
B.优惠政策：老人70岁以上、军官、学生、凭有效证件购买30元/位 "	30	328	328	4
龙门瀑布景区	 广西·南宁 广西桂林市灵川县青狮潭镇东源村委畔头村旁 	南宁	瀑布	"龙门瀑布景区位于桂林灵川东江源头，距桂林55公里，车程1小时左右。龙门瀑布景区是由多级瀑布汇集而成的瀑布群，景区内原始森林、藤蔓缠绕、万顷竹海、苍翠欲滴、青山连绵、泉水清澈如碧。
沿溪流而上，峡谷幽深、曲折迂回，一 条瀑布沿着山涧飞奔而下，水流集中下注入潭溅起层层水雾浪花，像春天细雨朦朦胧胧，如明代旅行家徐霞客描写的那样：“悬崖飞瀑，长如布，转如倾，匀成帘”。又如王羲之的《兰亭序》描写的那样：此地有崇山峻岭，茂林修竹，清流急湍。。。。。。溪流纵横，鸟语花香，鱼虫欢唱，百十余种野生蝴蝶出没期间。

"	"桂林出门 往灵川方向 往北走过火车北站 沿八里街到潭下路口 看龙门瀑布景区指示牌 往九屋方向走即可。 到北极广场乘灵川班车到灵川车站，然后转乘灵川－西岭（可跟司机说明到东江龙门瀑布景区）。每月的３、６、９号圩日不到灵川车站，只发九屋－西岭的班次： 
①灵川－西岭：上午10:00；下午　13:30；15:30  
②景区专车（７－１５座）：发车时间：上午　8:30；下午　14:30；　16:30。"	07:00-19:00 	"     45元，特殊人群：
A.免费政策：儿童身高1.2米以下免票；
B.优惠政策：学生凭学生证5折；军官凭军官证5折。 "	18	343	343	3
广西药用植物园	 广西·南宁 广西南宁市东郊山峦 	南宁	NA	"广西壮族自治区药用植物园（广西壮族自治区药用植物研究所，中国医学科学院药用植物研究所广西分所），创建 于1959年，占地面积202公顷，是广西壮族自治区卫生厅直属的从事药用动、植物资源收集、保存、展示、科普教育；药用动、植物资源保存与利用、特色中药资源、民族药资源产品开发、中 药材产品质量检测技术与标准研究；中药材产品质量标准起草以及检测服务的公益性事业单位。广西药用植物园是我国对外（国际）开放的二十一个大型植物园之一，是全国科普教育基地、 全国中医药文化宣传教育基地、国家旅游服务标准化试点单位和国家AAAA级旅游景区。
广西药用植物园目前已保存药用植物物种282科1773属7400余种，其中珍稀濒危药用植物710种。2011年，以药用植 物物种保存数量和保存面积被英国吉尼斯总部认证为世界“最大的药用植物园”。园区共建设“本草纲目园”、“民族药物园”、“世界知名药物园”等三个主题园及姜园、蕨类园、苦苣苔 园、兰园、岩生园等20个专类园。
“本草纲目”园以明代著名医药学家李时珍的医药巨著《本草纲目》为蓝本进行规划设计，用活体药用动、植物立体展示《本草纲目》16部52卷1892种 药物。目前“本草纲目”园保存药用植物达1140多种，立体展了《本草纲目》草部、木部、水部、谷部、菜部、果部、本草验方长廊等16个区，并配以藤廊、水体、小桥、步汀、叠水、亭廊 、花架等园林形式加以贯穿，形成以浓厚中医药文化为底蕴，具有园林外貌、科学内涵的立体“本草纲目”科普游览园。
民族药物园面积约60亩，依据广西多个民族、多种医药的地域特征，主要建设有壮药园和瑶药园两个主题园，通过 收集、保存和展示广西壮族和瑶族的民族特色药材，开展壮、瑶医药文化的展示。壮药园主要收集、保存和展示广西壮族特色壮药，主要有广西马兜铃、千斤拔、龙船花、闭鞘姜，杨桃、两 面针、鸡蛋花、钩吻、白花藤蛇黄、郁金等。瑶药园主要收集和展示瑶药中常用的“五虎”、“九牛”、“十八钻”、“七十二风”共104种瑶药，如白背风、鸭脚木、田七、青蒿、透骨消、 九节风、杜仲藤、大钻等。
世界知名药物园占地面积约15亩，为环湖观景展示平台，是收集、展示世界各国国树国花为主的景观观赏园。在沿湖近2公里的湖岸上，按赤道纬度排列各国 国花国树，目前已收集和展示各国国树、国花53种。
"	"自驾路线：
南宁吴圩国际机场-永安路-机场高速公路-壮锦大道-白沙大道-厢竹大道-广西药用植物园。"	NA	NA	NA	316	316	4
南宁凤岭水世界	 广西·南宁 广西南宁市凤岭儿童公园景区内 	南宁	避暑 游乐场	"凤岭水世界是广西规模最大、设备最先进的大型水上乐园，精心挑选世界一流、最受热捧的水上游乐项目：超级大喇叭、巨兽碗、激流勇进滑道、垂直极限、海啸造浪池、大滑板、激流探险、儿童戏水池、儿童反斗乐园、休闲按摩池、戏水水寨等
凤岭水世界既有惊险刺激的激情体验，又有悠然自得的戏水享受，让您跟您的家人朋友在夏日炎炎的南国之都享有一个清凉开心的欢乐水世界。
凤岭欢乐世界重金打造广西最大的陆地和水上的综合性休闲娱乐主题公园。园内地势开阔，自然起伏，树荫似盖，绿草成茵，具有南国亚热带特点和生态化园林景观，是广西唯一集水陆游乐、购物餐饮、休闲观光为一体的主题乐园。
园内分为梦幻海湾﹑梦幻乐园﹑梦幻王国﹑梦幻花园四个区
引进国际大型游乐园的设计理念，汇聚世界精髓的游乐设施，具有代表性的云霄飞车、大型摩天轮、超级大摆锤、欢乐迪斯科、太空漫步、海盗船、太空梭等最具刺激游乐项目。
游客是这么评价的：游玩的项目很多，是夏季不错的出游目的地。
"	"自驾路线:
景区附近交叉路段：从南宁江南客运站到白沙大道到葫芦鼎大桥道竹溪大道到名族大道到云景路到达景区"	10:00—22:00（截止进园时间为20:00） 	"       成人票（日场）：120元
成人票（夜场）：80元
学生票：80元
A.免票政策：儿童身高1.2米以下免票(一名成人限带一名免票儿童)。
B.优惠政策：儿童身高1.2—1.5米购景区优惠票。 "	58	328	328	2
良凤江国家森林公园	 广西·南宁 广西南宁市友谊路78号 	南宁	NA	"良凤江是林业部批准成立的广西最早的国家级森林公园，面积约七万多亩。位于南宁市南郊，距市区7公里，市区 往机场的公路横贯公园腹地，从市中心乘301路公共汽车可直达公园。公园内山环水绕，林木繁茂，芳草茵茵，野花点点，鸟语虫鸣，一派旖旎的自然风光。园中有亚热带树种及广西濒临灭绝 的树种共122科1294个品种，属国家保护植物的85种。它的华南地区最大的金花茶种质资源基因库就建在这里。这里空气负离子含量高，从城市来到这里，精神顿时清爽，是名副其实的“森林 浴室”。在菩提山庄，有一株中国唯一的阴阳合一的菩提树，据说它会发出佛光，摸过它的身子后会消除百病，所以吸引了不少信男善女前往烧香。良凤江河畔地势平坦开阔，南宁市唯一的 高尔夫练习场就建在这里。
良凤江江水清澈平静，既可泛舟水面，也可畅游水中，更可垂钓、烧烤等。公园内可以满足游客游览、烧烤、登山 、划船、垂钓、游泳、森林浴、会议、度假、科普、科研、文化娱乐、集体活动等不同需要，大凡来者，均可以自得其乐。在这里不仅可以游览得天独厚的自然风光和巧夺天工的人文景观、 尽享21世纪的绿色食品，还可以观看各具特色的民族风情表演。整个公园由三个景色各异的景区及游览区构成,可以细分为：菩提佛光、双狮拜佛、树木家园、阳光部落、八卦水域、休闲河州 、雨林天簌、激情地带、绿岛龙珠、原始群落等十个各具特性的景点。
菩提大观园：园内有天下奇树——中国唯一阴阳合一的姻缘菩提树以及与大自然结合得非常完美的星级度假山庄— —菩提山庄。这里没有案牍劳形、没有噪音乱耳、没有家务缠身，只有轻松、自由，偌大的天然氧吧，让您在呼吸着最清新的空气中享受生命的分分秒秒。植物王国：清奇的水泊林野。1700 多种千姿百态的树种，在良凤江边葱郁成林，是华南地区最大的树木标本园。绿茵遍地、鸟雀飞鸣，在这里您可以欣赏到各种各样的森林奇观。园内负离子含量极高，是一个大型的森林浴场 。穿行其中，得尽康乐养生的快意。这里是林木科普、教学实习、科研以及影视外景拍摄的重要基地。 游乐世界：这里有最新的美式森林野战，您可以“全副武装”在“枪林弹雨”中过把“ 枪战瘾”。可以乘木筏休闲河洲游、尽情的领略大自然的风光、欣赏各种珍奇的野生植物。也可以去多情谷探险，尽享“穿越丛林”“野外求生”带来的无穷乐趣。
"	自驾路线：南宁南站-沙井大道-南站大道-白沙-壮锦立交-壮锦大道-那洪大道-友谊路-良凤江桥右转-良凤江国家森林公园。	NA	NA	NA	354	354	3
