title	address	city	theme	introduce	traffic_guide	open_time	ticket_information	ticket_price	ticket_total	ticket_surplus	stars
德天大瀑布	 广西·崇左 广西崇左大新县桃城镇民生街83号 	崇左	瀑布	德天大瀑布位于广西壮族自治区西南山区，靠近中越边境的大新县境内．德天大瀑布发源于归春河的上游，自北南流的归春河被峙在江心的浦汤岛所阻挡，使河水激石咆哮，夺路而下，形成高达50余米的瀑布。远望德天瀑布，只闻水声轰鸣，响如滚雷。巨大的跌水分成数股飞泻直下，水花四溅，烟雾溟蒙，在阳光下，色彩缤纷，蔚为壮观。 瀑布景观随河水流量的多寡而变化，河水有季节变化，瀑布亦因而有四季景色。春天来临，崖草泛青，山花吐蕊，木棉花盛开，归春河两岸一片红霞，不是秋色，胜似秋色。在红花万朵丛中，德天瀑布犹如一匹银色素洁的白练，轻盈欢快地舞蹈着，夏季，则山洪始发，洪流滚滚，水声隆隆，如万马奔腾，鸣金击鼓，震撼山谷。此时，若解衣脱鞋，跃入水中游玩，看眼前之飞舞银龙，喷吐着水珠云雾在自己体上头顶，不仅消暑避炎，而且若置仙境之中，其乐无穷。	"1、南宁汽车总站每天早8：30有快巴直接发往德天，单程用时约4小时，下午15：00返回，单程票价50元。（南宁汽车客运总站地址：朝阳路80号电话：0771-2437420、2424529） 
2、从南宁先到大新县城，140余公里，从县城到德天瀑布有60余公里，如果选择包车前往的话，约需100多元。
3、可在汽车站搭乘开往下雷的车，在硕龙下车，车费10元，再坐三轮车前往，约5元。
4、景区内的各景点基本上有车可达，无需艰苦攀爬。"		     欣欣门票价：77元起（省3元）。 	75	365	365	4
崇左明仕田园	 广西·崇左 崇左市大新县堪圩乡明仕村 	崇左	NA	明仕田园风光，距县城53公里，为国家一级景点。方圆20公里的景区山清水秀，山环水绕，素有小桂林之称。这里翠竹绕岸，农舍点缀，独木桥横，稻穗摇曳，农夫荷锄，牧童戏水，风光俊朗清逸，极富南国田园气息。美丽的山峰，明镜似的小河，划入天际的扁舟，满洒的翠竹，绿油油的稻田，乡土风味十足的水车、水渠与独木桥，让您泛舟河上，感受竹丛山峰蓝天白云倒影如镜，再衬以小桥流水，百鸟啼鸣，以及村舍中的鸡鸣狗吠，是一处难求的令人迷醉的田园风光。		NA	NA	NA	321	321	3
崇左左江石景林	 广西·崇左 广西崇左市城南区石景林路（市政府广场斜对面） 	崇左	NA	"崇左石景林景区属于1988年被国务院批准的国家级风景名胜区，也是广西花山风景名胜区的一个重要景区。石景林 景区位于崇左市城南区石景林路（市政府广场斜对面），距南友高速公路崇左收费站入口处仅有1公里，距市汽车站和火车站10分钟车程，交通十分便利。石景林景区按规划可开发利用面积为 1500亩，现已开发使用700多亩。石景林景区于1988年开发建设，1991年正式对外开放。已发掘出“三妹沉思”﹙玉女沉思﹚、“八戒探花”、 “一帆风顺”、 “双狮迎宾”、 “玉兔下凡 ”、 “象鼻山”、 “仁者寿”、 “鸳鸯藤”、 “飞来石”、 “罗汉洞”、“仙人洞”等众多经典。至今累计接待中外游客1000多万人次，在区内外享有盛名。
石景林景区属喀斯特岩溶地貌，具有“皱、透、漏、瘦”的岩石特点。由于长年的雨蚀、风化、形成天然的盆景式 石林，故为石景林。因为具有峰丛林立、险峻秀丽、溶洞众多、千姿百态的奇峰异石奇观，故被八方游客和专家学者誉为“全国少有，广西第一”的美称。
石景林景区内亚热带植物景观较为突出，植物四季皆绿，绿色资源较为丰富：有与恐龙同时代、国家一级保护植物 “中华一号铁线蕨”和国家二级保护植物“龙血树”等一批珍贵植物：还有九层皮﹙苹婆﹚、是兰花等众多的地方特色植物。据不完全统计，景区有多达几百种的中草药。
“山得水而活，水得山而媚”，石景林景区山水相映生辉，林中流水溹洄。石山之间，大小水池镶嵌其中，充满山 水灵气。
"	"自驾路线：
①崇左市汽车总站出口：友谊大道转到石景林西路即到景点
②高速出口：友谊大道转到石景林西路即到景点"	NA	NA	NA	399	399	2
崇左大新龙宫仙境景区	 广西·崇左 广西大新县那岭 	崇左	NA	龙宫仙境景区位于广西大新县那岭，是国家特级景点、中国最美丽瀑布——德天跨国大瀑布旅游区中唯一一处溶洞旅游胜地，是中越边境一道奇特的景观。景区东距南宁168公里，离大新县18公里，西距德天跨国瀑布40公里，离通灵大峡谷55公里。是南宁至德天瀑布和通灵大峡谷的必经之路，交通十分便利。 溶洞由隧道、前厅、金龙迎宾厅、龙宫宝藏厅、龙宫仙境厅、龙母后宫厅和仙人遗址等七个部分总成，展示了精美绝伦、气势磅礴的中国天然龙文化。面积为16800平方米，旅程880米，游时约一个小时。 龙宫洞外旅游，田园农庄。小桥流水，环境优雅，中国黑衣壮边境民族风情；洞内旅游，钟石如玉，灯火辉煌，冬暖夏凉，四季如春。进入景内犹如跨入一座富丽堂皇的“神宫宝殿”。“龙宫仙境”汇集天下溶洞景观于一体，以其独特的美学观赏价值和科学研究价值，热情周到的旅游服务，完备的旅游设施，优美的景区环境而享有盛名，是旅游休闲的好去处。		NA	NA	NA	381	381	2
龙谷湾	 广西·崇左 广西省崇左市扶绥县岜盆乡祥宁路1号龙谷湾景区 	崇左	NA	"龙谷湾旅游休闲度假区，坐落于南宁空港经济区、中国“恐龙之乡”广西扶绥县，置身于风景优美的花山自然风貌地区，群山环绕，绿波万顷。景区占地6000亩，总投资人民币36亿，历时五年，邀请来自全国各地的古生物学家实地考察，数个顶尖设计团队联手制作，实现了集远古生物探索、传承文化博览、休闲娱乐度假为一体的旅游休闲度假区，被誉为“大西南高端娱游代表之作”。
龙谷湾恐龙公园，是龙谷湾旅游休闲度假区一期重点项目，占地3000亩，是以广西扶绥挖掘的“一窝三龙”恐龙化石为依托，按国家5A级景区标准建设，将科普探索、旅游观光、游乐体验首次结合。全智能电子化覆盖服务，一手掌控的动态游乐体验，以强大科技复原恐龙与古生物形象，通过视觉的盛宴、动感的激情，为您揭开五亿六千万年前的生命奥秘，倾力打造前所未有的欢乐殿堂。
"	NA	NA	NA	NA	348	348	4
法国驻龙州领事馆	 广西·崇左 广西壮族自治区崇左市龙州县利民街 	崇左	NA	"1885年的中法战争后，中法两国在天津签订了《中法会订越南条约》 （又称《中法新约》），开辟龙州为商埠，清政府准许法国政府在龙州设立领事馆。1889年，法国政府派安迪来龙州筹建领事馆。经过多点查勘，安迪认为，龙州南门对岸的篓园角是平而河和水口河的汇合处，逆平而河而上，可达越南凉山省七溪（艽葑）；逆水口河而上，进入牧马河，可直达越南高平省省会高平。在丰水期，船只从七溪或高平顺流而下，一天时间即可抵达龙州。在当时公路不通的情况下，篓园角无疑是交通便利的地点，于是，安迪便决定在篓园角建馆。经过征地建房，挂上“法国派驻邕龙领事馆”门匾，开馆办公，处理与广西有关的外交事宜。
法国驻龙州领事馆设立之初，设领事1人，文案、医生各1人。1898年裁去正领事，只设一名副领事，以领事馆医生兼之，文案翻译改用中国人。民国9年（1920年），龙州副领事又改为正领事。民国11年11月，法属越南总督选派在河内医学院毕业的一名中国人到法国领事馆服务，并设法医院，施诊施药。民国28年，领事馆内增加两名越籍馆员。法国领事馆开馆期间，先后派出28名领事、副领事到龙州任职。法国驻龙州领事馆是两幢结构相同的法式二层楼房。楼房层高5米，单体长25.66米，宽15.2米，面积780平方米，两幢楼房总面积1560平方米。楼房地面铺着石板，屋顶覆以金属瓦片，中间两座旋转式楼梯和楼板均用枧木精制，四周开20只大拱门，拱门向内为2米宽的走廊，整个建筑坚固而别致。法国驻龙州领事馆旧址1996年被公布为县级文物保护单位，2000年被公布为自治区文物保护单位。
"	"①县城中心乘坐出租车或步行即可到达景区。
②南宁机场—龙州汽车站在汽车站转乘坐出租车。"	NA	NA	NA	354	354	5
胡志明展馆	 广西·崇左 广西崇左市龙州 	崇左	故居	"广西龙州位于祖国西南边陲，与越南高平和凉山省毗邻。中越两国边民有着悠久的友好交往历史。上世纪的1926年起，越南革命者便陆续来到龙州进行秘密革命活动。1930年印度支那共产党成立后，龙州更成为印度支那共产党在海外的重要基地。胡志明、黄文树、黎红风、长征、武元甲、周文晋等40多人，在龙州地区进行革命活动前后长达18年，他们后来大多成为了越南党和国家领导人、越共中央委员、人民军的将领、省部级领导干部。越南革命者在龙州从事革命活动，长期得到了龙州人民的大力支持，与龙州人民结下了深厚的革命友谊。
展馆占地380多平方米，建筑面积1300多平方米。陈列分“胡志明主席与中国”和“龙州与越南革命”两部分，陈列图片、图表400多张，文物60多件。丰富翔实地展现了胡志明主席及越南革命者在艰苦的革命战争岁月里与中国人民结下的深厚友谊和并肩战斗的历史篇章。胡志明展馆的开馆，为增强中越两国人民的友谊，起到了积极的教育与引导作用，更是成为中越两国青少年不可多得的革命传统教育基地。

"	"县城中心乘坐出租车或步行即可到达景区 
南宁机场—龙州汽车站在汽车站转乘坐出租车"	早上8：30-12：00，下午14：30-17:30（节假无休，逢周一闭馆）。 	"     50元，特殊人群：
A.免费政策：儿童1.2米以下免票，军官凭军官证免票；

B.优惠政策：儿童身高1.2米-1.5米之间购儿童票10元/人，60岁以上老人持老人证购老人票10元/人； "		391	391	5
崇左大新县硕龙镇	 广西·崇左  	崇左	NA	在祖国边陲广西南宁地区大新县，有一个奇特的旅游景区，这就是远近闻名的山水画廊――广西大新德天风景区。大自然竟然情有独钟，将山水神秀尽集于此地，形成了数百里的天然山水画廊。 　这里山峰奇巧，云雾飘杳，湖若明镜，江如玉带，怪石峥嵘，古木参天，步步是景，处处含情。春日，红棉怒放，灿若云霞；夏临，青峰浴水，花木繁茂；秋至，金风送爽，遍地金黄；冬来，群峰峭拔，山色空朦。无论阴晴云雾，季节交替，均各具情态。游德天，能令你仿如书中，心无纤尘。	1、每天上午8:30点有一班旅游专线快巴在南宁琅东站出发，可以直接到景区的大门口。但时间上面有限制，必须在15:30回去。如果赶不上，可以乘车至大新县汽车站转车。2、每天南宁北大客运站有很多班次车往大新县，抵大新后再转车至德天景区。因为交通比较复杂和不方便，所以推荐跟团。	NA	NA	NA	307	307	3
凭祥友谊关	 广西·崇左  	崇左	NA	友谊关是我国九大名关之一。关楼左侧是左弼山城墙，右侧是右辅山城墙，尤如巨蟒分联两山之麓，气势磅礴。 　　友谊关位于广西凭祥市西南端，322国道终端穿过友谊关拱城门，与越南公路相接，是通往越南的重要陆路通道和国家一类口岸，距凭祥市区18公里。 　　早在汉朝这里就已经设关，距今已有二千多年的历史。最初叫雍鸡关，后改名界首关、大南关，明朝设镇南关。1953年1月，经当时的政务院批准，改称睦南关。1965年1月，经国务院批准，改名为友谊关。1995年2月，经自治区党委、自治区人民政府同意，命名为自治区爱国主义教育基地。友谊关关楼在帝国主义的侵略炮火中曾两次被毁。1957年基本按原貌重建。整座关楼由底座和回廊式楼阁两部分组成，通高22米。底座建筑面积为365.7平方米，长23米，底宽15.9米，平均高度为10米。公路从隧道形单拱城门通过，拱门上方用汉白玉雕刻的“友谊关”三个刚劲有力的大字，是当年任国务院副总理兼外交部长的陈毅元帅题写的关名。关楼底座上原来只建有一层木结构回廊，重建时改用钢混结构，并加了两层回廊，每层回廊平均为80平方米。回廊的四周是拱形大窗，窗棂装饰了各式图案，外墙为墨绿色石米贴面，显得庄严、古朴。回廊第一层以图片形式陈列着镇南关大捷、镇南关起义和红旗插上镇南关的历史。第二层是中越高级领导人会晤室。五六十年代，周恩来总理曾两次在这里亲切会晤越南人民的领袖胡志明主席。第三层是中国九大名关展览厅。	"凭祥距南宁市区180公里，距越南首都河内160公里，友谊关位于凭祥市区西南18公里处。 
 1、南宁——凭祥 
 火车：南宁到凭祥有两趟列车，一是南宁——凭祥5517次列车，早7：58发车，中午12：00到达，票价30元；二是南宁——凭祥8511次列车，早10：56发车，下午16：19到凭祥北站（附近招待所较多，建议在此下车），16：25到凭祥站，票价17元。从火车站到凭祥市还有段距离，可乘当地1元的三轮摩托到市里。返程时可乘凭祥——南宁5518次列车，下午15：20凭祥站发车，晚19：40到南宁。 
 公路：南宁汽车总站8：00～18：00发往凭祥的客车每小时一班。返程时可乘凭祥至南宁长途巴士，早7：00～17：00每小时一班，车票50元，单程4.5小时。 
 凭祥市汽车总站地址：凭祥市北大路电话：0771-8526736 
 2、凭祥——友谊关，没有固定的班车，需包车前往，行车时间约40分钟，往返需40～60元左右。"	NA	NA	NA	313	313	3
崇左花山壁画	 广西·崇左 在距南宁160公里的宁明县城， 	崇左	NA	花山壁画在距南宁160公里的宁明县城，乘机动船从驮龙桥头上船，沿明江顺流而下，二小时可到达花山。花山整座峭崖画满了各种呈土红色的人像和物像。人像中有正面和侧面两种姿势。正面人像两手高举、两脚叉开成立马式。侧面人像两手平伸、两腿微蹲成跳跃式，既像练兵习武，又如狂舞欢歌。物像中有似马似狗的，有像藤牌、锣鼓、太阳的。	"到花山一定要先到宁明，宁明位于南宁到凭祥高速公路中间段，距南宁市区160公里，距凭祥50公里，有中越铁路、322国道经过，乘坐火车、长途客车或自驾车都可到达。 
 1、南宁——宁明 
 火车：乘坐南宁——凭祥5517次列车（早8：00发车）前往，10：41在宁明站下车；下午返程乘同5518次列车，为15：25宁明站发车，抵达南宁为18：07。（单程约为2小时42分）
为8：00发车，10：41在宁明站下车，单程为2小时41分，下午返程时为5518次列车，为15：25宁明站发车，抵达南宁为18：07，单程为2小时42分。
 公路：南宁汽车总站每天8：00～18：00有多趟发往凭祥的客车，每小时一班，在宁明站下车即可，单程用时3小时，车票40元。南宁二运中心每天下午14：30有一班直达宁明的客车，单程用时3小时，票价35元。返程时可乘第二天宁明至南宁的快班巴士，每天两班，早9：30和早10：30发车。另外，宁明到凭祥的巴士7：00～18：30每20分钟发一班。 
 宁明汽车站地址：宁明县城中镇德华路电话：0771-8624530 
 2、宁明——花山 
 花山距宁明县城约25公里，下了火车或长途汽车后，到驮龙桥码头（距火车站200米）乘船到花山游览，一般有两种方法：一、旅游公司游船，往返35元/人，全程需2小时（游船咨询电话：0771-8628688）。二、私人小木船，往返80元/船（可讲到50～60元），包船即走。另外还有从花山开出的“公船”，早8：00到驮龙桥码头，下午13：00开往花山，但这种船很少，只有碰运气才能遇上。"	NA	NA	NA	382	382	3
