title	address	city	theme	introduce	traffic_guide	open_time	ticket_information	ticket_price	ticket_total	ticket_surplus	stars
圣堂湖	 广西·来宾 来宾金秀县长垌乡 	来宾	避暑	"圣堂湖生态旅游区位于大瑶山腹地，源于金秀秀丽婀娜的圣堂山脚下。景区以突出水文化为主题，以自然生态和民俗生态为重点，打造集河道观光游览、漂流探险、民俗体验、户外运动、养生保健、休闲度假于一体的综合性生态瑶族休闲度假旅游区。
两岸群峰嵯峨，树木葱笼竞秀，悬崖峭壁夹峙，湖光山色，峰回路转，游船、竹筏穿行于绝壁之间，绕山峰而过，游人在船上可欣赏两岸高耸的峰峦和奇峰怪石，流泉飞瀑尽收眼底，青翠欲滴的山坡上，猴群时隐时现。
全天然漂流河段，河道全程3.8公里，河流曲折蜿蜒，群山怀抱，河水汹涌奔腾，溅起层层浪花，水流潺潺、水潭叠叠、落差有致，有惊无险，乐趣无穷。
金秀圣堂湖生态旅游景区温馨提示
请上船前仔细阅读漂流须知，听从工作人员的安排，穿好救生衣，找到安全绳。
漂流时不可携带贵重物品上艇，以防打湿或丢失。贵重物品请自行妥善保管。
"	自驾：金秀瑶族自治县--功德路 --X645--龙宫--古六冲--景区	①游船观光：08:30、10:00、11:30、13:30、15:00、17:00②激情漂流：11:00、14:00、16:30③勇士漂流：10:00、13:00、15:30 	     勇士漂流168元，激情漂流128元，游船观光108元。游船观光约1个小时，激情漂流和勇士漂流约为1个半小时。漂流门票包含淋浴、保险、储衣柜，请务必带好换洗衣物。 	75	378	378	2
来宾圣堂山	 广西·来宾 广西金秀瑶族自治县城西南面45公里处 	来宾	森林 山脉	圣堂山是大瑶山主峰，距金秀县城西南面４５公里， 总面积１５０平方公里，最高峰海拔１９７９米，为广西第五高峰，桂中第一高峰。 　　圣堂山是金秀大瑶山自然风光精华所在。山上群峰林立，直插云天，常云封雾锁，神秘莫测。远眺峰浮云海，气势磅礴，峥嵘崔巍，恍如海市蜃楼，近看怪石凌空，塔林戟海，鬼斧神工，或绝壁高张，石塔千层，巨笋穿空；或猛虎下山，万马奔腾，势不可挡，或仙女下凡，恋人相会，顽猴戏月，寿龟赏花，大将点兵，老人安坐，怨女盼夫……，形象逼真，栩栩如生，令人称绝。山谷间尚存古冰川时期的遗迹石河、石海。 　圣堂山， 古木参天， 流水淙淙， 为典型中亚热带森林风光。 山腰海拔１０００米至于５００米的针叶，阔叶混交林带，有名贵的欣赏树种五针松，罗汉松，多生于崖壁间，青葱碧翠，刚健龙钟，１５００米以上至山顶，有全国罕见的万亩变色杜鹃林，间有珍贵的福建柏。每年五月，杜鹃花竟放，树树繁花，红、黄、白相间，花香浓郁，令人陶醉。圣堂山上瀑布极多，有的高达数百米。 　圣堂山主要景点有：雾锁重山、双龙吐玉、石河奇观、神秘古石墙、宝鼎仙宫、杜鹃林海、石桥神韵、圣泉、石猴、巨蟒迎客、大峡谷等四十余处。	柳州至金秀县约3－4小时车程，圣堂山风景区的公路已开通至杨梅坪（海拔1200米）的圣堂山庄，从山庄至山顶又修建有1.5米宽5公里长的块石平缝台阶登步道。杨梅坪（圣堂山庄）有3000平方朱月停车场。	8:00-18:00 	       100元 		311	311	2
广西武宣百崖大峡谷	 广西·来宾 广西来宾市武宣县河马乡 	来宾	森林 峡谷 瀑布	"广西省来宾市百崖大峡谷位于武宣县河马乡境内，距县城3 8公里。属典型的丹霞地貌，最高海拔1200米，总面积13．66平方公里。她峰峦险峻、峡岩逼空；清溪百折、飞瀑壮观；林木苍翠、花香袭人；朝出晴岚、暮纳霞辉；被誉为“世界罕见的峡谷风光”。主峡谷全长10公里，计有三十七道弯，十多处瀑布，七处深潭，还有数以百计的侧峡谷。
百崖大峡谷景区内林木葱郁、怪石嵯峨；古藤悬吊、百卉溢香；清溪流泻、常年不竭。水质属不含任何杂质的淡泉水，有洁肤美容、增强食欲、排除体内杂物的健美功能。原始森林内，有晰蜴、猿猴、娃娃鱼等珍稀动物和桫椤、红椎、白椎、香花木、观光木等名贵树种。年平均气温16―24℃，氧分充足，负离子高，是一处不可多得的避暑和疗养胜地。主要景点有“天女撒花瀑”、 “鸳鸯瀑”、 “西王瀑”、 “天王瀑”还有太平天国西王肖朝贵故居遗址。
"	沿G209行驶约11.6公里，从环岛的第2个出口离开，进入鞍山路，沿鞍山路行驶约0.9公里，右转进入朝阳路，沿朝阳路行驶约0.8公里，左转进入S323，沿S323行驶约21.9公里，稍向左转，行驶约12.6公里，到达终点。	08:00~18:00 	"         欣欣价-广西来宾武宣百崖大峡谷成人票：28元起（省10元）；
特惠政策:身高1.4米（不含）以下儿童免票，需大人陪同。 "		364	364	5
来宾象州温泉	 广西·来宾 象州县城东郊干 7公里处 	来宾	温泉	象州温泉水系由地壳岩石圈内深循环形成，有良好的自然封闭条件，水质好，流量大。属高热矿泉水，系段压裂隙溶洞水，水温在73℃--77℃之间，最高水温达85℃，流量稳定为每小时 235吨，泉水清澈透明、无色、无味、无污染。经轻工部、中山医科大学等专家科学鉴定及通过实践证明，泉水含有偏硅酸、锶、铜、铁、 锌、镁、钙、钠、碘、氟、钡等二十多种对人体有益的微量元素。 采用“微温”、“平温”、“高温”三种浴法，可分别适应心血管系统、神经系统、分泌系统的保健，对外科、妇科、皮肤科和感冒等疾病的治疗有显著的疗效，并符合国家颁布的饮用矿泉水标准。 象州温泉度假区已兴建的有县旅游公司的温泉宾馆、游泳池、餐厅、沐浴室、客商投资建设的温泉源头景观区(源头宾馆)、各类度假山庄以及台商独资的矿泉水厂等旅游设施，基本形成了“食、住、行、游、购、娱、疗”七要素为一体的旅游度假圣地。另外，由荔蒲汇泉房地产开发公司投资开发具有高品位，充分体现原生态的象州花池山温泉旅游度假村项目规划已通过评审，并于2003年11月11日开工建设第一期工程。			     电话咨询 		319	319	4
广西来宾金秀莲花山	 广西·来宾 广西来宾市金秀瑶族自治县 	来宾	森林 山脉 避暑	"广西省来宾市金秀莲花山是自然保护区，国家森林公园，国家AAAA级旅游区。
摄影爱好者的基地。山中美景集黄山、庐山、张家界之美于一身，雄奇且灵秀，亦真亦幻，如行走在水墨画中。
五彩瑶家风情。“世界瑶族研究中心在中国，中国瑶族研究中心在金秀”。莲花山集金秀五个瑶族支系之非物质文化遗产供游客尽情体验，山歌引路、舞蹈随行、瑶家顶鼓游戏..
"	"自驾路线： 
1、广州—金秀
（1）广州——广西贺州——阳朔——荔浦——金秀——莲花山；
（2）广州——广西梧州——平南县——金秀——莲花山。
2、柳州—金秀
（1）北线：柳州—鹿寨县—龙江乡—寨沙镇—头排镇—七建乡—桐木镇—金秀县城，全程约155Km，2.5小时，车流量较多。
（2）中线：柳州—官塘收费站—雒容县—-导江乡—水晶乡—桐木镇—金秀
（3）南线：柳州—穿山镇—马坪乡—象州县—寺村镇—罗秀镇—大乐镇—桐木镇—金秀县城。
3、桂林—金秀：桂林沿G321国道至荔浦，再走G323国道经修仁镇—头排镇—桐木镇—金秀
4、南宁—金秀：南宁经南柳高速至来宾，走南柳高速，在新兴出高速至象州—桐木—金秀"	08:30-16:30 	"         欣欣价-广西来宾金秀莲花山成人票：65元起（省35元）；
特惠政策:
A.免费政策：儿童身高1.2（不含）m以下免票，军官持军官证免票；
B.优惠政策：1.2（含）m-1.4（不含）m之间儿童；老人票60岁（含）以上持老人证购景区优惠票。（上述优惠政策，需到景区自行购买） "		366	366	2
来宾古海底迷宫	 广西·来宾 来宾市象州县 	来宾	NA	"古海底迷宫位于象州县城约4公里的沙兰村青山岭上, 面积约二十多亩。据有关专家认为：迷宫中的岩石约于3.5 ―4亿年前的泥盆纪时代，由海底地壳变化和海水长期侵蚀而形成，属岩容侵蚀构造地貌。其周围海洋生物古化石随处可见，垂手可取。由千百块重达数吨的岩石构成。迷宫内石厅、石井、石门星罗棋布，石巷纵横交错、曲折迂回，能穿行的巷道宽处可容二人并肩而行，狭窄处仅纳一人侧身、甚至弯腰曲膝而过，巷道的四通八达、奇曲弯转形如八卦阵，若无向导或路标，稍不留意，极易迷失方向，古海底迷宫因此而得名。迷宫中的丛生灌木、野藤从空中穿梭交织，使巷内浓荫遮日，其间的藤绕树、树倚岩、岩连藤，构成一幅幅妙趣横生的景致。更奇特的是整个迷宫颇似城堡，因被浓密的灌林、野藤覆盖，迷宫极为隐蔽。抗日战争时期，它曾是一个掩体，为保护沙兰村的百姓立下了“汗马功劳”。 古海底迷宫的四周是桃、李、梨、柿、竹等构成的果树林，每逢桃花盛开与果实成熟的季节，人们三五成群或是在果树下纳凉、野炊烧烤，或是在石桌上打牌娱乐，或是在选景照相，或是在吊床里悠闲摇晃，别有一番情趣。"		NA	NA	NA	326	326	2
来宾合山怀集风景区	 广西·来宾  	来宾	NA	位于合山市河里乡怀集村。国道322线从库区东侧穿过，距离合山市区20公里，是山水型自然风景区. 水库库区面积约1000亩，水面弯延狭长，三面青山环抱，南面红水河奔腾而过，景色壮观。库区中部有一个面积约10多亩的小岛，岛上常有野兔、野鸭出没，给水库增添了几分野趣。水库两边各有一个面积约100亩的半岛伸出隔水相望，被当地人形象地称为情人岛。怀集水库晴天水光潋滟，雨天山色空朦，无论春夏秋冬，总是一幅碧水青山的美景。		NA	NA	NA	346	346	5
大瑶山莲花山	 广西·来宾  	来宾	NA	"莲花山位于广西壮族自治区金秀瑶族自治县城西北部15公里处，面积约23平方公里，主峰海拔1350米，因群峰耸立，远远望去，整个山体酷似一朵含苞待放的莲花，因此而得名。其景观由能多山群峰、莲花山群峰和棋盘山群峰组成。莲花山为丹霞式地形，由于充足的雨量和北回归线附近的优越地理位置以及少经破坏的生态协调，使它形成了风光绮丽、气势磅礴，丹峰碧水，朱崖绿树，四季如春，景色如画的自然景观。专家评：“莲花山集黄山、庐山、张家界之美于一身，雄奇且灵秀，令人赏心悦目，留连忘返”。山上景观以石林为主，衬以繁茂的原始森林，加上云海杜鹃花林、古树,形成了秀美、飘幻的奇景。 莲花山石林景观千姿百态，独具特色，有石笋、石峰、石柱、石帘、石林仙都、盘王遗韵、醉仙石、将军岩、棋盘山、观音坐莲花、鸵鸟恋月、金鸡报晓、一线天、会仙门、神雕护宝等，美不胜收。人们在惊叹大自然鬼斧神工的同时，更为这些神、奇、美的巧合而深深地折服。"		NA	NA	NA	371	371	5
来宾罗汉山	 广西·来宾 广西来宾市金秀县 	来宾	NA	罗汉山风景旅游区位于金秀县城西部，介于金秀河与平道河之间，距县城10公里。此山海拔1335米，面积约10平方公里，山上群峰林立、云封雾锁。远看峰浮云海、气势磅礴，近看怪石凌空、鬼斧神工，如猛虎下山、万马奔腾，山峰青松挺拔，大小高低对比强烈，迎客青松造型美观，从东至西满山遍野，万顷松林咆哮翻腾，蔚为壮观。 从罗汉山风景旅游区山顶至山脚，杜鹃遍布，细流涓涓，鸟叫虫鸣，汇成一部巨大的交响乐曲；往北鸟瞰，梯田层层，水车滚滚，掩映在林海中的高山瑶寨炊烟袅袅，歌声阵阵，鼓锣喧天，好一派高山瑶寨的迷人风光，让人如迷如醉，留连忘返。		NA	NA	NA	307	307	3
象州古象温泉度假村	 广西·来宾 广西省来宾市象州县城郊花池村 	来宾	温泉 疗养 美食	"广西省来宾市古象温泉度假村温泉水清澈透明，无色、无味、无污染，最高水温达86℃，素有“浴可去疾，浸可烹鲜”的特点，象州温泉水中含有锶、偏硅酸、钾、钙等24种对人体十分有益的微量元素，可以预防和治疗皮肤病、胃病、消化不良、神经衰弱、风湿病等，对慢性关节炎、神经痛、慢性风湿病、腰肌劳损、运动器官外伤后遗症、神经衰弱等有明显疗效。
温泉洗浴区内设有各种温泉泡池，不同水温、大、中、小池共计19个，可同时容纳1500多人泡浴，应对不同功效需求开发有地热石板，药浴等等，起到保健、疗养、瘦身、美容等作用。
度假村建筑依山就势而建，建筑为中国传统的庭院式民居风格，亭台楼阁，相互映衬。度假村酒店拥有各式精致舒适的豪华客房260多间(套)，其中别墅式酒店71栋，内部设计尊贵典雅、温馨舒适，客房内均为天然温泉用水，设有私人温泉泡池。
"	自驾：从象州汽车站到温泉大道到S307到达景区	08:30--23:00 	"         欣欣价-广西来宾象州古象温泉度假村成人票：128元起（省50元）；
欣欣价-广西来宾象州古象温泉度假村儿童票：68元起（省110元）。
特惠政策:
A.免票政策：身高1.2米（不含）以下儿童免费（需成人携带方可入场）。
B.优惠政策：身高1.2（含）--1.5（不含）米之间儿童购景区优惠票。 "		385	385	4
