title	address	city	theme	introduce	traffic_guide	open_time	ticket_information	ticket_price	ticket_total	ticket_surplus	stars
雨卜民族风情旅游度假村	 广西·柳州 广西壮族自治区柳州市融水县雨卜村 	柳州	山脉 农家乐 美食	"融水苗山旖旎如画的风光，有巍巍的元宝山、莽莽的林海、飞瀑、深潭和幽洞。清清的贝江水，伴有“贝江飞虹”--铁索桥，还有寿星岩寺庙等景观。这里是天然的动植物园，第四纪冰川的孑遗植物“广西冷杉”200余株，是新发现的稀有珍贵树。这里吹笙踩堂、拉鼓、踩脚求爱、斗马、打同年等渊源流长的民俗是苗族传承千年的文化奇观，苗锦、蜡染、银饰等手工艺品是苗族文化皇冠上的明珠。
来到广西枊州雨卜民族风情旅游度假村您可以观赏到原生态的苗族风情歌舞表演，芦笙踩堂，跳竹竿，踩脚求爱，苗族婚俗，芒篙，拉鼓等游客参与 的节目，还有篝火烧烤，打油茶，坐妹，对歌宾主联欢等活动，让您度过一个难忘的良宵。您还可以看到芦笙斗马之乡精彩激烈的斗马活动，到大自然的怀抱中，体验刺激的溜索，溪降，漂流，到清澈的天然游泳池中观鱼戏水。
广西枊州雨卜民族风情旅游度假村位于广西北部，交通十分方便，枝柳铁路穿县而过，公路由县城至柳州118公里，至桂林168公里，水运可直达柳州、广州。境内居住着苗、瑶、侗、壮、汉等民族。包含着苗族历史、文化和习俗积淀的民族坡会，已成为苗山各民族人民的精神坐标和文化盛会，已被列入第一批国家非物质文化遗产名录。

"	自驾：进入G209，稍向右转进入20251线，进入秀峰北路，进入秀峰南路，进入S309，直行进入X638，右转进入X641，进入Y107，到达终点。	08:00—21:00 	"         欣欣成人门票价（旅游套票2）：120元（省30元）；
特惠政策：儿童身高1.2米以下（含1.2米）免费。 "	158	352	352	2
侗乡鸟巢（坐妹）	 广西·柳州 广西省三江县古宜镇侗乡鸟巢 	柳州	演出	"《坐妹》是广西三江县中国侗城与湘、黔、桂三省（区）侗族地区联合打造，侗乡鸟巢文化有限公司投资7000万元倾力打造的侗族大型风情实景演出是中国侗城景区的灵魂之作，演出通过侗族大歌、喊姑娘、闹姑娘、坐姑娘、赶坡节、多耶团圆六个篇章及鼓楼、桥、吊脚楼的舞台变化。
借助现代高科技表现手法将侗民族的传统文化与现代文明完善结合，用观众喜闻乐见的形式再现了博大精深的侗族风情，游客坐在中国首创圆形木质结构的巨大鸟巢观众席上，领略让世界惊叹不止的侗族风情。
中国侗城，不仅继承了我国南方古代干栏式建筑十分久远的传统，而且汲取了别民族产业的技巧，并在建筑风格上通过一代代人的传承和发展，从而创立了自己别具一格的木建筑工艺体系。
将中国300多万侗族同胞最具代表性的建筑文化、饮食文化、服饰文化、歌谣文化、器乐文化以及侗族人物传奇和侗族的历史，以浓缩的内容和具体的模型实物向世人展示。

"	"自驾车路线
南宁市—柳州市—融安县—三江县侗乡大道 三江鼓楼对面（中国侗城景区） 柳州市—融安县—三江县侗乡大道三江鼓楼对面（中国侗城景区） 桂林市—龙胜县—三江县侗乡大道三江鼓楼对面（中国侗城景区） 
公交路线 
建议游客可坐直达快班车"	入场时间：20:00 演出时间：20:30-21:45（演出时长75分钟左右） 	"     欣欣成人门票价：140元起（省58元）；
特惠政策：
A.免费政策：1.2米（不含）以下儿童免票；
B.优惠政策：1.2（含）—1.4（含）米之间儿童购儿童票；70岁以上老人凭老年证购老人票；军官凭军官证购军官票。 "	120	349	349	4
柳州马鞍山公园	 广西·柳州  	柳州	NA	游人乘坐旅游索道缆车，可以从鱼峰山到达东面的马鞍山公园。这座山东西走向，长五百米，高达海拔二百七十米，是市区内最高的山。它东西突兀，中间凹陷，形如马鞍，因而得名。古代称天马山，因为雄峙江畔，很像呼啸腾空的奔马，所以有“天马腾空”的美誉，是柳州八景之一。 山上名胜古迹很多，相传古代八仙中的铁拐李和吕洞宾曾在此山下过棋，至今山上还留有一尺多长的仙人足迹和棋盘石，成为“仙弈传情在马上”，是历代游人玩赏的好地方。历代名人题咏颇多，游人在此边游山，边品诗，非常有趣。		NA	NA	NA	371	371	3
柳州香桥岩	 广西·柳州 位于鹿寨县中渡镇内，距县城西北方向约 28公里 	柳州	森林	位于鹿寨县中渡镇内，距县城西北方向约 28公里。旅游区大体南起中渡镇，北至枫木坪，呈西北—东南向延伸，长约11公里，总面积约30平方公里。风景区由香岩和桥岩两景点组成。 香岩 高4米，长60米，宽22米，有石级贯通。入岩略觉暗淡，道路崎岖曲折，转向稍行数步便豁然开朗，岩内美石纷陈、千姿百态，有的似榕林，有的似长者，有的酷似和尚端坐，还有的如狮、虎、马、牛。中央有一钟乳石倒挂，似一盏宫灯。出口处有天然大厅，能容纳百余人。出后洞口，是一悬崖。老树古藤，攀援交织，绝壁幽谷，深潭莫测，石礁遍布。悬崖右下侧，是一深潭，潭宽20余米，水绿如染。离潭不远，一弯清流，穿山而来，洛江在地下潜流久远，到此才露出地面。 桥岩 顺河谷前行百多米，便是桥岩。桥岩地质学上称为“天生桥”，桥宽47.5米，长40米，桥顶面距水面42米，桥体厚度大约10米。桥身纯系巨石天然生成，削壁光滑，桥身平整无隙。桥岩两壁直立，壁上留下古河道的各种水流痕迹；受后期地下水影响，洞壁及洞顶附着不少钟乳石。桥下坠石拦河，形成急流，潺潺水声甚是悦耳动听。香岩、桥岩壁上，留有不少古今游人摩崖石刻，称香桥岩为“桃源真境”。其中较出名的是清光绪二十年（1894年）中渡抚民厅主管赖进升和民国36年（1947年）中渡一些文人的题刻。 九龙岩	自驾：柳州—雒容—鹿寨—中渡古镇——香桥景区	09:00--17:00 	     60元 	8	332	332	4
柳州卡乐星球欢乐世界	 广西·柳州 广西省柳州市柳东新区翠岭路9号柳州卡乐星球主题乐园 	柳州	NA	"柳州“卡乐星球 欢乐世界”主题乐园作为深圳华侨城新一代高科技互动乐园，该园分为人鱼王国、太阳部落、卡乐小镇、卡西诺大街、云部落等主题区域，包括全球首创的影视跳楼机、幻影剧场等15个室内高科技项目和19个室外游乐项目，占地近800亩。
"	NA	NA	NA	NA	395	395	4
柳航游船	 广西·柳州 广西省柳州市柳北区海员码头（柳航游船码头） 	柳州	游船	"每当花灯初上，百里柳江两岸霓虹闪烁，，繁华街区人头攒动浮雕，市区沿江山体、瀑布、音乐喷泉在色彩景观灯的照耀下，犹如一串晶莹剔透的彩色夜明珠，倒映在恍若银河的九曲柳江，汇成龙城夜色中最魅力的人间美景。
东台山（灯台山）位于水南路中段北侧。东南——西北走向，长约300米，海拔195.2米。《马平县志》载：“其一崖面江，相传有龙须带浮于水面，又名龙须崖。”至今仍见崖壁内陷处，藤蔓攀延，根须浮水面。因其形如台，故东台山，时至黄昏，夕阳晖洒在东台绝壁上，辉煌得不可端视。烛照河面，渔歌唱晚浆摇波涌，光艳盈江。
柳江喷泉总厂328米，宽40米，主喷泉喷高100米，共配置7类14种水型和5种功能系统。喷泉的水型种类有恒动和谐、天塔玄揽、金阳飞旋、飞龙旋云、一往无前、欢乐摇摆、青山耸秀。整个功能系统采用艺术灯光、亮绿激光、广场音响、升降平台控制、光纤远程控制。其科技含量及艺术效果超过美国拉斯维加斯喷泉，目前是亚洲最大的江面升降浮式音乐喷泉之一。
"	自驾：柳州汽车总站-文笔路-鱼峰路-驾鹤路-柳航游船码头	9:00-22:00 	     80元起 	40	327	327	5
水之星豪华游轮	 广西·柳州 广西省柳州市蝴蝶山路58号1-4号 	柳州	NA	"柳州“水之星”豪华游船是目前全国唯一一艘三位一体的游船，它是由一大二小的瘦长的船体共享一个主甲板及 三层龟背结构的军舰新船型。
设计新颖、装饰豪华、设施齐全，长40米，宽15米，高20米，可容纳100人。其优点：阻力非常小，稳定性极佳， 适航性更强。
如果您接待外来的亲朋好友，要首选水之星哦，他能减轻乘坐人员晕船等不适症状，还能让乘坐人员体会乘坐军舰 一样的感觉！
"	NA	NA	NA	NA	349	349	3
柳州融水苗山	 广西·柳州 广西柳州市 	柳州	NA	融水苗族自治县位于广西北部，距柳州市约120公里，境内居住着苗、瑶、侗、壮、汉等民族。这里山青水秀，民族风情浓郁，风光如画的贝江和两岸的苗寨、多彩的苗族歌舞、紧张激烈的苗家斗马、奇异的婚俗、别具一格的苗家吊脚楼、绚丽的民族服饰、饶有情趣的民族餐等等，构成了一幅绚丽多姿的民族风情画卷。 　　融水苗山旖旎如画的风光，有巍巍的元宝山、莽莽的林海、飞瀑、深潭和幽洞。清清的贝江水，伴有“贝江飞虹”――铁索桥，还有寿星岩寺庙等景观。这里是天然的动植物园，第四纪冰川的孑遗植物“广西冷杉”200余株，是新发现的稀有珍贵树种。这一带主要景点有30余处。在离城19公里处的贝江铁索桥附近，新建了四荣乡第一座民族旅游村。村内主要道路修整畅通，改建了芦笙坪、斗马坪，新建一座具有民族特色的接待木楼。全村居住着70多户人家都是苗族，在风俗习惯、民房建筑、语言、服饰等方面都保持着浓郁的苗族特色，多姿多彩的芦笙踩堂舞、芒哥舞、拉鼓舞、敬酒舞和斗马赛马、斗鸟等鲜为人知的习俗。 　　枝柳铁路穿县而过，公路由县城至柳州118公里，至桂林168公里，水运可直达柳州、广州。		NA	NA	NA	378	378	2
柳州三江侗乡	 广西·柳州 广西省柳州市三江侗族自治县 	柳州	古镇 民居 演出	"三江侗乡位于湖南、贵州、广西三省毗邻地带，临河沿溪一带，会有许多极富民族特色的民舍木楼，这就是保留完整的侗乡民居，它们带有浓郁的传统民间文化和神秘色彩，令人向往。
以低山和丘陵地貌为主的三江县，属云贵高原的雪峰山、越城岭和苗岭山脉的延伸地带，县境内山岭叠翠，蜿蜒起伏；在这里生活的主体民族是侗族，占全县人口的53.6%。由于侗族同胞的衣、吃、住、行都具有十分突出鲜明的民族特色，再加上侗乡神奇秀丽的自然风光以及丰富多彩的传统节日，使三江成为桂中地区民族风情与风光旅游的一个热点。 走进柳州地区三江侗族自治县,不仅使人感受到浓郁奇的侗族风情,更以独特的侗族建筑艺术令人称赞。只要走进侗乡,不论向哪个寨子望去最先进入眼帘的就是风格独特、结构精巧、雄伟壮观的侗族风雨桥和鼓楼,其中,程阳风雨桥和马胖鼓楼最大,最具有代表表性,这些独特的建筑与周围秀丽的自然田园园风光相交织,构成一幅幅美丽的图画。
"	"从柳州汽车站乘坐直达豪华大巴，班次较多，行程约3小时30分钟。票价40元/人。
从桂林前往三江也有直达大巴，但班次较少，行程约4小时左右，票价50元/人。车资随季节有波动。
推荐：从柳州出发的直达大巴，安全和时间有保证，路况好，盘山路少。
三江有河东和河西两个汽车站，发往桂林和柳州的汽车都在河东汽车站；而前往程阳风雨桥需要在河西汽车站乘坐林溪方向的班车，约30分钟，程阳风雨桥站下即可，车资7元/人。"		         欣欣价-三江中国侗族风情大型实景演出《坐妹》：140元起（省58元）； 	120	309	309	2
柳州金秀	 广西·柳州 广西省柳州市 	柳州	森林 瀑布 山脉	"在柳州乘汽车往东南走八十一公里，就是我国第一个瑶族自治县――金秀。它因自然资源十分丰富，山水风光秀丽奇特而得名，意为“金山秀水”。金秀境内的大瑶山百里连绵，就像一块硕大的翡翠镶嵌在桂中大地，现在已经成为著名的旅游景区，有圣堂山、金秀老山、莲花山、罗汉山、天堂岭、五指山等名山。这些山均为丹霞式峰林地。于是，丹峰、碧水、绿树相映成辉，各具特色，蔚为壮观。 这里的山景雄奇挺秀，既有五岳的雄壮巍峨，又有武夷、张家界等处山体的列峰排空，怪石嶙峋。它的独特之处在于，山与原始森林、瀑布、山溪、幽谷、云海、日出、幻雾等自然景色交融一体，人在其中游，有移步换形之妙。
"	"南宁到柳州金秀：
在埌东汽车站上车。一趟上午9点半;另一趟是下午2点10分。 注:客运总站没有到金秀的车。"		         欣欣价-金秀古占瑶寨成人票：50元起（省30元） 	50	310	310	3
