title	address	city	theme	introduce	traffic_guide	open_time	ticket_information	ticket_price	ticket_total	ticket_surplus	stars
广西梧州石表山	 广西·梧州 广西省梧州市藤县象棋镇道家村 	梧州	森林 峡谷 山脉	"广西省梧州市石表山位于广西东部的梧州市藤县境内，总面积约15.8平方公里，处在珠三角经济圈和北部湾经济圈的交汇点，距梧州市仅88公里，交通便利，旅游资源丰富，类型多样，包括原生态水域景观、沙滩景观、丹霞地貌景观、历史人文景观、田园村落景观等，是丹山、碧水、沙滩、翠竹、村落组合完美的地方，是按国家AAAA级旅游景区规划为集休闲、度假、揽胜于一体的天人合一山水诗 画景区，具有较高的观赏游憩价值。
景区坐落的象棋镇道家村是历史名村，隋唐以来，历朝均在此设立驿站，现村中尚存多处文物古迹，隋时护城河、唐时通济桥、清时福隆庄等仍保存良好。
景区内的思罗河漂流属于原生态休闲漂，全程约7公里，丹山、碧水、金滩、翠竹把思罗河点绘成了一条如诗如梦的立体画廊，那里空气明净，环境清幽，河水清澈，翠竹葱郁，是天然的大氧吧，坐在竹排上悠然而漂，还可领略当地原汁原味的水上风情，是不可多得的放松身心，亲近自然的好去处。
石表山景区内道家沙滩公园堪称中国内河第一滩，滨临于素有“古代南方水上丝绸之路”美誉的北流河。沙滩的沙子中含有丰富矿物质，利用这些天沙子进行沙疗，有十分明显的理疗效果，园内还设有沙地拓展营地、沙地露营、沙地娱乐、沙地美食、水上乐园等项目，在园内可踏沙戏水，是理想的观光、娱乐、休闲、疗养场所。
景区内的石表山寨属典型的丹霞地貌，集“雅、幽、奇、险、神”于一体，山上植被丰富，城墙式的丹崖绝壁及险峻幽深的额状岩廊随处可见，站在山上还可领略山下如诗如画、如梦如幻的田园风光。因山势险要，石表山还是天然的军事要塞，在秦汉时期便有人在山上筑寨而居，至今山上仍留存有古人构筑的古寨门、古石墙、古城堡、古石井等遗迹。石表山寨是丹霞地貌、生态知识、历史文化修学旅游的绝好去处。
明澈的河水、洁净的沙滩、深幽的峡谷、青葱的竹林、神秘的山寨、鬼斧神工的丹霞景观、古朴天成的村落，融合了自然的钟秀、文化的气韵和历史的沧桑，使得整个景区独具特色，魅力无穷。
景区资源实体体量巨大，疏密度优良，元素组合度高，互补性强，可以满足游客多样化的旅游需求，据考证，景区内有四级旅游资源4处，三级旅游资源37处，二级旅游资源58处，一级资源16处，旅游资源基本类型多达43种，达到了Ⅰ级标准。2007年以来，石表山景区被评为广西农业旅游示范点、梧州市十大好玩景点之首。

"	景区距藤县县城38公里，距梧州市区88公里，容县至藤县二级路可到达。距玉林市容县县城40公里。距桂平市120公里。从梧州出发的需1小时30分钟；从藤县县城出发约需40分钟车程。	08:00—18:00 	"         欣欣价-广西梧州石表山小套票成人票（石表山山寨+沙滩公园）：65元起（省15元）；
特惠政策:
A.免票政策：儿童1.1米以下（含1.1米）进入景区（沙滩公园、石表山、古井景区）免票，漂流均按上表成人网络优惠；
B.优惠政策：儿童、学生1.1米以上均按照上表成人网络优惠票购买，其余均无其他任何网络优惠。详情以景区公告为准。 "	85	340	340	3
梧州岑溪石庙	 广西·梧州 广西省岑溪市南渡镇吉太社区 	梧州	寺庙	"在群山环绕的黄华河中上游，屹立着一座古老的石山，这就是远近闻名的石庙旅游点。它位于水汶镇西南部，座落在兆阳村委会后面，西邻吉太乡，东北与大隆镇相邻，南邻广东朱砂镇，距水汶镇政府驻地12公里。石庙相对高度950米，占地面积170多亩。气候冬暖夏凉，四季宜人，年平均温度20.3℃，雨量充沛，历年平均湿度为78%。石庙资源丰富，有金属矿和非金属矿，有各种野生动物等。
石庙四周群山怀抱，连绵起伏，直通云间。一条小溪由左向右环绕着山脚，与黄华河相接，连成一体，就象一条玉带盘绕着石庙。一条公路盘旋石庙山间而上，直通石庙顶。石庙山上怪石嶙峋，奇峰突起，千姿百态，花草树木在石缝间生长，枝繁叶茂，每逢早晚，云雾笼罩，就象人间仙景。有民诗赞“石中溪水万上青，庙前风景千古秀”，可与“桂林山水”相毗美。
相传盘古开天辟地，天上三位仙人指使三个石人赶石山往土柱顶，赶到石庙（后取名）时天已亮，就赶不动石山了，就让其座落花流水在此处，并指派盘古老神在此镇守，后取名石庙。盘古老神在盘古大石上种下一株柑桔树，每年中秋月圆时分就“流泪”（流桔子）向天哭诉申冤，但始终喊天不应，叫地不闻。后来，有人在盘古石下面建了一座庙，叫盘古庙，也叫石庙，据说这个石庙很灵，一直以来香火鼎盛，香客甚众。

"	南宁国际会展中心/G80/广昆高速/G72方向，进入G80，朝河池/百色/北海/G75方向，稍向右转进入南宁东互通，朝贵港/梧州/肇庆/玉林方向，稍向右转，朝罗定/茂名方向，稍向左转进入G65，沿G65行驶，从归义/梨木/G324出口离开，朝梨木方向，进入G207(旧)，沿G207(旧)行驶，过竹根咀右前方转弯进入X211，过虎山脚后直行进入G207，沿G207行驶，右转进入X629，沿X629行驶，到达终点。	08:00—17:00 	"     欣欣成人门票价：30元起（省5元）；
特惠政策：儿童身高1.2米以下(含)免票。 "	30	344	344	2
岑溪吉太天龙顶	 广西·梧州 梧州市岑溪市南渡镇吉太村附近 	梧州	公园	"天龙顶，国家山地公园位于岑溪市南渡镇吉太村附近，距离岑溪市35公里，距离南宁至梧州的高速公路坛蓉路口仅15公里，有新修的高等级柏油路直达景区。 天龙顶国家山地公园占地面积15平方公里。景区主峰天龙顶海拔1221米，相对高度221米，属云开大山山脉的主峰。景区内海拔高于1000米以上的山峰还有石豹顶、公婆顶、湖广顶等四座山峰。 天龙顶景区的自然资源具有多样性，景区内有高山湖泊、原始森林、沟壑峡谷、溪谷瀑布群、海拔1000米之上的高山草甸、海拔1200多米的丹霞山峰、延绵近数十里的断层崖壁等等，形成了一个具有旅游观光、休闲度假、户外运动等多功能的复合型景区。 天龙顶国家山地公园多年平均日照时数1812.7小时，平均太阳辐射量为105.765千卡/㎝2；多年平均气温21.3℃，极端高温38.2℃，极端低温-3℃，≥10℃的活动积温7119℃，气温最高的七月份平均气温28.1℃,气温最低的一月份平均气温12.3℃，年无霜期327天以上，而天龙顶山地上自然形成的小气候带，夏季空气干燥凉爽，在岭南地区实属罕见。 天龙顶山地休闲度假凸显山地的特征，充分利用了山地的自然和人文资源营造的氛围，前者包括山体、水体、空气、动植物和特殊天象，后者包括民俗、宗教、建筑、历史典故、文学艺术烙印等，是山地景观观赏、攀登、滑翔、野营、写生、摄影、徒步穿越、山地越野车穿越、宗教拜谒、度假疗养、洗浴、漂流、采摘、滑草、探险、特色餐饮、垂钓、山地自行车等休闲活动的最佳去处。"	自驾：岑溪汽车总站-玉梧大道-G207-X203-天龙顶	9:00-17:00 	     70元。 	40	383	383	3
岑溪市天龙顶山地公园	 广西·梧州 广西省梧州市岑溪市南渡镇吉太村附近 	梧州	森林 峡谷 山脉	"龙顶山地公园开发建设了龙脊仙桥、冰川遗址、田园水韵等自然景观。提供丰富多彩的观赏、攀登、野营、徒步穿越、度假疗养、溯溪、农家乐、采摘、探险、特色餐饮、山地自行车、瑜伽健身等山地旅游活动。
"	NA	9:00-17:00 	         65元起 	40	302	302	3
梧州藤县蝴蝶谷漂流风景区	 广西·梧州 梧州市藤县琅南镇黎寨村 	梧州	NA	蝴蝶谷漂流风景区位于梧州市藤县琅南镇黎寨村，距梧州市区48公里（其中二级公路40公里，村级公路8公里）约一小时车程，小车可直达景区门口。景区门口设有同时可以容纳200辆小车的停车场和篮球场，景区内拥有桂东南地区最大的由十多处天然瀑布形成的瀑布群，以及落差最大、最刺激的深谷冲浪环境。漂流落差230多米，全程水路3.8公里约2.5小时。 景区内设有：特色农家宴、木屋住宿、深谷冲浪运动、山顶湖垂钓、烧烤场、森林探险等（人工温泉谷在开发中）。林间随处可见飞舞的蝴蝶、古树参天、碗口粗的古藤缠绵、溪水青绿冰凉。漂流途中滩险水急、十多处银流飞泻的瀑布、高速滑道峰回路转，定会令您在有惊无险的强刺激中尽情享受大自然带来的狂野感受。 自然、生态、快乐、刺激。完全令您流连忘返！		NA	NA	NA	323	323	4
梧州鸳鸯江	 广西·梧州 梧州市河西岸 	梧州	NA	"鸳江春泛为梧州八景之一。即桂江、浔江（西江上游）汇合后，桂江的清水与西江的浊流同时流动，一浊一清、一急一缓，泾渭分明，俗称鸳鸯江，被宋代大诗人苏东坡盛誉为“鸳鸯秀水世无双”。 　　鸳鸯江景色秀美，放眼望去，只见西江浩淼，水流滔滔；桂江碧绿、波光粼粼。两水交汇处，恰似戏水鸳鸯，相互依偎，相互拥抱，长相厮守，难舍难分。相传宋代大诗人苏东坡当年获赦路经梧州，适逢中秋之夜，泛舟于鸳鸯江，面对清浊江水不禁思绪万千，吟诗赞道：""我爱清流频击楫，鸳鸯秀水世无双。""鸳鸯江水之名也从民间传开来。""鸳江春泛""被列为梧州八景之首。凡到梧州的游客游览了这一景色无不赞叹称奇。 84年底，梧州市在河西岸的三角嘴处开辟了一个称为“鸳江春泛”的风景区，古朴典雅的凉亭和高低起伏、迂回曲折的沿岸长廊，吸引了我就来不少游客凭栏远眺，目送滔滔东去的大江，观赏清浊汇成的奇观、以及南岸火山上的允升古塔。2000年6月，鸳江汇合处又架起了鸳江大桥，更是为观光的游客提供了一大方便。"		NA	NA	NA	383	383	4
梧州岑溪吉太漂流风景区	 广西·梧州 梧州岑溪市南渡镇吉太的石庙山景区 	梧州	NA	"吉太漂流被誉为“岭南第一漂”,坐落于岑溪市南渡镇吉太的石庙山景区。石庙山景区是梧州、玉林和广东的茂名市交界处，最高峰土柱岭海拔1211米，为桂东第一高峰。这里山高林密，生态独特，环境优美。岑溪吉太漂流全长4.8公里，起点和终点之间落差达120米，内有8个滑道，漂流全程约需2个小时，沿途建有长约5公里的游览步道。漂流河道是聚泉成河的溪流，两岸绿树成荫，奇石林立，水流湍急，一路胜景，紧张刺激。同时开业的还有被誉为“桂东第一瀑”的白霜涧瀑布，该瀑布紧邻漂流区，落差达80多米，沿途建有长2.1公里长的溯溪观瀑道及浮桥、网桥、铁链梯等，两岸青山相夹，森林茂密，奇花异果，古树参天，溪水清澈见底，美不胜言。是观景、休闲、运动、度假的好去处。"		NA	NA	NA	321	321	2
白云山公园	 广西·梧州  	梧州	NA	岭南最高的释迦牟尼像：四恩寺大雄宝殿中间供奉着三尊檀香木饰金佛像：正中是结跏跌坐、面容慈和的佛祖释迦牟尼，法身高6．6米。		NA	NA	NA	350	350	5
东华寺	 广西·梧州  	梧州	NA	东华寺，位于梧州市区12公里左右的长洲镇龙平村大宕组东华山半山腰。		NA	NA	NA	338	338	4
骑楼城	 广西·梧州  	梧州	NA	1897年开埠后，梧州成为广西的商业中心。上世纪二十年代，梧州商埠局拆古城墙、拓宽街道，原来的坊式房逐渐被骑楼取代，在河东老城区留下连绵成片的骑楼群。22条原汁原味骑楼长街上，560座中西文化水乳交融的传奇建筑，荟萃中外经典设计的骑楼。骑楼街士贾云集，最风光时街上有大小商号1500多家，造就了上万富商，人称“千年岭南重镇，百年两广商埠”。		NA	NA	NA	343	343	2
李济深故居	 广西·梧州  	梧州	NA	李济深故居位于梧州市苍梧县料神村。曾任中央人民政府副主席的李济深先生1885年诞生于此。		NA	NA	NA	350	350	5
天书峡谷	 广西·梧州  	梧州	NA	天书峡谷位于蒙山县城东5公里，因谷口那巨大的“天”字和谷内清潭上的“天书奇石”而得名。峡谷蜿蜒于倮倮峰、观音山、古朗寨、旗号岭等群山之中，全长10多公里，葫芦江和三叉江的两道清溪绕谷流淌。旖旎的风光闻名于桂东，神秘的故事渊远流长。		NA	NA	NA	335	335	5
