title	address	city	theme	introduce	traffic_guide	open_time	ticket_information	ticket_price	ticket_total	ticket_surplus	stars
宜州刘三姐故居	 广西·河池 河池市宜州市 	河池	故居	距阳朔６公里的桂荔公路上，有一个风景秀丽而闻名全世界的地方――大榕树？刘三姐故居风景名胜区。 这里“水似青罗带、山如碧玉簪”。大榕树已有1500年的历史，如今更是枝叶茂密、英姿飒爽，被当地人视为“神树”。古时候农家患病无钱医治到此烧香许愿、便会保平安，此树还是“情树”，凡在此树前诚心许愿，求贤婿美女的都能如愿以偿。当年壮族歌仙刘三姐与其情人阿牛哥的定情处。大榕树旁边，河水明净如镜逶迤曲折，其上每天都有很多游客在此精彩、体验竹筏漂流和跟随现代刘三姐对上几句山歌。	自驾：从和平路口—县前街—龙江路—冯京路—刘三姐音乐喷泉广场—S204—景区	08:00—15:00 	"     120元。欣欣成人票价：110元起。
A.免票政策：儿童身高1米以下免票。
B.优惠政策：儿童身高1—1.4米购儿童票；持老年证、军官证、残疾证、学生证购景区优惠票 "	50	336	336	2
河池百魔洞	 广西·河池 广西壮族自治区河池市巴马县甲篆乡坡月村 	河池	洞穴 避暑	"百魔洞位于巴马县甲篆乡,1987年，当中国和英国的岩溶地质专家踏进了百魔洞，进行了联合考察后，一致认为：该洞集天下岩洞之美于一身。洞的平均高度为80米，宽70米，主游路程4000多米，盘阳河从百魔洞下流过。百魔洞的独到之处还在于它的钟乳石高大气派；据测量，最高的石笋为39米、直径为10米。景点设有：孔雀迎宾、良田万顷、金山猴王、杜甫吟诗” 该洞加上洞上洞、洞内洞之歧路，游程可达万米。与相通的感岁洞，邻近的柳羊洞和五仁洞组成庞大的洞群。此洞分为4个大殿堂，辉煌瑰丽，多姿多彩，让人看了留连忘返。其中最为壮观的是那个100多米高，几百米宽、1000多米长的大殿堂内，几十个70~80米高、3~5米直径的钟乳石柱，构成庞大的石塔群，挺拔高耸，雄伟壮丽，让人惊叹不已。加上洞中雾气缭绕，变幻无穷，更使这个巍巍景观显得诡秘多姿。这些巨大的钟乳石塔，是经过几亿年岩溶发育的结晶，实属“天下之最”。 此洞洞中有天。南、北洞间，是个桶形的通天洞，洞周围峭壁垂直，高达百米，洞底方圆20亩的橙果园，堪称“世外桃源”。洞边有曲折小路可攀援而上。登临“天窗”，俯瞰空谷，忽觉那一株株高出人头的果树，恰如一列列伏波的幼苗，依偎在大山古洞的旷袤深邃中。南洞的二、三楼洞的皇帝宫殿、迷魂宫更加瑰丽多姿，有的如帆出海，百舸争发；有的像群仙席地，各具形情；有的如卧室装饰，枕被俱全，壁上挂镜闪闪发光，不啻鬼斧神工，天造地设。
"	自驾：南宁—G322—朝河池/百色方向—朝百色/云南/G80方向—广昆高速公路—从田阳县出口离开—进入田阳互通—进入敢壮大道—进入G323—进入S208—到达终点	9:00—16:30 	"       70元。

特殊人群：A.免费政策：儿童1.2米以下免费。

B.优惠政策：1.2米—1.4米之间的儿童、70岁以上的老人持老年证或身份证，享受优惠价35元/人。 "	43	363	363	4
赐福湖长寿岛	 广西·河池 广西省河池市巴马县巴马镇赐福村 	河池	洞穴 岛屿 避暑	"赐福湖是赐福盘阳河段因岩滩电站蓄水后形成的大湖。位于巴马县城东8公里处，一座长396米、高39米、广西多结构组合型大桥之冠的赐福大桥雄跨西北，把赐福湖分为东南湖和西北湖，桥南有海拔600多米的维汉山，桥北500多米的识立山，两座山拱卫桥头，雄视湖面，气势雄伟。站在湖边高处，俯视湖面，只见许多山岭大半截被水淹没，露出水面的山头便成了数百个岛屿和半岛，成为展现在游人面前碧水常驻的赐福湖。
赐福湖西北起自三江口大桥畔，东南至波贵村3公里处，延绵数十里，平均宽约400米。但见水绕峰回，河道悠长。那崩崖绝壁，孤峰倩影，以及颐养百岁寿星汩汩灵泉构成了这一浮光跃金的高峡平湖！盛夏，霁色初成，雨悄悄地收，雾徐徐地退，船头眺望，雾中峰峦初露，如春笋解箨，似龙脊隐约，近坡竹簇摇翠，低首向背，如促膝，似低语。此时岸上飞瀑流泉，时或翎羽翔技，而或渔舟列岸，好一派水乡泽国……赐福湖水深处不可测，右岸丘峻连绵，花木四季不败，左岸石山重叠，千姿百态，是乘舟、垂钓、游览库区新村和湖光山色的理想胜景。巴马赐福湖已经形成旅游景区，景区内青山常绿，碧水常驻，湖山映衬，相得益彰，夫妻岩东面屹立，四叠泉南边飞涌，睡美人西北醉卧，莲花峰西麓回眸，近水远山皆有情，故人称“瑶山西湖”。景区内的养生度假业已悄然兴起，是疗养、泛舟、垂钓、游览湖光山色的理想胜地。

"	巴马县城出租、公交车	8:30—17:30 	"         100元。
特殊人群：A.免费政策：儿童1.2米以下免票；军残凭证免票；记者凭证免票；旅行社记者凭证免票；
B.优惠政策：70岁以上老人持老年证购门市价的半价 ；1.2-1.4米儿童购半票；现役军官士兵凭证购半票 ；
 其他优惠以景区公布为准 "	80	381	381	2
水波天窗（百鸟岩）	 广西·河池 广西省河池市甲篆乡烈屯西北面的漠斋山下 	河池	洞穴 避暑	"百鸟岩是个地下溶洞，长约一千五百米，有水上芦笛岩之称。每当朝霞初开或夕阳西斜的时候，成千上万的岩燕飞出洞口，贴水嬉戏，景象蔚为壮观，因此得名。乘小船前往洞中，船桨轻轻的摇动，墨绿色的河水泛出一圈圈的涟漪，把手轻轻放入水中，河水温润柔和，两岸竹影婆娑，人如在画中行驶。 船驶入洞中，如同进入了世外桃源，安静而清爽。洞内水平如镜，深不可测。从洞口行舟至三百米转折处，距水面三十米处有一圆形天窗，山坳之光照到水面，犹如舞台上的光束，色彩纷呈。洞内石钟乳千姿百态，令人目不暇接。石鹰、石柱、石幔、石观音菩萨等，惟妙惟肖。还有那雄伟壮观的“黄果树瀑布”，远处似乎都可以听到哗哗的水流声。
洞内高含负氧离子，是天然的空穴氧吧，可以清肺明目、令人神采飞扬。随着游船向前行驶，洞内光线忽明忽暗，如同进入光怪陆离的时光隧道之中，加上导游悠扬动听的山歌声，让人恍惚进入了仙境。
"	当地没有直达景区的公交车，只能到当地包车前往景区。	8:30—17:30 	"       70元。
特殊人群： A.免费政策：儿童1.2米以下免票；军残人员凭证免票；记者凭证免票；旅行社经理资格证免票；
B.优惠政策：儿童1.2米－1.4米半票；70岁以上老人持老年证购半票；现役军官士兵凭证购半票；
  其他优惠以景区公布为准。 "	45	304	304	3
河池长寿水晶宫	 广西·河池 广西河池巴马县那社乡 	河池	洞穴	"长寿宫原名水晶宫，位于巴马县那社乡，属国内一流的罕见珍稀溶洞，并且还处在生长之中，极具观赏价值和科学研究价值。
走进长寿宫，恍如置身一个玉砌般的童话世界。地上发育着鲜活、透明蘑菇状晶体；空中垂悬着白嫩、纤细、蜷曲且神态各异的水晶球、水晶花、水晶草；而那些洁白无瑕通体透亮的玉柱、玉笋则在天地间毫无顾忌地疯长着。
整个溶洞活脱脱就是世界长寿之乡的缩影，那些发出水晶般的光泽的钟乳石就像一个个老寿星堆砌着、排列着、舒展着，""寿星探秘""、""圣母祝寿""、""寿乡活力""、""寿比南山""、""寿成正果""等景致错落有致，让你不得不一边惊叹大自然的鬼斧神工，一边会惊叹洞穴景观与巴马长寿文化的相得益彰！
洞内的负氧离子的含量也很高，达到每立方厘米三万个左右，是洞外的十倍。在狭长的洞中攀行，不仅丝毫不觉得疲惫，反而让人神清气爽，如沐春风，不愧为闻名遐迩的长寿宫。
"	"长寿水晶宫自驾车路线：
驾车抵达广西省会南宁后，驱车200公里(高速)抵达百色的田阳县后上二级公路(78公里)就可以抵达巴马县城，路面非常好。
长寿水晶宫乘车路线：
只要您乘飞机或火车能到达广西的南宁市、柳州市、河池市或百色市，就有汽车通往巴马县。
南宁——巴马 250公里 (汽车5小时)；
河池——巴马 100公里 (汽车2小时)；
巴马县城——巴盘屯 20公里 (40分钟)；
巴盘屯——坡月村 3.5公里 (5分钟)出租车"	8:30—17:30 	"     150元。

特殊人群：A.免费政策：儿童1.2米以下免票；军残凭证免票；记者凭证免票；旅行社记者凭证免票；
B.优惠政策：70岁以上老人持老年证购门市价的半价 ；1.2-1.4米儿童购半票；现役军官士兵凭证购半票 ； "	75	381	381	5
三门海天窗群景区	 广西·河池 凤山县袍里乡坡心村 	河池	洞穴	"三门海生态旅游区位于广西壮族自治区西北部的凤山县袍里乡坡心村，是世界喀斯特地貌典型的核心地带。距南宁300公里，有高速公路，二级路贯通，行程4个小时左右；距桂林380公里，有高速公路，一级路，二级路贯通；距凤山县城20公里，距世界著名长寿之乡巴马县城40公里；距乐业大石围天坑群120公里。景区气候宜人，年均温度19度，冬暖夏凉，负氧离子含量高达10000个以上，素有天然氧吧之称。三门海坡心河是世界著名长寿之乡巴马盘阳河流域长寿带的源头，景区内居民不到4000人，但有百岁寿星就有4个之多，寿星比例高达千分之一，可以说是世界上百岁寿星最密集的地方。
天窗，是喀斯特旅游资源的新族，有极高的旅游观赏价值。三门海景区的天窗就有七个之多，是串珠式天窗群，并列排成北门七星状，在世界旅游资源中是绝无仅有的，意大利著名的科考探险家诺萨里奥卢基里博士指出：“凤山三门海天窗群奇观，串珠式塌陷，兴山、水、洞、天浑然一体，时属世界罕见，独一无二”。三门海亦因此被国内外专家学者称为“世界之窗。三门海天窗群集山、水、洞、天为一体，蔚为壮观，神秘的地下河资源，奇妙壮丽的喀斯特湖，喀斯特泉、大型溶洞群、天坑群、天窗群、天生桥等喀斯特地貌的所有特征都集中体现于三门海景区内，够成了名副其时的喀斯特世界地质公园。

"	"自驾路线：
①早上8：00克从南宁出发，（约5个小时），约13：00到凤山县城用中餐后，之后乘车赴长寿之河——盘阳河的源头，凤山三门海国家地质公园（27公里，30分钟），乘船游览
世界级天窗（天坑）群（约60分钟），领略大自然鬼斧神工造就的地质奇观。（游览水上天坑后还可登山游览三门海山上游道。
②（自驾车）近   往凤山县县城     路与     平乐乡、江洲乡   路交叉
乘车路线：
起始地点——名称/位置——距景区公里数——如何到达景区
南宁——安吉站——360——大巴车
凤山——汽车总站——30——大巴车"	8:00—18:00 	     98元 	49	361	361	3
大化红水河百里画廊	 广西·河池 广西省河池市大化红水河百里画廊 	河池	峡谷 山脉 湖泊	"大化红水河百里画廊具有极高的科学价值和美学价值，该景区既是科研、科普教育基地，又是科学考察、探险攀崖、采风写生、民族风情旅游的好去处。红水河百里画廊简介：红水河百里画廊，是大化水电站建成后形成的长50公里，水面宽300—500米的峡谷水库及沿岸风光。1996年4月被定为省级风景名胜区，同年7月，以山奇、水秀、湖旷、洞秘、峡险、洼幽、坝雄和瑶壮民族风情独特等八大特色荣获全国首届风景名胜区展览奖。
"	自驾：火车站-解放中路-新建路- G210- G050-安阳大道-建丰北路-河池大化俊美大酒店	10:00	         180元起 	50	322	322	3
巴马仁寿文化源	 广西·河池 广西省河池市巴马县那桃乡平林村敢烟屯 	河池	NA	"仁寿文化源是清光绪皇帝钦命广西提督学院赠送“惟仁者寿”寿匾给寿民邓诚才老人的故居。山庄占地十五亩，除 老人故居三进院外，庄园内设特色食品作坊，游乐场，仁寿餐馆，民族歌舞表演等休闲娱乐设施。
仁寿文化源是巴马长寿文化之源，长寿饮食文化之源，山庄主体以长寿文化展示与长寿饮食文化溶为一体的休闲旅 游景点。其活动项目主要有：参观邓诚才老人故居，清代寿民邓诚才老人仁德文化展示、补粮（长寿探秘）、清代授匾仪式再现、品尝长寿特色小吃、民族风情表演、篝火晚会等活动。进入 景区，热情的瑶家姑娘端着自家酿制的米酒，唱起欢快的敬酒歌，给远到而来的客人们敬上一碗美酒，这是少数民族对到来四海宾朋的一种好客表现。
“补粮”民俗文化:“补粮”是巴马少数民族中一种子女为老人祈求健康长寿的民俗活动，是巴马一道独特的长寿 文化风景线。人上了年纪，生理肌能的衰减，免疫力差，头痛脑热是经常的事。但老人们的看法是：上天安排给他们一生的“粮食”就要吃完了，人生之路快走到尽头了，为安抚老人，子女 们用“补粮”的方式为老人祈求老人延年益寿，给老人精神上的安慰，实质上起到了精神疗法的作用。心理上的健康可战胜生理上的不足，有句俗话说“有命不怕病”，这些受“补粮”过的 老人，认为生命已得到延续，无忧无虑，愉快的过好每一天。
水榭茶廊:茶廊宽而长，木制的品茶桌椅，暗红的色调，古色古香，和周围景象相呼应，加之周边开放的布局，视野开拓， 将山庄和周边的美景一览无余。在雾气迷蒙的清晨或是夕阳将落的傍晚约上友人来此饮一杯悠然茶，利于身心。或者是和友人畅谈人生，极有意义。
小吃坊做的都是巴马民间小吃，最具有特色的有：米饼、糍粑、五色糯米饭、豆腐花，都是用粗粮以最原始方法加 工而成。如黄豆和大米是用石磨进行粉碎而成，糍粑是用碓舂，有效地保持了粗粮原有的营养成分。客人可以自己动手参与，除一饱口福外，不妨带上一点馈赠好友，传递情谊。
饮食文 化:水上餐厅除提供常规的菜谱外，还为了让大家多了解我们民族传统的饮食文化，并亲自感受吃“长桌宴”气氛，在巴马仁寿源就可亲身体验、感受到一把长桌宴的盛况，也可感受到瑶族文 化和习俗的深厚魅力。正如健康是吃出来的一样，长寿也是吃出来的。我们的厨房如同药膳疗房，常吃得好，就能健康，延年益寿轻而易举。
民族风情表演:山庄内设有民族风情表演舞台，客人到来之时，瑶家阿哥阿妹会穿上家织的土布，唱起欢快的歌舞 ：举行山歌擂台、抛绣球、盲人敲鼓、帅哥背媳妇过独木桥等民族娱乐活动。在夜幕降临之时，可以走进篝火晚会，与当地的瑶族青年载歌载舞，忘情欢歌。让您参与其中，淋漓尽致地发挥 您的多才多艺，大家共享欢乐。
公司重建平林村敢烟屯寿星邓成才的故居——仁寿山庄，以“唯仁者寿”的寿匾为素材，结合巴马长寿现象背景下的长寿人文资料，打造成地方特色浓厚 的长寿文化旅游产品，为到巴马的游客提供一个了解巴马长寿历史、感知长寿文化、体验长寿氛围、探寻长寿奥秘、参与祈寿民俗表演的一个平台。仁寿山庄本着弘扬巴马仁寿文化的思想， 打造一体化的养生乐居，期待着您的光临！
"	NA	NA	NA	NA	334	334	3
巴马长寿村	 广西·河池  	河池	NA	巴马瑶族自治县是广西壮族自治区的一个山区县，是世界五个长寿村之一，位于南宁以西250公里。这里的长寿老人之多，1990年第四次人口普查时该县有1958位80至99岁老人，69位百岁以上的寿星，其中年龄最大的135岁，每10万人中有百岁以上长寿者30.8人，居世界第一 巴马县的长寿老人有三个特点：一、是迄今为止没有发现一例癌症患者，二、是没有心脑血管疾病发生。三、是无疾而终。 经过各国研究健康长寿的科学工作者的不懈努力，尤其是人类进入纳米和基因时代后，调查人员发现，世界五个长寿村之间虽然在气候、饮食、风俗习惯等方面都有很大判别，但有共同点，那就是八好		NA	NA	NA	339	339	3
河池小三峡	 广西·河池  	河池	峡谷 湖泊	小三峡既有长江三峡的壮观，又兼具漓江的秀美，峡谷两岸的山谷地带翠竹依依，同时分布着大片的野蕉林，而恐龙时代的植物“活化石”桫椤也生长其中，构成极具美丽的生态探险游景区；许多山峰上面天然自成许多凹陷进去的部位，是攀岩爱好者的绝佳选择场所，一打听，这里果真举办过好多次攀岩比赛；至于雄狮盼日、金龟盼日、蝙蝠展翅、莫一神像等惟妙惟俏的景点，则不时激起游人的阵阵惊喜呼声。			       电话咨询 		345	345	4
