title	address	city	theme	introduce	traffic_guide	open_time	ticket_information	ticket_price	ticket_total	ticket_surplus	stars
勾漏洞风景区	 广西·玉林 广西壮族自治区玉林市北流勾漏洞景区 	玉林	洞穴 避暑	"漏洞是道书称全国道教“三十六洞天”的“二十二洞天”，由宝圭、玉阙、白沙、桃源、玉金五个岩洞组成。二座大山把五洞连通一线，全长1500多米，勾、曲、穿、漏、景天成，洞内石柱、石笋以及各类天然奇特的钟乳石纵横交错，千姿百态，在五颜六色的灯光照映下，更显扑朔迷离，瑰丽妖娆。
洞内经达亿万年的熔解变化，构成勾、曲、穿、漏的特点，因而石钟乳形成的天然图景，千姿百态，琳琅满目，有的似狮跃虎跳，威武吓人，飞禽走兽，栩栩如生，水族海珍，活灵活现，加上流光霞影，使洞壁晶莹，绮丽幻奇，在彩灯照衬下，红如玛瑙，绿似翡翠黄比琥珀白赛明珠，沿着洞中走，时而穿越仅通一人的狭窄走廊，时而进入宽敞明丽的大厅，时而遇到清可鉴的暗河，游鱼可数，真似身临神仙境界。
勾漏洞历代屡有修缮，明建“绦尘亭”。清改建“碧虚亭”，增建雄伟的“葛仙祠”。民国期间建“桃源亭”、“白沙亭”、道观、花园、广场和环山马路。解放后多次修缮，扩充勾漏洞风景区。60年代起，逐步用水泥铺设洞内行人道，安装采灯照明。在桃源洞前建6亩“观鱼池”，广植桃李，栽花种草60余亩，建围墙长达1公里。园内林木葱翠，鸟语花香。1996年3月重建勾漏洞庭湖门楼，琉璃筒瓦，瓷贴栏杆，雅洁幽美，掩花团锦簇之中。门额隶书“勾漏胜景”四字，是当代女书法家郭沫若夫人于立群之作。

"	自驾：朝贵港/梧州/肇庆/玉林方向，稍向右转进入广昆高速公路，从北流/民乐/G324出口离开进入北流互通，进入北流连接线，进入二环东路，进入X203，到达终点。	08:30—17:00 	"       55元。

特殊人群：A.免票政策：儿童身高1.2米以下免费。
B.优惠政策：身高1.2—1.5米之间的儿童购景区优惠票；70岁以上的老人持老年证购景区优惠票；军官持军官证购景区优惠票；教师持教师证购景区优惠票；残疾人持残疾证购景区优惠票；学生持学生证购景区优惠票 "	50	328	328	4
玉林谢鲁山庄	 广西·玉林 玉林市陆川县谢鲁山庄 	玉林	温泉	谢鲁山庄风景区是广西省级风景名胜区，位于陆川县西南24公里的乌石镇谢鲁村。始建于1921年，历时7年建成，占地400亩，庄内亭台楼阁，回廊曲径，依山构筑。所有房屋建筑均为砖墙瓦顶，保持着浓郁的乡风民俗。山庄的建筑布局依照苏杭园林特色，依山而建，迭迭而上，造型幽雅别致。全庄贯以“一至九”的数字，取“天长地久”之意。山庄奇花异木有200多种，尤以五色茶花、胭脂树、四季绣球、百年金(银)桂花、四季玉兰、百年罗汉不老松等为珍贵。在山庄数百亩荔枝林中，点缀着古雅的亭台楼阁，令人流连忘返。山上有一般终年不息的矿泉流经山庄，山下附近还有一处可供治病健身的温泉。山庄招待所，是旅游的好地方。谢鲁山庄是我国保存最为完好的四大名庄之一。		8:00-18:00 	"     30元。A.免票政策：儿童身高1米以下免费。
B.优惠政策：60周岁以上老年人持老年证、学生、军官持相关证件购景区优惠票 "	14	357	357	3
云天文化城	 广西·玉林 广西省玉林市区江滨路 	玉林	牌坊 广场	"云天宫位于玉林市区江滨路，是玉林市重点景区之一。 云天宫民俗文化世界广场是台湾商人在广西兴建的一座以浓缩古今中外传统文化和著名建筑风格为一体的巨型仿古建筑，占地70亩，建筑面积14万平方米，主体建筑为一座21层、高达108米的高楼。云天宫整个建筑楼塔重叠，攀高而上，主楼正面两旁各自延伸出至少相当于4层楼高度以上的副楼，俨然如两只稳坐巨人的“脚”。在这座建筑主楼的正中央，伸出了一个约5层楼高的大平台，这里将竖立起一座高30米、重660吨的号称“东南亚第一大铜佛”的巨型铜佛像。在广场中央，分别耸立着一对18.1米高的用青色花岗岩雕塑而成的龙表，一对以同样原料雕塑而成的5.8米高的麒麟和一对4.7米高的凤凰以及108条石雕龙。最引入注目的是主楼正门前面安着一面用黄铜雕塑而成的巨型铜鼓，铜鼓上挺立着一只据说目前在国内外独一无二的高十多米的巨型公鸡铜像。公鸡的形象象征中国版图。
云天文化城的雕塑作品分为三大系列：石雕、木雕及铸铜。每一件雕塑作品，都包含着许多感人至深的故事，都凝结着两岸同根的深情，都体现着两岸艺术家和民间工匠们对中华民族文化的无比热爱及对艺术境界的至高追求。细细观赏、品味那数以千计、精美绝伦的雕塑作品，便如同游入了历史的长河，那源远流长的民族文化瑰宝，就在我们触手可及的地方；那生生不息的民族文化精神，以浩瀚而柔美的方式，沐浴着我们的身心。

"	"自驾路线：
（自驾车）近民主中路与江滨路交叉
乘车路线：
起始地点名称/位置——距景区公里数——如何到达景区（出租，地铁，大巴，公交车等交通方式）
玉林——3.3——汽车"	8:30—17:30 	       欣欣成人门票价：140元起； 	120	304	304	5
广西容县都峤山	 广西·玉林 广西省玉林市容县容州镇木进村 	玉林	森林 漂流 寺庙	"广西省玉林市都峤山是广西省级风景名胜区，又名南山，海拨743米，面积37.5平方公里，距容县县城7公里，是全国道书所称三十六洞天的第二十洞天。都峤山属典型的丹霞地貌，山中有胜景“二洞、八峰、二十岩”。历代以寺观众多，风光奇丽而闻名于世。古时山上有九寺十三观，有著名的讲学所太极岩等，宋代著名诗人苏东坡，名相李纲，明朝旅行家徐霞客等名人曾慕名游览题咏，是集宗教、文化、风光于一体的名山。 都峤山景区中的庆寿岩景点位于都峤山西部，面积约4平方公里，是近年新开发的一个融自然景观与宗教文化为一体的旅游观光区。目前已建有暗河佛源漂流、登山观光缆车、五百罗汉堂、庆寿岩禅寺、猴山和观猴长廊、金佛大字世界之最、南山阁、福寿桥、莲池、九曲桥、植物园等景观。
"	自驾：从玉林西城汽车客运站出发，在玉州区城区行驶1.8公里，左转进入民主北路行驶1.7公里，左转进入G324/二环北路行驶1.3公里，稍向右转一直向前行驶44公里，从山围/G324出口离开（经山围收费站）行驶4公里，过河口坡后左转进入G324 6行驶23.1公里（经收费站），过六桂岗约150米后右转7行驶6米，到达景区	08:30--17:00 	"         欣欣价-广西玉林容县都峤山森林公园成人票：25元起（省5元）；
特惠政策:
A.免票政策：儿童身高1.2米以下【不含1.2米】免费；军官持官证免费；导游持导游证免票；残疾人持残疾证免票。
B.优惠政策：身高1.2--1.4米之间【含1.2米，不含1.4米】儿童购景区优惠票；60周岁以上老人持老年证或身份证购景区优惠票；学生持学生证购景区优惠票（上述优惠政策，需到景区自行购买）。 "	40	398	398	3
玉林龙珠湖	 广西·玉林 玉林市陆川县 	玉林	NA	龙珠湖风景区是一个山、湖、洞、寨连成一体的风景区，坐落在陆川县城北的珊罗田龙村，与玉林市水月岩风景区毗邻，其山脉属勾漏山脉的分支，从北流市塘岸镇伸进陆川县珊罗镇田龙村，均属喀斯特地貌，方园1500公顷。一座座石山拔地而起，山色灰灰，雾气朦朦，若隐若现，似群龙起舞，故称“龙岩”。风景区内有一池20多公顷的龙珠湖；湖周石山发现大小岩洞12处；石山群中形成了五个天然山寨，有的加以人工利用修造，成为兵家要塞。湖周石山环绕，湖水清澈，碧波荡漾，湖边垂柳飞扬，湖中华亭独立。岩洞钟乳石千姿百态，怪石峥嵘。正南面是一望辽阔的田野。整个风景区湖光融为一体，有“俨然与世隔绝”的景致。清咸丰年就已成为游览胜地。		NA	NA	NA	387	387	2
玉林陆川温泉	 广西·玉林  	玉林	温泉	陆川在唐代就被称为“温水县”，可见其温泉很有历史。这是广西最大的温泉，宽约一亩。热泉从沙滩涌出，水温达53摄氏度，流量为每秒67升一63升，整个温泉热气腾腾，向来是人们的天然浴场，古人将此景称之为“温泉浴日”。 经科学考察，陆川温泉对一些慢性病颇有疗效，用那里的热沙子将身体裹盖起来进行“沙疗”，是治疗关节炎的良方。故此陆川温泉又被称为“药泉”。			     电话咨询 	70	369	369	5
广西兴业鹿峰山风景区	 广西·玉林 广西省玉林市兴业县城隍镇鹿峰山景区 	玉林	洞穴 山脉	"广西省玉林市鹿峰山风景区既有华山之险，又有泰山之奇，更有黄山之美。山上奇峰叠出，沟壑深幽，树木苍翠，一壁千仞，古藤直泻，鸟语花香，山回路转。使您遐想联翩，心旷神怡，既惊叹历史的天造地设，更惊叹大自然的鬼斧神工。
鹿峰山位于兴业以东，距县城18公里，鹿峰山自然景观特点主要表现为奇、幽、险、壮、秀五个方面，景区由龙泉岩和鹿峰山石林公园两大部分组成，人文景观主要有李宗仁屯兵遗址、北帝阁、华龙泉、华龙。
沿石级往上攀登，有一倾斜宽阔的大厅，地面涌起一从从石柱、石蘑菇，洞壁上有石帐、石帘，似舞台上的立体布景。再沿石级而上，又有一半圆形倾斜大厅，景物更加繁多，有如百叶窗帘，工整雅洁；有如绣花雕刻，千姿百态；有如田园阡陌，更有一处仙人床、仙人椅和几个仙人的脚印。
鹿峰山是岩溶石山，峰从起伏，草木茂盛，绿水青山，景色迷人。龙泉洞口就在山脚下，该洞由众多的喀斯溶洞及地下河构成，长1200百多米，洞内似一个旋转形大殿堂分上下两层，下层水洞中，一条清溪蜿蜒而流，弯弯曲曲约1000多米，水底为沙石，可淌水游览，溪水清澈，深不过膝。沿溪而行，景色万千，有“山重水复疑无路，柳暗花明又一村”的境界。
"	"自驾路线：
南宁—（全程高速约165公里）—兴业县—（山心出口约20公里）—城隍镇—（1公里）—景区（约2.5小时）
北海— (全程高速约230公里) — 兴业县—（山心出口约20公里）—城隍镇—（1公里）—景区（约3.5小时）
湛江— (约20公里) —遂溪—(约50公里) —陆川县—(约30公里) —玉林—(约25公里) —兴业县— (约20公里）—城隍镇—（约1公里）—景区（约3小时）
茂名— (约30公里) —高州—(约20公里) —宝圩镇—(约60公里) —北流市—(约15公里) —玉林— (约25公里）—兴业县— (约20公里）—城隍镇—（约1公里）—景区（3小时）
贵港：走高速——兴业山心出口——往钦州方向（约18公里）——城隍镇（约1公里）——景区 
贵港：走二级路——兴业山心镇——兴业往钦州方向（约18公里）——城隍镇（约1公里）——景区
钦州：高：—南北高速—柳州/南宁—柳南高速—南梧高速/广州/玉林/贵港—324国道—兴业—城隍—景区
钦州：二级路—灵山—寨圩—城隍—景区"	08:30--17:30 	"       欣欣价-广西玉林兴业鹿峰山成人票：63元起（省12元）；
欣欣价-广西玉林兴业鹿峰山学生票：42元起（省13元）。
特惠政策:
A.免票政策：儿童身高1.1（不含）米以下免费。
B.优惠政策：身高1.1（含）--1.4（含）米之间儿童购景区优惠票；70以上老人持老年证或身份证购景区优惠票。（上述优惠政策，需到景区自行购买）。
C.购买学生票需凭有效的大学生学生证。
D.70（含）周岁以上的老人凭老年证或身份证。 "		366	366	4
玉林市北流大容山漂流	 广西·玉林 广西北流市大容山国家森林公园九瀑谷景区下游 	玉林	NA	1、大容山漂流——高山瀑布下的漂流，位于广西北流市大容山国家森林公园九瀑谷景区下游，总落差约300米，最高单级落差8米。新建设的漂流河道延长至3.2公里，增加了适合青少年参与的“逍遥漂”，更多精彩，更多尖叫。2007年5月试业期一个月内，大容山漂流共接待了超过5000名游客的参与，未发生一例安全事故，安全率达100%。广大游客普遍反映：大容山漂流水质清澈，沿途风景优美，让人留连；漂流落差大，精彩刺激；沿途均有护漂员保护，安全度高。		NA	NA	NA	337	337	3
玉林佛子山	 广西·玉林 广西玉林市北郊约8公里的佛子山 	玉林	NA	佛子山旅游度假区是广西省级旅游度假区，位于玉林市北郊约8公里的佛子山。 度假区总面积10平方公里，内有一面积2500亩水湖。湖水清澈，风光秀丽，独特的青山绿水和旖旎的田园风光将娱乐、世界花园、中国花园和体育疗养等四大景区56个旅游小区融成一体。 主要游览场所有：动物园、荔园山庄、夏威夷大酒店、湖滨游乐场、林园酒家、桃园宾馆、仿古城门楼、寒山显圣寺、九龙献宝、音乐程控佛喷泉、垂钓场、水面游乐等。 北面有群峰叠障，林密谷深，海拔729米的寒山森林公园，山中有国家保护动物穿山甲、果子狸，有杜鹃、茶花、雀梅等园林花木，有飞泉瀑布群和千年古刹“寒山三圣庙”。 旅游服务设施齐全，是人们旅游度假、体育休闲、登山观光和游览山林景观的好地方。		NA	NA	NA	326	326	2
玉林真武阁	 广西·玉林 玉林市容县 	玉林	NA	真武阁是容县“三名”旅游景区的名楼。 古经略台真武阁是容县真武阁文化公园中最珍贵的古建筑，属全国重点文物保护单位。经略台是唐乾元二年（759年）著名诗人元结任容州都督府容管经略使时，为了操练兵士和观赏周围风光所建，台上原有建筑早废。到明代万历元年（1573年），为奉祀真武大帝以镇火灾，在经略台上建起了三层楼阁，即真武阁，至今已有400多年。		NA	NA	NA	342	342	5
