title	address	city	theme	introduce	traffic_guide	open_time	ticket_information	ticket_price	ticket_total	ticket_surplus	stars
百色通灵大峡谷	 广西·百色 靖西县湖润镇新灵村 	百色	峡谷 漂流	"通灵大峡谷，是一个长方形全封闭式的峡谷，长约1000米宽200多米，深300米，犹如地球突然裂开一条缝，狭长而深邃。峡谷内密密匝匝的长满了原 始古树，四周刀削般的悬崖绝壁，也旁逸斜出的长满了婆娑多姿的树木。满谷苍翠，涧水潺潺，整个峡谷弥漫着沁人心脾的灵气。　　这里荟萃了两千多种植物，其中有许多属国家重点保护的珍稀植物。有出现在侏罗纪时代(距今一亿八千万年)与恐龙同时生长的桫椤、观音莲子座蕨类植物和金丝李、蚬木、润楠、桄榔树、火焰树等珍稀植物。中科院植物研究所研究员王印政、张宪春教授一行5人考察后作了权威性的评价：“除西双版纳外，这里是植物种类最多的地方”。据地理学家考证，这峡谷原是个盲谷，由于地质运动的影响，盲谷顶部陷落，形成一个大天窗，峡谷两边山崖还保留盲谷特有的拱形，拱形悬崖上凌空悬着姿态各异的钟乳石。
入峡谷的小径从遮天蔽日的枯藤老树下穿越下坠，宛如一条绿色的隧道通往地心，往下约300米处是古石垒，迎面一堵绝壁挡住去路，近看却有个洞口。入洞后，竟是一个高100米  、宽60米的宽敞的溶洞。深深的洞底水流潺潺，洞顶呈一线天，洞壁及洞顶布满各种造型奇异的钟乳石，从Z字形的云梯下到洞底，出洞后是一片遮天蔽日的原始森林。走过长长的一段“枯藤老树，小桥流水”，眼前便是通灵特高瀑布，高168米，宽30米，是中国西南目前发现的最高瀑布。
高悬的瀑布宛如一匹巨大的白练飞流直下，发出雷鸣般的响声，飘散出漫天白雾，阳光照射，呈现出美丽的彩虹。瀑布左侧绝壁是古悬葬处。瀑布跌落处约50米宽的深潭，汇集了峡谷溪流和溶洞暗河，又形成一条巨大的地下暗河流往另一个峡谷成为新的瀑布。暗河入口处四个巨大的溶洞，溶洞深邃曲回，沿石壁云梯往上攀越约30米高时，一条洞中暗流迎面而来，循石壁而下，形成多层小瀑布，清澈透明。第一层瀑布上方洞顶，有硕大的形态各异的钟乳石，尤其是石灰岩造就的一层一层田园般的风光更是天工巧夺，令人惊叹不已。
整个峡谷堪称“雄、险、幽、奇、绝、美”。著名画坛大师关山月游后欣然命笔：“通灵宝洞”、“峡谷春深”。
畅游通灵大峡谷的最佳方式是徒步。峡谷四季苍翠欲滴，顺着六级Z形阶梯进入峡谷，林木繁茂，遮天蔽日，鹅卵石林荫道从中穿过。
通灵大峡谷看点
壮家楼
翠林深处掩人家，青溪畔上传歌声。山水含情的通灵大峡谷，孕育了丰富多彩的风土人情。在山环水绕的游程里，你不仅可以看到壮家杆栏式的典型民居，而且能听到壮家少女美妙的歌声。如果你有  兴趣的话，还可以和小家碧玉的壮族少女对唱山歌。小桥、流水、山歌、人家，好一派诗意画境。
古悬洞葬
通灵大峡谷的奇特景观之一，就是“古悬洞葬”。“古悬洞葬”又名崖葬，即在峭壁悬崖寻找洞穴，将棺柩安置其中。据史书记载，古越人有崖葬的习俗。这种习俗应视为巢居习俗的连带反应：活人居干栏，以避瘴疠，死人行悬棺，可望延年。而在风生水起的通灵大峡谷，这种奇特的葬式仍然有迹可寻，令人仰观称奇，感叹不已。
念八峡
念八峡景区与通灵峡谷连为一体，游客可以在观赏完单级落差达188米的通灵瀑布后，再穿过念八溶洞，观赏旖旎的念八峡风光。这些风光有念八溶洞钟乳石奇观、念八峡田园风光等。值得一提的是，溶洞内钟乳石形态各异，千奇百怪，有“财神送宝”、“送子观音”等奇观；而念八峡谷田园似锦，春夏秋冬四季风光美不胜收，壮族民居星星点点，独具特色。
通灵瀑布
通灵瀑布是中国落差最大的瀑布。瀑布高165米，宽30米，往南约10公里处便可看见德天瀑布。通灵瀑布与别处瀑布不同，它位于一处地缝边缘，溪流到了地缝的崖顶跌落下来，形成130米的长链，夏季时水花飞溅数百米外，游人难以靠近，冬春季时走到瀑布底下，又发现瀑布凌空而下遁地而走，来得神奇，去得无踪。继续走600多级阶梯，到通灵峡谷中观赏瀑布，还可看到峡谷内奇异的植被、溪流和山洞，被专家称为“通灵奇观”。
原始森林
原始森林有潺潺的溪流、峻峭的崖壁、神奇的溶洞和幽深的丛林，荟萃了140多个科上千种植物，其中有许多属国家重点保护的珍稀植物，如出现在侏罗纪时代与恐龙同时生长的桫椤、莲子观音座蕨等蕨类植物和金丝李、枧木、润楠、桄榔树、火焰树等珍稀植物。据悉，当年北京建造毛主席纪念堂时，专家们还特意  到通林峡谷选择了火焰树、梧桐树等4种珍稀植物，千里迢迢运到北京，作为纪念堂的风景树移种。
相关传说
通灵大峡谷的谷口隐藏着一个鲜为人知的秘密这些石垒墙是古人留下的遗址，石垒墙后面有一个深约60米的洞，据民间口碑流传，这里就是北宋年间壮族首领侬智高的一个营盘，营盘内的洞称为藏金洞。据说侬智高在昆仑关被狄青打败后，带着无数的金银财宝，撤退回来，其中把十八担黄金藏在这个洞里，故被称为藏金洞。在附近一带的群众自古以来就流传着这样的一首民谣“山对山，岩对岩，找到藏金洞，两广吃不忘”曾有不少探金者来到这里，但因森林茂密找不到山洞无功而返。
这里还横卧着一块巨型断石，重达数千斤，据说侬智高兵败到此，但他不甘沉沦，每天在盘营里练功，以图东山再起，经过三年的苦练，三年的研习，三年的准备，功力达到了出神入化的程度，为了鉴定其功力，需要找实物演示一下，但在深山里哪能找到合适的演示对象呢？一日他看到洞旁边那根浑圆屹立，坚固无比的大石柱，一时心血来潮。这不是很好的演示对象吗？他站在石柱旁，运起功力，向石头猛击一掌，只见到飞沙走石，声如闷雷，4米多高的石柱竟被他一掌击成两段，横在洞里，断石成为通灵峡谷的一个景观。
通灵大峡谷旅游推荐
亲近古生植物群
通灵峡谷古树老藤遮天蔽日，珍稀植物种类繁多，茂盛的桄榔树、桫椤、野芭蕉等植物组成一张绿色的网，网住整个峡谷。其中荟萃了两千多种植物，有许多属于国家重点保护的珍稀植物，如出现在侏罗纪时代与恐龙同时生长的桫椤、莲子：音座蕨等蕨类植物和金丝李、枧木、润椭、桄榔树、火焰树、奇异的咬人树等，使通灵大峡谷蒙上了神秘的面纱。身临如此大千妙境，让人仿佛回到了远古时代。
温馨提示：峡谷内的珍稀植物只能眼观，不可触摸，更不得采摘。
观赏洞中瀑布
通灵大瀑布跌落的深潭边有一个巨大的溶洞，洞内景色奇异，一条高达20多米的瀑布从溶洞上方沿岩壁飞流直下，呈九级跌落，汇入鸳鸯潭，与大瀑布一起消失在深不可测的地下河里。　　旅游关照：观赏洞中瀑布要从通灵大瀑布边经过，带一件塑料雨衣穿上(景点备有),以免被淋成落汤鸡。
浏览峡谷风光
洞内流瀑，洞外有天，“石井洞天”是通灵大峡谷的一大特色。　通灵大峡谷原来是一个盲谷，由于地质运动的影响，盲谷顶部陷落，形成了一个大天窗，四周峻峭的悬崖，使整个峡谷气势壮观。经过817级台阶往下进入峡谷，更是一番天工夺巧的景象。峡谷内荟萃了举世罕见的古崖葬、古石垒，以及特高瀑布、洞中瀑布、地下河、峡谷溪流，还有形状奇妙的钟乳石和清澈翻滚的地下涌泉，让人赏心悦目而倍感欣喜。另外，峡谷中还有珍稀的原始植物等综合性旅游景观,值得细细品味。
飞流直下的瀑布、险峻深幽的峡谷、清澈蜿蜒的溪流、奇特的洞中瀑布与翠绿的植被，丰富了通灵大峡谷迷人的景观，使大峡谷的底蕴更加深厚，彰显峡谷灵动飘逸、充满生机的特色。
"	"1、可从百色火车站乘摩的先到汽车站（约3元），再在百色汽车站有长途汽车可达景区，票价10元。
2、也可在南宁或百色市内参加旅行社组织的拼团业务，可直接到达通灵瀑布。
3、自驾从南宁、百色出发到景区约需3个多小时车程。"	8:00-17:00；夏季时间：08:00-17:30 	"       欣欣价-通灵大峡谷成人票：88元起（省27元）；

A.免费政策：1.2米以下免票。
B.优惠政策：1.2米—1.4米的儿童45元/人；现役军官凭证45元/人；70岁以上老人持老年证购老人票72元。 "	85	343	343	4
旧州老街	 广西·百色  	百色	NA	旧州距离靖西县城8公里。以奇山秀水著称，是靖西风光缩影。旧州一带奇峰秀美，山水如画，田园似锦，历史悠久，壮民族民俗风情浓郁，素有“壮族活的博物馆”之美誉。		NA	NA	NA	332	332	4
古龙山峡谷群漂流	 广西·百色 百色靖西古龙山峡谷群风景区 	百色	避暑	"古龙山峡谷群漂流风景： 这是一个佳景荟萃的神秘幽深的峡谷世界，一个自然纯净、不染世尘的原始画廊，一个集峡谷、瀑布、暗河、溶洞、原始植被、峰丛绝壁、溪流奇石为一体的人间仙境，它神奇雄浑、幽深神秘、原始清新、别具一格。古龙山峡谷群风景区由古劳峡、新灵峡、新桥峡三个峡谷组成的。峡与峡之间的河流及三个地下暗河溶洞相通。形成三峡三洞连通的大峡谷群。整个峡谷长6.8公里。它是以优美的原始生态山水风光、神奇的溶洞景观和浩翰多恣的原始森林景区为主体，以暗河峡谷群及溪流瀑布为特色，以峡谷观光、暗河漂流为主要功能的生态旅游景区，景区内由山、水、林、藤、洞、瀑、石为一体具有秀、奇、险、幽、奥、野的景观特色。
在游玩期间既可以观赏幽深奇异的原始峡谷风光，又可以体验惊险刺激的明河暗洞漂流；既可饱览气势磅礴的瀑布，又可品味千姿百态的溶洞奇观。它是生态旅游、科考探险、摄影绘画、吟诗写作、休闲娱乐的天然圣地，是峡谷观光游、暗河漂流、观瀑休憩游的绝佳景区。这个中国最大的原生态洞穴峡谷群，在这个中国最神秘的地下暗河漂流景区，在古劳大峡谷、新灵大峡谷、新桥大峡谷三个峡谷用奇花异草装点出来的峡谷群养生通道。
"	①南宁—龙虎山—德天瀑布—古龙山峡谷群漂流 ②百色—德保—古龙山峡谷群漂流 ③百色(南宁)—靖西—那坡—云南富宁—云南文山—古龙山峡谷群漂流	8:00—17:00 	     190元 	75	349	349	5
鹅泉	 广西·百色 百色市靖西县城东路902号 	百色	NA	鹅泉位于县城西南海公里处，是靖西著名的八景之一，已有七百多年的历史。鹅泉为中国西南部的三大名泉之一（大理的蝴蝶泉、桂平西山的乳泉）。鹅泉又是亚洲第一大跨国瀑布---德天瀑布的源头，是中南地区母亲河－珠江的源头之一。	自驾：百色—向阳路—崇信巷—中山一路—城东大道—进站大道—城东大道—进城大道—G80广昆高速—那坡镇/坡洪镇号出口—210省道—鹅泉风景区	NA	NA	NA	372	372	5
平果鸳鸯滩漂流景区	 广西·百色 广西壮族自治区百色市平果县平新路左二巷5号 	百色	漂流 避暑	"平果鸳鸯滩漂流位于广西壮族自治区百色市平果县马头镇金显村境内，距平果县城区约15公里 ，20分钟车程，距南宁市，百色市均为120公里。鸳鸯滩是不可多得的自然河谷景观，森林茂密、野花烂漫、藤萝垂悬、空气清新、负氧离子含量高、河水清澈透底、水草丛生、鱼虾群戏。
漂流河段全长4.8公里，多半河段被森林全覆盖，全程共19个落差，最长段500米连续落差，流经八湾九滩，天然河道，急而不险，老少皆宜，四级可漂。景区内森林茂密，野花烂漫、藤萝垂悬，空气清新自然，空气中负氧离子含量非常高。“藤缠树绕千番景、江回路转九重天”就是鸳鸯滩的真实写照，鸳鸯滩因环境优美，森林植被茂密，吸引了许多鸟类如白鹭、野鸭等在此栖息，特别是不时有成对的鸳鸯在此河滩被发现，鸳鸯滩因此而得名。休闲、趣味、浪漫、怡情是鸳鸯滩的特色，如果跟MM恋爱中，鸳鸯滩也是不二选择。
2012年5月28日平果鸳鸯滩漂流“家庭休闲漂”正式开漂，是广西区内首家推出家庭休闲漂项目的景区。
温馨提示：
①漂流随到随漂，如遇人少或人多的情况，请您耐心等待工作人员安排，详情请见景区公告。
②漂流为水上户外项目，受天气等不可抗力因素影响较大，建议您出行前查看当地天气预报。
注意事项：
①患有心脏病、精神病、高血压、痴呆、酒精过量及残疾者禁止漂流；
②3周岁（含）以下儿童，75周岁以上老人及孕妇谢绝漂流。
③漂流过程须穿戴好救生衣及安全帽，要抓紧皮艇内安全扶手；不可站立或做过于兴奋的举动；不可在漂流途中上岸进入丛林，以免发生意外；皮艇应保持适当间距，以免发生卡船、翻船现象。若不幸翻船也不要惊慌，会有随行护漂工作人员帮助您。

④忌水物品及贵重物品请不要带往漂流，如手机、相机、车钥匙等。
"	自驾：G322，朝河池/百色方向，沿二塘互通行驶，在二塘互通从入口进入G80，沿G80行驶，朝百色/云南/G80方向，从平果县/G324出口离开，进入平果互通，进入G324，到达终点。	09:00-16:30 	"       欣欣成人漂流票价：95元起（省73元）；
优惠政策：4周岁（含）以上1.4米（含1.4米）以下购儿童票。 "	60	392	392	2
百色旧州	 广西·百色 百色市靖西县城东路902号 	百色	古城 民居	旧州古名那签、顺安峒、归顺土州，位于靖西县城南9公里，旧州--原为归顺州(今靖西)州治所在地，清顺治六年(公元1650年)，为抵御外敌侵拢，州治北迁计峒(今靖西县城)兴建州城，原归顺州址改为旧州。据清《归顺直录州志》记载：南宋末年，江西省广信府广丰县(今江西省上饶县地)人张天宗随文天祥抗元，因兵败，张天宗率部众300余人退走广西，因途中迷路，看到这里山青水秀、林木茂盛、气候温和，就在此住下，与当地土民—起，辟垦山林，开荒造田，引水灌溉，还把内地先进技术和文化传授给当地土民，使这个偏僻的壮族山区经济文化得到发展，民众悦服，把张天宗推为峒官，把此地称为顺安峒，举来年号，依循宋制，以驻地那签为中心，把辖地划为五个峒，每个峒分四路四甲，并设置亭田，用其收入助婚丧嫁娶、孤寡伤残，设乡塾教育土民子弟，百姓安居乐业，成为边地的“世外桃源”	自驾：百色市内驾车---中山一路----中山桥-----城东大道-----G324----澄碧河大桥----匝道----- X796行驶1.8公里，到达终点旧州镇	全天开放 	       40元。 	35	364	364	2
大王岭漂流	 广西·百色 中国广西壮族自治区百色市大楞乡境内 	百色	森林 峡谷	"大王岭原始森林景区，是自治区级森林公园，以其保存完好的原始森林、国内罕见的桫椤群落和神秘的峡谷漂流为主要特色。距离百色市区30多公里，属于百色市右江区大楞乡龙和村范围，是中国原始森林第一漂，是返朴归真的世界，是人类梦想的生态家园，是人类回归自然的理想家园。2009年1月23日，大王岭被国家旅游局批准为“国家AAAA级旅游景区”。2009年4月11日大王岭景区被列纪念百色起义80周年红色旅游线路的重点考察景区之一。经过3年多开发建设，大王岭在景区管理和服务等方面都有质的飞越，拥有“中国原始森林第一漂流”、“中国唯一的全程绿荫漂流”、“最防晒的漂流”、“最奢侈的地下冰泉水漂流”、“广西离城市最近的原始森林”、“国内首个森林冬漂”等众多美誉，也是广西最具魅力漂流景区，百色市重要的旅游目的地，百色市旅游接待的“品牌”景区。这里有中国最美的桫椤谷，也是侏罗纪森林世界，是户外运动的天堂；这里的山峦高大雄伟，森林苍翠浩翰，沟谷自然原始，植物繁多珍稀，桫椤原始古老，小溪蜿蜒清澈，跌瀑多姿多彩，河石造型奇特，集“雄、秀、古、野、幽”于一体。气候凉爽宜人，民风浓郁淳朴，传说优美动人。
这是国内第一原始森林峡谷漂流，是最自然的生态漂流、最刺激的峡谷漂流、最原始的森林漂流、最清凉的绿荫漂流、最浪漫的激情漂流。漂流的落差很大，河中怪石嶙峋，河水清澈透明。河流两旁古木参天，植被丰厚，藤蔓交错，犹如一把大伞，遮盖着整条河流，这种独有的原始森林漂流，不仅澎湃刺激，有惊无险，而且不用担心太阳的紫外线，清爽透凉。 　这是一片神奇而独特的原始森林，这是人们梦寐以求的世外桃源。从百色城往南驱车30多分钟，来到右江区大楞乡平慢村，重峦叠翠、气势磅礴的塘书山就展现在眼前的，是大王岭原始森林保护区的中心腹地。大王岭是广西水源林保护区，总面积123万亩，至今保持着原始状态的森林约有10万亩左右。这里属亚热带山原气候，年均气温18.5-20.6度，平均温度24.2度，冬暖夏凉。
这里是动植物的天堂，种类繁多。据不完全统计，植物有香木莲、油杉、白辛、红椿、任木等286科667种。珍稀物种如桫椤者，这种恐龙时代的植物""活化石""，在这里竟然群落分布，堪称""桫椤王国""；大王岭山坡中部的一株银雀树，4人合抱不过，高约40-50米，直耸云天。动物则有穿山甲、小天鹅、鸳鸯、娃娃鱼、山瑞、猴、箭猪、花面狸、果子狸、黄猄、金环蛇、吹风蛇、三线蛇等。 根据规划，大王岭景区总体布局分为龙和旅游度假中心区、原始森林漂流景区、桫椤谷探秘景区、塘书山户外运动景区、预留旅游发展区等五个片区，总面积2457hm2。规划以大面积的原始森林资源为基础，以古老孓遗植物、原始森林漂流、避暑度假疗养等特色，建成集漂流娱乐、森林生态保健、避暑疗养度假等多功能于一体的国家AAAA级景区。百色市红色旅游之外的重点精品景区、广西首选的假日生态旅游胜地、桂西第一个森林生态自助旅游胜地。

"	百色城距大王岭有43多公里（班车车费8块到15块之间，包车大概100元 到180元。）全国各地的游客均可以通过铁路、公路等多种方式到达百色，建议在百色市休息一天，第二天一早从百色市汽车站搭乘至泮水、大楞、东陵方向的巴士至景区，行程约1个小时。	9:30—16:00。 	       180元 	138	322	322	2
渠洋湖	 广西·百色 广西省百色市靖西县城西北方向 	百色	湖泊	"渠洋湖是一个大型的喀斯特高原湖泊水库。位于靖西县城西北方向28公里处，总面积为2469.9公顷(24.699平方公里，或37048.5亩)，总库容量为9200万立方米，其中湖面面积为15540亩(10.36平方公里，或1036公顷)，湖长为15公里，最宽处有1公里，是百色市的第二大人工湖。水质优良，有大小岛屿十多个，沿岸有海拔一千多米的岜行山，以及掩映在绿树翠竹当中的几百个壮族干栏式村寨。
"	NA		   	58	302	302	3
百色澄碧湖	 广西·百色 广西省百色市城东北七里处 	百色	森林 湖泊	"风景婉约秀丽的澄碧湖，位于革命老区百色城东北七里处，是广西壮族自治区人民政府一九八八年公布的第一批省级名胜风景区之一。 风景区以自然山水为主体，湖水终年清澈碧绿、湖中岛屿星罗棋布、湖岸群山青翠延绵、湖面常年飞鸟云集，湖中自然景观别具特色：有神奇的天然雅芒崖像、孔雀迎宾林、松林岛、枫树岛、情人岛、鲸鱼岛、水果绿洲等风景点。
风景区以自然山水为主体，水面开阔明净、湖水终年清激透明、湖中岛屿星罗棋布、小巧玲珑并各具形态，湖区周围溪流盆道水湾曲折，幽静，如玉带环绕伸向深山峡谷，湖面常年有各种有各种飞鸟云集、有壮族雅芒天然岩石人头像和美丽动听的民间传说，还有清泉溶洞和观音庙等景点；两条环湖公路沿着湖岸延伸十余公里，迂回曲折，湖边周围山地肥沃，满山遍野种上了芒果、荔枝、龙眼、木菠萝等亚热带水果，实乃旅游观光、度假休闲的好边方。
"	"自驾路线：
①百色地处滇、黔、桂三省交界处，南与越南接壤，是云南、贵州等西南地区到沿海出口的重要通道。南昆铁路、南昆高速公路、百隆高速公路（在建）、贯穿百色的323国道、324国道，通达广州的水运航道和新建成距景区仅40公里的百色机场，形成了极其便利的的立体交通网络。
②（自驾车）近 百色324国道  与 隆百高速公路交叉
乘车路线：
百色——百色城区——7——11路公共汽车达景区大门 
百色——百色城区——7——2路公共汽车达景区大门
百色——百色城区——7——出租车"	8:00—17:30 	"       欣欣成人门票价：75元起（省35元）；
特惠政策：
A.免费政策：儿童1.2米以下免票；
B.优惠政策：儿童身高1.2米-1.4米购儿童票。
（上述优惠政策，需到景区自行购买） "		338	338	3
乐业大石围天坑	 广西·百色 百色市乐业县同乐镇刷把村 	百色	森林 洞穴	"大石围位于乐业县同乐镇刷把村的北边，属红水河南端的干热河谷地带，经国土资源部岩落地质专家和岩溶洞穴专家实地考察论证，大石围的地下原始森林面积为世界第一，深度约为613米，居世界同类大型岩容漏斗第二，长约为600米，宽约为420米，其容积的0.8亿立方米，也处于世界第二位，有世界“岩溶圣地”之美称。
大石围属典型的喀斯特漏斗奇观，集独特奇绝地下溶洞、地下原始森林、珍稀动物及地下暗河于一体的巨型天坑。在大石围周边又有独特奇绝的白洞、神木、苏家坑、邓家坨、甲蒙、燕子、盖帽、黄猄、风岩、大坨、穿洞等几十个天坑，形成了世界上独一无二的“天坑群”。
"	"自驾路线： 
从南宁走高速，两个半小时左右到百色西（出口），若不想在百色地区休息或游玩可不出高速路，直接往云南罗村口，再从罗村口按地图上的公路驶行到需要游玩的地方  
公车路线：  
市区可乘坐4、8、10、19、24、28、31、33、34、35、36、37、46、48、52、59、66、76、204、207、604、605路、西乡塘专线到达。 从南宁到乐业，只有北大客运中心有车去，直达班车：乐业 09:0012:4023:00；普通班线：乐业 23:00"	8：00—17：00 	"       90元

A.优惠政策：6周岁（不含6周岁）～18周岁（含18周岁）或身高1.2米～1.4米（含1.4米）的未成年人、全日制大学本科及以下学历学生、持《老年人优待证》（绿证）的老年人购优惠票；现役军人、伤残军人、离退休军人、持《老年人优待证》（红证）的老年人、残疾人、6周岁（含6周岁）以下或身高1.2米（含1.2米）以下的儿童购优惠票。 "		300	300	5
