title	address	city	theme	introduce	traffic_guide	open_time	ticket_information	ticket_price	ticket_total	ticket_surplus	stars
广西桂平西山	 广西·贵港 广西桂平市西山风景名胜区 	贵港	森林 瀑布 山脉	"广西省贵港市桂平西山又名思灵山，因在桂平县城以西1公里而得名。从南梁王朝设桂平 郡治于西山起，逐渐成为游览胜地。山上古树参天，清泉甘洌，怪石嶙峋， 石径曲幽。有李公祠、洗石庵、龙华寺、乳泉亭、中山飞阁、龙亭、如意亭等建筑物。乳泉旁，泉水从石岩流出，冬不竭、夏不溢，其味甘甜，泡茶茶香，酿酒酒醇。西山茶、乳泉酒，驰名于世。攀登龙亭，俯瞰远眺，南有白石青峰，北有紫荆五指，苍翠浓淡，远横于六七十里之外，黔郁两江，如练交映，环抱城廓，浔城风光，尽收眼底。
"	"自驾路线：
①茂名→208省道（行驶23.9公里）→207国道（行驶37公里，经高州市）→284省道（行驶102.1公里，经北流市）→玉林→玉贵公路→桂平→桂平西山风景名胜区（全程共274.6公里，约4小时51分钟）
湛江→渝湛高速（行驶67.8公里）→S216省道（行驶127.4公里，经博白县）→玉林→玉贵公路→桂平→桂平西山风景名胜区（全程共324.6公里，约5小时22分钟）
广州→广梧高速（经肇庆、云浮、苍梧）→梧州→S304（行驶136.9公里）→桂平→桂平西山风景名胜区（全程共426.7公里，全程约6小时）
南宁→民族大道（行驶63.5公里）→南梧高速（行驶62.2公里）→迎宾大道（22.8公里）→金港大道（行驶67.3公里，经贵港市）→桂平→桂平西山风景名胜区（全程共228公里，3小时30分钟）
北海→北部湾东路（行驶4.9公里）→北铁一级公路（行驶6.2公里）→S220（行驶27.3公里）→S216（行驶127.4公里，经博白县）→玉林→玉贵公路→桂平→桂平西山风景名胜区（全程共334.7公里，5小时33分钟）
防城港→中华路（行驶143.5公里）→柳南高速（行驶50.4公里）→南梧高速（行驶62.2公里）→迎宾大道（22.8公里）→金港大道（行驶67.3公里，经贵港市）→桂平→桂平西山风景名胜区（全程共355.1公里，4小时43分钟）
崇左→南友高速（行驶108公里）→环城高速（行驶30.7公里）→柳南高速（行驶50.4公里）→南梧高速（行驶62.2公里）→迎宾大道（22.8公里）→金港大道（行驶67.3公里，经贵港市）→桂平→桂平西山风景名胜区（全程共353.7公里，4小时42分钟）
百色→G323（行驶12.5公里）→南百高速（行驶232公里）→柳南高速（行驶50.4公里）→南梧高速（行驶62.2公里）→迎宾大道（22.8公里）→金港大道（行驶67.3公里，经贵港市）→桂平→桂平西山风景名胜区（全程共458.3公里，5小时46分钟）
河池→G323（行驶62.5公里）→宜柳高速（行驶113.1公里，经宜州市，柳州市）→G209（行驶79.1公里）→武宣县→S334(行驶58.6公里) →桂平→桂平西山风景名胜区(全程共340.1公里，5小时8分钟)
桂林→翠竹路（行驶17.1公里）→桂柳高速（行驶154公里）→G209（行驶7"	04:00-19:00 	"         欣欣价-广西贵港桂平西山成人票：68元起（省32元）；
特惠政策：
A.免费政策：儿童1.2米以下【含1.2米】免票；桂平辖区老年人60周岁及以上（含60周岁）凭有效证件免费；现役军人、残疾人、记者凭有效证件免票；
B.优惠政策：儿童1.2米以上【不含1.2米及学生凭本人学生证购票50元/人。非桂平辖区户口的60周岁以上（含60周岁）老年人凭有效证件购买老人票50元/人。（上述优惠政策，需到景区自行购买） "	70	373	373	2
广西龙潭国家森林公园	 广西·贵港 广西壮族自治区桂平市中山北路114号 	贵港	森林 峡谷 瀑布	"广西贵港市龙潭国家森林公园内群山连绵、峰峦叠嶂、千峰如屏、劈地摩天、怪石林立、神奇峻秀。连绵的群山犹如上下飞舞的绿龙。山的脉络主次分明，层次丰富。远眺群山前拥后簇，高矮参差，绵绵不断地伸展开去。最高峰大平山顶海拔1158米，相对高度780米，四周众山簇拥，呈现出一派顶天立地的雄伟气势。
高峰下临深谷，幽潭傍依天柱。这里峡谷遍布，狭窄的峡谷在群峰之间，曲折回绕。游人穿行于峡谷中，忽而从险峻的、满是荆棘的山坡间走过，忽而涉足于溪流之中，忽而在尖突的岩石潜行，涛声、溪水声交融在一起，在湿润的空气中回荡。空气中弥漫着多年苔藓的清香，泥土的芬芳，一派原始、自然的气氛，野趣浓郁。在这远离尘嚣的山野去处，呼吸着清新的空气，静观满目浓荫，听着鸟叫蝉鸣，整个身心仿佛都被大自然洗涤干净，为其融化，进入了忘我的境界。
"	自驾：桂林——桂海高速/两江机场方向——僚田互通式立交中桥朝柳州/G65/G72方向——僚田小桥从入口进入桂林绕城高速公路——冲口村分离立交小桥朝南宁——三仟分离立交中桥朝柳州/柳江/象州/宜州方向——柳州/象州/G209方向——进入三江至北海高速公路——三仟分离立交中桥朝象州/武宣方向——G209——S307——X614——S334——终点。	8:00-17:00 	"         特惠政策:
A.免票政策：儿童身高1.2米以下免票。
B.优惠政策：老人60岁以上持老年证、军官持军官证、学生持学生证购景区优惠票。（上述优惠政策，需到景区自行购买） "	50	309	309	3
桂平大藤峡	 广西·贵港 广西贵港市桂平县 	贵港	森林	在桂平县西北的黔江下游、武宣县勒马至桂平县弩滩之间。传原有大藤如斗，横跨江面，昼沉夜浮，供人攀附渡江，故名。 大滕峡河道曲折，江流湍急，四面高山环绕，峰峦叠嶂，绵亘数百里。北通罗渌三峒、紫荆、罗运等三十六弄场，南通龙山、八寨，岩洞数以百计。而九层楼、仙人阁、三妹洞尤险，是明代大藤峡瑶、壮、汉各族农民起义活动的中心。明王朝先后派韩雍、陈钧、王守仁率重兵镇压，改大藤峡为断藤峡，并在崖壁刻“敕赐水通峡”五大字。	"江口车站
1. 从起点到X348
1) 从起点向西北方向出发，沿Y318行驶1.2公里，稍向左转进入S334
2) 沿S334行驶11.2公里，左前方转弯
3) 行驶1000米，右前方转弯进入X348
2. X348到终点
1) 沿X348行驶13.3公里，过左侧的石蓬约300米后，右转进入Y305
2) 沿Y305行驶7.2公里，到达终点"	8:00-15:30 	     65元起 		359	359	4
贵港南山寺	 广西·贵港 贵港县城东南约3公里的南山公园内 	贵港	NA	南山位于贵港县城东南约3公里的南山公园内。南山海拔70米，为郁江畔24峰之冠。山上奇岩峭壁，杂树间生，景色雅致。相传昔有不老松，今半山尚有“不老松”崖刻。山前山后有岸洞11个，洞中多有宋以来题刻，观音岩内还有姿态各异的十八罗汉塑像。登临山巅，可鸟瞰全城。 南山寺于南山上，始修于宋朝，宋太宗赐御书，宋仁宗题“景佑禅寺”额匾。元文宗即位前两次住寺，题“南山寺”，称南宗正脉，是西江重要佛寺。“山明水秀本从来，云水光中计四峰”。寺依山踞洞而建，门外有菩提树，寺内曲径通幽，有宋、元、明、清石刻百余方和北宋天圣三年（1025年）大铁钟等历史文物。洞内钟乳石丰富多姿，有飞来佛、石狮、石象、石鲤等，另有晋代葛洪炼丹遗址和流米洞遗迹。南山寺历代为旅游胜地，今寺内石刻与宋代铁钟为自治区重点文物保护单位。		NA	NA	NA	336	336	3
广西桂平金田起义旧址	 广西·贵港 广西桂平市北部金田镇金田村西侧的犀牛岭上 	贵港	红色旅游	"广西省贵港市桂平金田起义旧址距桂平市城北28公里处，是 1851年1月11日爆发的我国历史上规模最大、影响最深远的太平天国农民起义所在地。现有起义陈列馆、洪秀全像以及古营盘、韦昌辉故居、三界祖庙、练兵场、风门坳古战场、犀牛潭等多处遗址。
金田起义地址是当年太平军誓师起义的地方，遗迹犹存，古松参天，绿草如茵，经多年建设，设施日臻完善，这里已成为人们瞻仰观光、学术研究，进行爱国主义教育的好场所。金田起义地址1961年国务院公布太平天国金田起义地址为全国重点文物保护单位。
我国历史上规模最大的一次农民起义太平天国革命，于1851年1月11日在本县金田村爆发。金田村位于紫荆山南麓，县城以北27公里，村中的韦昌辉故居遗址和村边犀牛岭上的古营盘、练兵场，不远的紫荆山区，以及附近的新圩三界庙、江口石头脚等处，都是当年太平天国进行重要活动的地点。其中金田起义地址已于1961年被列为全国重点文物保护单位，新圩三界庙列为自治区级重点文物保护单位，国内外前来参观游览的人，络绎不绝，着名史学家胡绳、罗尔纲等，都曾来此进行学术考察。据不完全统计，1978年至1987年，共接待美国、英国、日本、加拿大、澳大利亚、法国、瑞士、民主德国以及非洲的一些国家的专家、学者和友好人士250多人，1987年接待国内外游客约1．3万人次。
"	在桂平总站可乘到金田的专线车。	9:00-17:00 	     欣欣价-广西贵港桂平金田起义旧址成人票：8元起（省15元）； 		305	305	4
贵港平天山国家森林公园	 广西·贵港 贵港市城区以北4公里的覃塘管理区覃塘镇根竹乡 	贵港	草原	"国家级森林公园，距贵港市区20公里，是贵港市方圆70公里内唯一的山岳型自然风景区。平天山国家森林公园总面积16.76平方公里。园区山峰属中山地貌，主峰大平天海拔1157.8米，为桂东南第二高峰，是观赏日出、日落及远眺郁江平原的最佳观景点，公园山脉绵延，纵横交错，地势东南高，西南低。平天山动植物资源丰富，种类繁多，有桫椤、格木、喜树、海南五针松、罗汉松等珍稀植物和18种国家二级保护的兰科植物，形成了色彩斑谰的森林景观；还有虎纹蛙、山瑞、猕猴、穿山甲、小灵猫、苏门羚等国家二级保护动物。公园森林密布，内空气清新，负氧离子含量高，有""自然空调，森林氧吧""之称。平天山既是科考、野营、教学的重要场所，又是旅游度假、休闲娱乐的理想胜地。公园内的主要景点有""高山草甸、仙女浴池、仙人瀑布、林海奇景、平天大峡谷、奇石清溪、桫椤群落、高山茶园、沟谷雨林、南天门、石人石马、黄三立寨遗址""等众多的自然景观和人文景观。景区内每年4～5月举行平天山杜鹃花节，6～9月举办森林浴旅游活动，9月举办平天山登山节。高山大草甸：位于大平天山顶，海拔1157米，面积3500多亩， 为广西面积最大的高山草甸，草甸早晚云雾缭绕，一年四季均绿草茵茵，景似天上人间。仙女浴池：位于仙人谷中下部，直径3米左右，深度5米左右，山泉瀑布凌空喧腾而下，似龙王爷喷珠吐玉，水质清澈甘洌，凉爽宜人。仙人瀑布：从仙人谷朝大平天方向溯溪而上，位于海拔597米的两溪交汇处。山泉水从断崖倾泻而下，凌空飞泻，形成落差30多米的瀑布。"			15		333	333	5
北回归线标志公园	 广西·贵港 广西桂平市城东区约5公里石咀镇小汶村南梧二级公路旁 	贵港	公园	"位于桂平城区东郊8公里的石咀镇小汶村南梧二级公路旁。北回归线标志的东西方向嵌有宽5厘米，长20多米的北回归线标志指示线，也是热带与温带的分界线，站在这里，可以一只脚踩在热带上，另一只脚踩在温带上；站在标志正中的桂平点上发音，声音特别洪亮，好似使用麦克风一样，在该处相距32米的南北两地说悄悄话，竟似通电话般清晰，这是全球9个北回归线标志中唯一有强回音的标志塔。
"	8路公交直达（北回归线公园---西山风景区）。	7:30-16:30（换票时间） 	"     欣欣成人门票价：8元起（省2元）；
特惠政策：
A.免费政策：1.2米以下儿童【含1.2米】免票，60以上老年人、军人、记者、残疾人士凭有效证件均免票；
B.优惠政策：学生凭有效证件可购买半价票（5元/人，自行购买）（上述优惠政策，需到景区自行购买）。 "		332	332	4
桂平白石山	 广西·贵港 广西贵港桂平市城东南35公里 	贵港	洞穴 山脉 道观	白石山，道书称白石洞天，是中国道教三十六小洞天中的第二十一洞天， 名曰秀乐长真之天。座落于桂平市东南35公里的中国荔枝之乡桂平麻垌镇。 　白石山属典型的丹霞地貌，是道家活动场所，有寿圣寺、三清观、会仙岩等寺观。山以独秀和莲蕊两大石峰为主，中有五姥峰，山之东为独秀峰，拔地而起，四面绝壁，直指霄汉，海拔648.8米，相对高度500米；山之西为莲蕊峰，殊为险绝，势若游龙。山体景观独特，气势宏大，上山必经之路一线天，宽2米多，是由石峰隙形成，破壁直上约300余级，仰头上望只见悠悠白云。走出一线天，举目峭壁又是云梯，70多级石磴，是在石壁上凿出，这正是勇敢攀登者的情趣所在，登顶回首，自豪感油然而生，正是升天不信无阶级，透出风云数十层。			         电话咨询 		340	340	4
九凌湖	 广西·贵港  	贵港	NA	位于贵港市区中心东南约12公里处，距柳北公路（209国道）与贵横公路的十字交汇处3公里。湖水常年清澈无污染，冬暖夏凉。湖岸是连绵起伏的山岭，莽莽苍苍，山水相连，重峦叠翠。		NA	NA	NA	379	379	2
贵港市新世纪广场	 广西·贵港 贵港城北中山小区 	贵港	NA	占地200多亩，上世纪末兴建，本世纪初竣工，故名。广场内处处是景，点点如画，主要有：花海飘香、雕塑遐思、舞台风韵、喷泉奇观、丛林叠翠、瑶池映趣、华灯弄月等。漫步胜地，纵览美景，大饱眼福，心情舒畅。 　　广场花海，井然有序，高雅别致，由点及面，联成一体，一展如画。漫步广场，几乎步步有花赏，处处闻芳香。首先是花坛高雅，韵味幽深。花坛60多座，坛坛造型各异，典藏逸韵，耐人寻味。坛内季季鲜花怒放，姹紫嫣红；月月碧翠红霞，五彩缤纷。真是花坛胜锦屏，人若画中行。其次是盆景溢彩，日新月异。广场上摆放的盆景花卉拼装成各种图案的花饰。随着季节变化和节日的需要，花工们将精心培育的、数以万计的盆景花卉运抵这里，分别在各个景点上，构造起诸如“旭日东升”、“孔雀开屏”、“芙蓉亭亭”、“龙飞凤舞”、“春满人间”等精湛图案，经浓妆艳抹，广场更加绚丽多彩。再次是花带生辉，香飘万里。这里的花带，缭绕了整个广场，有的与路树并行，有的与芳草相伴，相互辉映，尤如秀丽的壮锦；有的以修葺花木为主，间以芊卉映衬，尤似晶莹的翡翠项链；有的形似碧玉联珠，霓虹霞霭，尤如壮观的九天银河。		NA	NA	NA	388	388	3
