title	address	city	theme	introduce	traffic_guide	open_time	ticket_information	ticket_price	ticket_total	ticket_surplus	stars
贺州黄姚古镇	 广西·贺州 广西贺州昭平县 	贺州	NA	"黄姚古镇，位于广西贺州昭平县东北部，与昭平县城及贺州市均相距40公里左右（直距），距桂林200公里。黄姚是有着近千年历史的古镇，发祥于宋朝年间，兴建于明朝万历年间，鼎盛于清朝乾隆年间。由于镇上以黄、姚两姓居多，故名""黄姚""。现已被列为省级风景名胜区。 全镇居民600多户，八条街道，房屋多数保持明清风格，由于黄姚所处特殊的地理位置，四面皆山，易守难攻，而且交通不便，所以村镇处于半封闭状态，使得古老的民居、众多的文物得以保存。抗日时期，这里被定为敌后根据地，大批爱国人士从桂林到黄姚，这些文物、故居至今仍被完好保存着，如韩愈、刘宗标墨迹，中共广西省工委旧址纪念馆、钱兴烈士塑像、何香凝、高士其、千家驹等文化名人寓所，以及许多诗联碑刻。 黄姚盛产豆豉、黄精、酸梅等。黄姚豆豉在清朝被列为皇帝贡品，在民国时，远销东南亚。豆豉宴，是黄 姚的一大特色菜系，游客到此如不品尝，实为遗憾。 近年来，黄姚古镇的绮丽风光吸引了大批的国内外游客。香港无线电视台《茶是故乡浓》、《酒是故乡醇》剧组专程到黄姚拍摄外景。现已被列为省级风景名胜区。"	贺州往黄姚有两条路：一条是从八步先到钟山，路程为40公里，车行约50分钟，票价4--5元，再乘从钟山往巩桥的班车，经过同古等地，在到达巩桥之前6公里处便是黄姚，这一段路程为50公里，班车行约2.5小时，票价8元，这一路路况较好，推荐来回都走这条线路。另一条路是从八步搭到巩桥的班车，路程为66公里，票价8元。巩桥到黄姚有很多电三轮车，约5公里路程，每人一元就可到达。离开黄姚的班车也是以上两条线路。黄姚直接到八步的班车最早班是6：30，9元/人。车速慢，有时甚至不开，不推荐；从巩桥去钟山的班车最早的班次是7：50经过，在县政府门口或路边就可以等到，最好提前15-20分钟，这个班次比较稳定。黄姚到钟山每天有3班车：8：30，11：30，3：00。	NA	NA	NA	306	306	5
浮山风景名胜区	 广西·贺州  	贺州	NA	位于贺街镇临、贺两江交汇处。相传浮山建寺至今，不管遇多大的山洪，从未被水淹过，浮山始终浮在水面之上。浮山四周悬崖峭壁，奇险无比，山门石边的沧浪亭，刻有李济深先生手书的“浮山”二字以及历代书法家的作品。山上有环碧亭、陈侯祠、对歌楼、钓鱼台等建筑。	从贺州汽车站坐去贺街的车，约1小时，2.5元，在贺街坐船到浮山，来回约2小时，但要等时间，包船比较贵，100元/次。	NA	NA	NA	399	399	4
贺州客家围屋	 广西·贺州 贺州市莲塘镇 	贺州	NA		"自驾路线： 南宁桂林站：南宁至贺州全程高速，约640公里，柳州至贺州全程高速，约300多公里。桂林至贺州全程高速，约217公里！梧州至贺州二级公路（行程约165公里）    
湖南站：永州→双牌→江华→贺州（行程约280公里） 永州→宁远→江华→贺州（行程约320公里）    
广东深圳 广州站：路线一深圳广深高速约98公里→广州北环高速约23公里沙贝出口→广佛高速约7公里→广三高速高速约27公里→四会省道约58公里→广宁省道约58公里→怀集省道约33公里→广西灵峰省道约30公里→信都国道约38公里→贺街古镇国道约18公里→莲塘镇（客家围屋景区）约10公里→贺州市区    
路线二：江门-肇庆约100公里车程约1.5小时→肇庆-广西梧州市约160公里车程约2.5小时→ 广西梧州市-贺州约160公里车程约3小时→ 莲塘镇客家围屋景区约10公里车程约20分钟"	NA	NA	NA	323	323	5
贺州温泉(路花温泉）	 广西·贺州 贺州市黄田镇路花村 	贺州	温泉	贺州温泉景区位于贺州市黄田镇路花村，距市区16公里，距玉石林景区2公里，距姑婆山国家森林公园8公里，占地面积700亩。水温65℃，流量150吨/小时，含有几十种对人体有益健康的微量元素及矿物质。 贺州温泉景区依山傍水、层林叠翠、溪流飞瀑，田园风光十分迷人。置身于云雾飘渺、蒸腾不息的温泉中，世俗烦恼尽逝；如梦如幻、其乐融融；时尚生活享受等您来…… 贺州温泉景区拥有温泉区、温泉宾馆（2005年春节开业）、温泉餐厅、溪流飞瀑区（2005年3月开放）。集食、住、游、浴为一体，是您理想的旅游、会议、休闲、度假之胜地。	"贺州温泉自驾车路线：  
广州→三水→四会→广宁→怀集→信都(广西)→贺州(广西)"	08:00-22:00 	"     50元，另付费项目：鱼疗，需自带泳衣。A.免票政策：儿童身高1.2米以下免费。
B.优惠政策：儿童身高1.2—1.4米购景区优惠票 "	42	393	393	4
贺州姑婆山	 广西·贺州 广西省贺州市姑婆山自然保护区 	贺州	森林 瀑布 漂流	"姑婆山国家森林公园位于广西东北部，湘、桂、粤三省交界处的萌诸岭南端广西贺州市境内，距市区中心仅21公里，地处香港--广州--桂林这一黄金旅游线中间站上。总面积8000公顷，具有峰高谷深，山势雄伟，森林繁茂，动植物丰富，瀑飞溪潺，环境幽雅等特点，""雄、奇、秀、幽""于一体，兼有山水型，城郊型公园之特点。 公园具有雄伟的山体，海拔千米以上的山峰有25座，最高峰天堂顶海拔1844米，是桂东第一主峰，多资多彩的瓦窑冲奔马瀑布、仙姑瀑布、罗汉瀑布、银河落九天瀑布、""二毫半""瀑布、母子瀑布、鸳鸯瀑布等各具特色，蔚为壮观、公园气候宜人，年均气温18.2℃，冬暖夏凉，是良好的疗养保健场所。
欣欣旅游推荐看点
仙姑庙景区
仙姑庙景区，庙建于半山之上，在绿树掩映下清雅如仙境，上庙的台阶层层叠叠。
九铺香酒厂
《酒是故乡醇》外景地九铺香酒厂早已久负盛名，这里有古朴的水车，免费品尝的好酒。热情大方的讲解员会为你一一道来酒中乐趣。更可在酒厂内参观古老的手工酒坊。当然在这里游客可以亲手试一试剧中的那些道具水车、洗米池、酒车桶等，感受一下九铺香的清纯朴素。
双龙漂流中心
漂流是很刺激的运动，公园内的双龙漂流中心可以让你顺着姑婆江体验姑婆山的惊险溪谷，碧波玉潭，葱郁山涧。
情人林
情人林里面树木成双成对而长，或依附、或攀连缠绕，宛如一对对热恋的情侣，是休闲、烧烤、游泳的好去处，有天然的游泳场和烧烤场，全家人一起欢乐野餐，其乐融融。
方家茶园
方家茶园是《茶是故乡浓》的外景地，可以去这里品尝当地的姑婆山茶。一到这里，好客的客家阿妹就已经把你招呼上茶室，走过层次分明的茶园小道，来到半山上的茶室，阔大的茶园一眼尽收，美景加品茗，旅游的劳累尽已忘却。
锦绣村
《春蚕织梦》主要外景地“江南水乡”――锦绣村。这里有着江南水乡的风格，精巧别致。可在这里观赏江南特色建筑，体验水乡的宁静。
瓦窑冲景区
瓦窑冲景区可以遇到顽皮的弥猴和看到极具气势的奔马瀑布。建议进瓦窑冲之前购买好花生或者玉米，看着猴子们讨吃的可爱样子，你就会明白什么叫“礼多猴不怪”了。步行往奔马瀑布，远远就可以看到一匹白布挂于山间，等走近瀑布，感受到瀑布带来的山风，耳边只有水打击山石的轰鸣，犹如万马奔驰。
仙姑瀑布
姑婆山内瀑布虽然有十几处，但是最壮观、最自然、最美丽的就只有仙姑瀑布了。高约30米的仙姑瀑布，水质洁净清凉，可以直接饮用，让人倍感甘甜。远看密林深处，凌空飞奔出一条""白龙""，银光闪闪，先将头伸下山崖40米，再小心下降40多米，往山下飞奔而去。瀑布落差80多米，宽5米，分上下两段，轻飘而止，如烟似雾；峡谷两侧，古木参天；萝藤悬挂绝壁郁郁葱葱，奇形怪状的树木点缀着断崖绝壁，与飞瀑溪流组成一幅美丽的山水画卷。
此外，登姑婆还有其它三处美景：山顶峰――姑婆顶、最高峰――天堂顶、姑婆江。
"	"1、在贺州汽车站有旅游车直接到姑婆山，行程50分钟，一般车次是从7：00～15：00，票价6元（春运价格有所变动）。从姑婆山回贺州的最后一班车是17：30。
2、出租车从贺州到景区，30～40元。"	7:30—17:30 	         欣欣成人门票价：98元起（省27元） 		376	376	3
江氏客家围屋	 广西·贺州  	贺州	NA	位于贺州八步莲塘镇，是目前中国保存最完整、规模最大、历史最悠久的古建筑之一。该围屋建于清朝道光年间，整个围屋占地三十多亩，分北、南两座，相距300米，围屋四周有3米高的围墙与外界相隔，屋宇、厅堂、房井布局错落有致，井井有条，上下相通，屋檐、挡风板、回廊、梁柱雕龙画凤，富丽堂皇，是典型的客家建筑文化艺术结晶。		NA	NA	NA	388	388	3
路花温泉	 广西·贺州  	贺州	NA	位于贺州市区至姑婆山国家森林公园必经之地——黄田路花村。它三面环山，一面临溪，瀑飞溪潺，层林叠翠，地下温泉资源丰富，是桂东南著名的旅游疗养胜地。贺州温泉泉水流量为120吨/小时，水温摄氏60度，含硫量1.5毫克/升，水中还含有锌、锰、铁等38种对人体有益的矿物质。	在贺州汽车站门前打车去约30分钟，20～30元即可。温泉9：00、15：00、17：00有班车到市区，车费3元，如果赶不上，让售票处帮忙叫出租车，35元回市区。	NA	NA	NA	307	307	5
贺州秀水状元村	 广西·贺州 贺州富川瑶族自治县 	贺州	NA	秀水，有相似于江南水乡风光景观，有令人神往的心动，有“宋元明清民居露天博物馆”之美称，被人认为“拥有世界最佳人居环境；具有华夏一流氏族风水；拥有岭南最佳水乡风光；具有广西一流田园风情“，自唐宋元明清五朝以来，这里竟出过一个状元和26个进士。 今天的富川秀水瑶族”状元村“已被列为广西37个重点旅游建设项目之一，并列为自治区近期培育的重点旅游区。	贺州汽车站有直达车到富川县，2小时，票价16元，最后一班到富川的直达车是19：30。在贺州车站后面有很多车，据说是30分钟一班，但有客上也就走了。在富川县坐车到朝东镇，票价6元，搭车地方，要问当地人，坐三轮摩托车一人1元就可到。朝东镇到秀水状元村，拖拉机改装的搭客车，1元，5分钟到，那些摩托车主搭人，要收10元。	NA	NA	NA	366	366	5
贺州小凉河	 广西·贺州 贺州市八步大桥头南面 	贺州	NA	小凉河因上个世纪七十年代上海电影制版厂拍摄了一部叫做《欢腾的小凉河》的电影而得名。位于八步盆地的沙田镇境内，距贺州市区仅10多公里。交通方便，线路可短可长，半日游、一日游、两日游均可。小凉河是一条常年适宜徒步观光的集河流、人文、自然风光于一体的乡村风景区。沿途两岸有百年沧桑的马峰石拱桥、穿梭400年时光隧道的龙井古民居、有清末拔贡和民国总统顾问张廷辅的故居、有天然溶洞螺仙岩、有垂柳婆娑和鸭儿戏水的河岸风光、有宽阔的沙滩、有大大小小的天然游泳池。这些人文景观任你品读，这些自然风光任你逍遥。		NA	NA	NA	307	307	3
贺州紫云景区	 广西·贺州 广西贺州市鹅塘粟木村 	贺州	洞穴 山脉	紫云景区位于广西贺州市境内南侧栗木村仙人山下，距市中心4公里，地理位置十分优越。主要景观由次生化学沉淀物形成。是一处景致集中、景物极尽造化的游览仙境，有琳琅满目的石钟乳、石笋、石柱、石幔、石琴、石鼓、莲花盆，拟物、拟人、拟仙、形态各异、惟妙惟肖、栩栩如生。洞内有宽敞的大厅、曲折的廊道、形成纵横交错的迷宫。洞内总面积9612平方米，游览道1000米。 　　 比萨有著名的斜塔，紫云洞内也有罕见的斜塔、悬塔、十几米又高又大的宝塔立于悬空石板上，让人看后心悬。南海观音一景形象如生、堪称世界溶洞奇观。五彩缤纷的钟乳石，使洞内一洞琼瑶，一路美景。			       欣欣门票价格：38元起，团体票价：35元起。 		392	392	4
