title	address	city	theme	introduce	traffic_guide	open_time	ticket_information	ticket_price	ticket_total	ticket_surplus	stars
广西钦州三娘湾	 广西·钦州 广西钦州市三娘湾旅游风景区 	钦州	避暑 红色旅游	"三娘湾位于钦州市犀牛脚镇东面约5公里处海湾边，距离钦州市区约38公里，南临北部湾，背倚乌雷山，掩映在枝繁叶茂的红树林里的海滩洁白柔软，站在如天外流星坠落海滩的三婆石上，朝可观旭日东升，晚可赏夕阳斜照；还可拜乌雷伏波庙、游威德寺、观东汉大将风采；更妙的是登上渔船出海观光，品海鲜、沐海风，观赏珍奇的中华白海豚，尽享蓝天碧海、人欢鱼跃的情趣。
三娘湾看点
三娘石
也称“三婆石”，得名源于一个美丽的传说，三娘湾原来只有三个英俊的小伙子居住，他们共在一条船上，共用一张网，共睡一张床，互助互爱，相依为命。一天，三个仙女下凡，发现这独特的海湾和勤劳英俊的帅小伙，决定下凡嫁给渔家三小伙子。玉帝得知，允许暂住三年。这三年来，丈夫出海打鱼，妻子在家织网，相亲相爱，生儿育女，过着幸福美满的生活。三年后，玉帝不见三位仙女回来，大怒之下，掀起狂风巨浪，吞没渔船。三位娘子在海边并排站立，顶着狂风巨浪，等候丈夫归来，天长日久化成了三柱并排站立的花岗岩石，大海见证了他们坚贞的爱情，这就是“三娘湾”的由来。它原来高十多米，宽二十多米，并排耸立如三根竖起的手指，在20世纪60年代破“四旧”时被毁，现在我们所看到的三娘石，是从广东龙岩洞觅得的三块与原来相貌相似的花岗岩石，当地渔民在逢年过节、出海前常常会来烧香祭拜，祈求身体健康、平安吉祥。
乌雷伏波庙
乌雷岭海拔100.8米，为广西沿海制高点，历来是兵家必争之地。登上山峰，眺望四野，海天一色，烟波浩渺，如诗如画，尽收眼底，令人心旷神怡。如遇天气晴朗，还可近看北海、钦州、防城港，是为“一山观三市”。　　乌雷岭伏波庙为纪念东汉名将马援而建“船楼横海伏波回，海上旌旗拂雾开。古自神人当血食，谅为烈士岂心哀。山连铜柱云行马，地尽扶桑浪吼雷。漫语武侯擒纵略，汉家先有定蛮才。”香火不熄—始建于东汉年间的乌雷伏波庙，在这南国海疆经受了2000年的历史风雨冲刷，在时代的沧桑变化之中，与当地渔民敬仰膜拜的三娘石一样香火不熄，着实难得。
沙滩
三娘湾的沙滩是世界上最美妙的沙滩，清澈透明的海水随海风均匀的节拍，  将黄灿灿的的沙粒冲刷成平整细腻的肌肤，一片一片让人不忍心去踩，而又忍不住要去踩，踩了之后又让人不禁后悔，后悔之后便是茫然，便是不知所措。　　三娘湾沿岸月亮沙滩长约1.5公里，掩映在椤麻防风林中的海滩呈金黄色，松软细腻；林中有古代传说的三婆娘娘（亦即三婆石）站在石船中，船上有艄工撑舵，往西有狗仔石，海中有母猪石，形似一头母猪睡在那里，石背平滑，东边有晒鱼石、东炮台，东石角等，如飞来一般突兀的石头，给海滩平添奇趣，观之令人惊叹，令人疑惑。站在巨石上，举目，海天相接，水云一色，远山含黛，浑然一体；俯瞰，潮水汹涌，水浸湾环，令人神心激荡，无以自持。紧傍三娘湾的渔村里鸡鸣犬吠，炊烟袅袅，让人领略到与都市旅游迥然不同的野趣。
母猪石（海母石）
从侧面观看此石似如母猪匍匐在在海里，旁边的几块圆溜溜的小石头如蛰伏在母猪身边的小猪仔们，其形状极似母猪带仔，且栩栩如生，传说在三娘湾人烟稀少的年代里，这里生长着大量如木盆的海蜇，海蜇吞食着在海边游玩的小猪仔，母猪为了保护小猪仔们而壮烈牺牲，小猪仔为救母猪而一同跳入海里，人们说母猪石就是母猪变的，是伟大母爱的化身，因此而得名。
风流石（八仙滩）
“风流石”又名“八仙滩”，成堆花岗岩石形态各异，有的像糕饼，有的像苹果，有的像葫芦……传说八仙游乐南海，在此歇脚小憩，无意从好奇围观的渔民中，发现了三位仙女——三娘。八仙不敢泄露天机，遗下这摊“小食”，慌乱离去，故此而得名，而村里的姑娘小伙谈恋爱，都爱到八仙滩上小座，谈情说爱，故叫做“风流石”。
天涯石（海霞石）
“天涯石”，又名“海霞石”，远望它犹如雄踞海岸的狮子，由数块巨大坚硬的花岗岩石组成。过去这里曾是镇海炮台，清朝，镇海清兵在这里布置了一门镇海大炮。如今，这块承受了战争硝烟的石块依然岿然不动地屹立在海中，它清晰可辨的斑斑弹痕，是三娘湾历史的见证。六十年代著名电影《海霞》就在这里拍摄，影片开始播放后，两个小姑娘就站在天涯石上吹螺号。
海滩防护林
三娘湾绿树成荫，郁郁葱葱，森林覆盖率达80%以上。远远望去，村中连片的木麻黄和椤麻树像把把翠绿的太阳伞伫立在碧波万顷的海洋中，在为景区增添亮丽风景线的同时，更为人们遮风蔽雨、纳凉闲谈提供了方便。而长约2公里的海滩防护林，则像一条绿色的玉带镶嵌在洁白的沙滩上。沙滩与绿带相映成趣，绿中有白，白中有绿，一年四季生机盎然。漫步林中，清风扑面，秀色可餐，沁人心脾，让人浑然忘我，流连忘返。
三娘湾海水浴场
旅游区冬无严寒，夏无酷暑，是我国海岸带热量资源最丰富的地区之一。游泳季节为4月至11月，游客可以到旅游区树林内的生态游泳池游泳，也可以到海水浴场游泳，海水浴场能同时容纳近5万人游泳，不受季节及海水潮起潮落的影响，一年四季，全天候均可以游泳。 由市政府投资2500万元， 使用面积13.05万㎡， 融防潮、护岸、生态、文化、休闲于一体的三娘湾海水浴场，历时两年建设终于建成启用， 海水浴场的建成使用，既保护了海洋生态环境，又增添了一道靓丽的海岸线，真正解决了三娘湾景区一直以来没有地方给游客游泳的难题，丰富了三娘湾景区的旅游活动，让游客不受季节和潮位的影响，随时与大海来一个亲密接触，尽情戏水，享受大自然恩赐的海水、沙滩与阳光。它的建成启用，有效地改善了三娘湾景区的环境，满足了游客的需求。
风情渔村
三娘湾旅游区中心景区为风情渔村，为此向游客推出了游文明渔村、入住渔家旅馆、撒网捕鱼、赶海拾趣、海中垂钓、挖蚝蜊、捉沙蟹等为主要内容的渔家乐活动，让游客亲自参与渔民出海捕鱼，摘鱼网，亲手加工刚打捞上来的海鲜，体验渔民打鱼的乐趣和生活方式。　　三娘湾海域是广阔富饶的渔场，旅游区内，临海而居的是有千年历史的三娘湾渔村和乌雷渔村。在漫长的海上渔业生活中，衣、食、住、行及节庆、婚俗、劳作等，形成了独特而淳朴的渔村风情和丰富多彩的渔家生活，您可以撩网捕鱼、摸虾拾贝、捉蟹踩蛤、赶海观光、踏浪逐沙、嬉水玩石，您可以参加海滩篝火晚会、喊渔家号子、跳渔家秧歌等妙趣横生、其乐无穷的活动。您还可以在沙滩小憩、沙浴、睡林中摇网床，或进行沙滩足球、沙滩排球……海霞女民兵
三娘湾旅游区是著名电影《海霞》的外景拍摄地，直到现在的三娘湾还活跃着海霞的后代-------  海霞女民兵，你在旅游区内可以看到她们巡逻和出操的表演，同时你还可以在映海霞多功能厅观看由三娘湾村全部是60岁以上老人组成的八音古乐队的风情表演。
三娘湾的传说
传说一
三娘湾有许多动人的传说，其中之一是相传三娘湾原来只有三个英俊的小伙子居住，他们共在一条船上，共用一番网，共住一个舱，相依为命。一天，三个仙女下凡，发现这独特的海湾和勤劳英俊的
小伙子，决定下嫁人间。玉帝得知,允许暂住三年。丈夫出海打鱼，妻子在家织网，相亲相爱，生儿育女，过着美满的生活。三年后，玉帝不见仙女回来，大怒之下，掀起狂风恶浪，吞没渔船。三位娘子在海边并排站着，顶着狂风恶浪，等候丈夫归来，天长日久化成三柱并排站立的花岗岩石，大海见证了他们坚贞的爱情、勤劳勇敢的象征，人们都捧来鲜花香烛敬献三娘石，常年香火不断，以表示对伟大母亲、美丽女性和坚贞爱情的向往。
不恋天堂恋三娘湾，一个美丽的传说就这样流传至今。
传说二
三娘船，三娘湾渔村的人都深情地叫她 “夫妻船”。尽管三娘船榄核一般大小，只是一只普普通通的渔船，但这船却闪耀着人性的光辉，有着一段美丽动人的传说。
相传很久以前，三娘湾没有村庄，只有一只渔船，船上住着苏、杨、李姓三位英俊的青年。他们共用一张渔网，同甘共苦，亲如兄弟。一天，他们驾船到很远的海上打渔。返航时海上突然狂风大作，巨浪滔天。他们急忙收起渔网，却捞上了三条雪白的小海豚。在海上飘荡了三天三夜，船上的东西吃光了，他们便想起了三条海豚。但当他们准备把海豚宰杀放在砂锅中烧煮的时候，看见海豚双眼流着泪水，却不忍心，便把海豚放回了海中。
小船像一片落水的叶子继续在狂风巨浪中飘荡着。正当他们陷入困境的时候，却发现了一只树木葱茏的小海岛，于是便拼命摇船靠岸登了上去，脚跟还没站稳，只见三位姑娘从翠绿掩映的屋子里走了出来，笑容满面地将他们迎进屋里，并捧出瓜果，热情款待。第二天旭日初升的时候，海上突然风停浪止。不多久，他们便离开小岛驾船返航，当回到海湾时，远远地就看见海滩上亭亭玉立着三位身穿洁白裙裳的姑娘在微笑着迎候。小伙子们好生奇怪，急忙朝着姑娘们奔去，仔细一看才发现她们就是在岛上见过的三位姑娘。原来这三位姑娘便是小伙子们放生的海豚变的，是海龙王的女儿，因为不满龙王的严厉管束，厌烦了乏味的龙宫生活，便趁着龙王不注意偷偷遛出龙宫，摇身变成海豚，想到人间走走看看，没想到却被三位小伙子的渔网网住了。不久，三位小伙子便三位姑娘结成了夫妻，用螺壳等物在海边搭起了房子，过上丈夫出海打鱼，妻子在家织网的恩爱生活。
三位海豚姑娘嫁给人间三位小伙子的事不胫而走，很快的便传到了海龙王那里。龙王听了很是生气，限令她们三天（即人间三年）后必须返回龙宫。光阴荏苒。三年时光一晃而过，姑娘们却留恋自由自在的人间生活，痴迷于美丽的三娘湾，更痴迷于各自勤劳英俊的丈夫，丝毫没有要返回龙宫的念头。龙王为此怒发冲冠，趁着三位小伙子驾船出海的时刻，掀起狂风巨浪，企图沉没他们的渔船和冲毁他们的房子，逼迫三位娘子返回龙宫。三位娘子见状，急忙伫立海滩，手牵手，肩并肩，筑起一道人墙，阻狂风挡恶浪，连续搏斗了三天三夜，但狂风恶浪一点儿也没消退，仍然不见她们的丈夫回来。第四天天将黑了的时候，波峰浪谷中飘回一只小船，娘子们喜出望外，以为各自的丈夫回来了，便齐声呼喊。可是飘回到她们面前的却是一条空空荡荡的船。娘子们看见了，悲痛欲绝，料想自己的丈夫已经被巨浪卷走了。可是她们毫不死心，仍然异口同声地继续呼喊：“回来吧，夫君！”这喊声，悲悲切切，感天恸地，震荡着大海，震荡着海空，令天地动容，令日月黯辉。娘子们泪如倾盆，洒向大海。这时龙王丝毫没有被娘子们的坚贞所打动，反而变本加厉的掀起滔天巨浪，铺天盖地扑向三娘，扑向屋子。眼看巨浪就要冲毁房子，卷走他们的孩子。在这千钧一发之际，三位娘子急忙拔下各自头上闪闪发亮的银簪，奋力掷向小船。只见小船打了几个旋转，随即沉入海底，大海顷刻间风平浪静。房子保住了！她们的儿女也保住了！可是，她们的丈夫仍然不见踪影。一个月白风清的夜晚，有位仙人飘然而至，告知她们的丈夫已经被巨浪吞没，并劝三位娘子迅速回宫。可是三位娘子仍坚贞不移，并坚信自己的丈夫会平安归来。于是她们朝朝夕夕，风雨不改，一起在海边站立，洒泪盼夫，最后滴泪成石，变成如今人们看到的三娘石。在三娘石的旁边，还有艄公石，传说便是他们的丈夫魂化而成。三娘湾、三娘船也因此而得名。
三娘湾玩法
1、与海豚亲密接触
在海豚出没的三娘湾与海豚亲密接触最令人惊喜,静静的海面上屏住呼吸,看海豚尽情嬉戏,听海豚呢喃细语,用心和他们交流,会有意想不到的收获。
2、渔家乐
人多时拉上一张大网,吆喝拉大网的调子,充满青春活力,收获希望果实;或夫妻二人携上心娇,租一渔家小船,体验夫妻渔船上优雅别致的情趣,收获万种情怀。
3、沙滩拾贝
傍晚在松软洁净的沙滩上拾贝捉虾,收获一份意外的惊喜,享受自己辛勤劳动的成果,不必担心夕阳西下,在暮色苍茫的渔村下榻,洁净简朴的渔家旅店是滨海月色星光下最温馨的家。
4、坐礁观日
以悦耳的涛声作闹钟,翌日的早晨顺着渔人的脚印到海边的礁石上眺望东方的海面,不一会便浮起一个彤红的太阳,柔和的阳光仿佛穿透世尘凡俗,亲切的海风追
5、流放情人岛
在四面环水的情人岛上柔软的沙滩嬉戏、让亲切的海风传递你爱的信息,在灿烂的阳光下绽放你爱情的花朵,或荡漾你爱情之舟,扬起你爱情的风帆。
6、林中小憩
在海边绿绿的树林中的吊床上面对古朴的渔村、奇特的礁石、柔软的海滩,把悠闲从容的渔民也当作三娘湾的景色,细细地品味、欣赏,一切烦恼、疲劳即刻烟消云散。
7、乌雷远眺
乌雷岭是广西沿海地区最高的山,是兵家必争之地,在乌雷岭上的灵犀阁眺望,海滨风光尽收眼底,心胸会是怎样的开阔与舒畅。
8、沙滩竞技
金黄的沙滩柔软而亲切,坦荡而开阔,你可以在此一试身手,玩沙滩排球、足球及其他竞赛活动,尽情释放你的活力,挥洒你的激情。
9、伏波怀古
在伏波庙前观古炮台,遥想伏波将军当年的金戈铁马,如袅袅烟云随风而去,感叹世事沧桑,告慰先人。
10、饕餮海鲜
在渔民的船边挑选你中意的生猛海鲜,找一家渔家餐馆亲手下厨,学学传统的烹饪技艺,放浪形骸尽享原汁原味的生猛海鲜,别提有多开心惬意!
11、海边戏水
将整个身心浸泡在清澈的海水里面,任三娘湾的柔波抚慰你疲惫的心灵,洗掉一身的尘埃,荡涤你烦乱的思绪,想象自己是水里的一条鱼,永远生活在三娘湾亲切的怀抱里。
"	"钦州客运站有班车直达三娘湾景区，7：00～19：00每小时一班，车票8元；景区返回市区的班车最晚到18：00。还可以到亚泰制业公司内（大花园附近）停车场乘旅游专线车直达三娘湾（非空调车），7：00～19：00每小时一班，车票6元。
自驾车的游客可沿钦——犀高速公路南行40分钟即到。"	8:00至17:00 	"       30元，10人以上可谈到22元。出海看海豚票价：坐大船50元,坐快艇60元。 "	30	377	377	5
广西钦州八寨沟	 广西·钦州 广西省钦州市贵台镇垌利村 	钦州	森林 峡谷 山脉	"广西省钦州市八寨沟位于钦州西北五十多公里的十万大山腹地的贵台镇境内，总面积三万多亩，交通方便，旅游资源丰富，气候温和。八寨沟亚热带雨林、竹林，清澈的山涧、瀑布、大小各异的泉潭和奇特的砂页岩地貌形成了桂南沿海地区知名度较高、集探险、猎奇、游泳、休闲度假、避暑、观光的旅游胜地。
"	"自驾车：
1.沿兰海高速公路行驶，朝崇左/那坡/S60方向，进入米标互通，直行进入合那高速公路；
2.沿合那高速公路行驶，从洞利/贵台/S311出口离开进入洞利互通朝贵台方向，行驶4公里左右即达。
专线车：钦州市汽车总站搭乘八寨沟旅游专线车至景区门口下车。"	8：30-17：00（周一至周五）；8：30-18：00（周末及法定节假日），电子票在营业结束前半个小时停止验票。 	"         欣欣价-广西钦州八寨沟成人票：28元起（省12元）；
A.免票政策：
1、记者：持本人有效《记者证》； 
2、导游：持本人有效《导游证》；
3、残疾人：持本人有效《残疾证》；
4、离休干部：持本人有效《离休证》； 
5、70岁（含70岁）以上老人：持本人有效《老年证》。 
6、6周岁（含6周岁）以下或身高1.2米以下的儿童。 
B.优惠政策：
1、60-69岁老人：持本人有效《老年证》；
2、全日制大学生、高中生、初中生：持本人有效《身份证》或《学生证》； 
3、现役军人： "	45	319	319	3
钦州六峰山	 广西·钦州 广西省钦州市灵山县六峰山景区 	钦州	森林 山脉 亭台楼阁	"广西省钦州市六峰山包括以“石六锦屏”六峰山为主体的六峰公园、花石山、凤凰山、翠壁峰、环秀桥和江滨公园的大型景区，总面积54万平方米，1998年10月，被列入广西滨海旅游区。
六峰山在灵山县城西侧。海拔约180米，有龙头峰、凤尾峰、龟背峰、芙蓉峰、冲霄峰、鹤立峰六峰。有诗曰；“一山国如药，跗萼环诸峰。峰峰削青黛，簇簇金芙蓉。”山中有明正德间（1506-1521）建的北帝庙，清代建的六峰宝山牌坊。黄华石室，传为明成化间（1465一1487）本县佛子乡狂木村黄华在此发奋读书10年，终而有成，丁未年中榜，惜未廷试而卒，向为热心功名、好学之辈所凭吊。六峰有摩崖碑刻30余方。北帝庙《西灵名山记》碑，清乾隆间（1736-1795）廉州知府康基因书，字体刚劲，是灵山境内现存书法名碑。明嘉靖间（1522-1566）摹刻琅邪山吴道子观音像，头戴凤帽，大面垂耳，交手于前，赤足踏浮云，序曰：""昔人评吴道子画人物，如从灯取影，不差毫末。""
"	自驾路线：从环秀路-江北路-公园路-终点。	7:00-19:00 	"         欣欣价-广西钦州六峰山成人票：15元起（省5元）；
特惠政策:
A.免票政策：儿童身高1.2米以下免费。
B.优惠政策：儿童身高1.2—1.5米购景区优惠票（具体优惠政策以景区为准，需到景区自行购买）。 "	18	360	360	5
广西烟霞山风景区	 广西·钦州 广西钦州市灵山县烟墩镇 	钦州	瀑布 山脉	"广西烟霞山风景区位于广西钦州市灵山县烟墩镇，其地貌是由红色砂岩构成（形成于6000万年前的河、湖中），经过百千年的流水塑造形成巍峨独特的地形，地理学称为丹霞地貌。且发育典型、类型齐全、形态丰富、具有雄、奇、秀、险、幽、奥、旷等特点，如神似老人脸庞的老子峰、阳刚奇特的擎天一柱、秀丽雄伟的花龙岭等丹霞奇观。奇山亦有妙水，如流觞曲水般的银柳瀑布，柳暗花明的洞天瀑布，潺潺如歌的梦蝶瀑布，无一不显丹霞生态景观之美。
烟霞山风景区自然生态动植物资源非常丰富，如野猪、猪仔狸、白鹭、豹猫等多种珍稀野生动物及野生石斛、金银花、田七、灵芝草等多种名贵中草药植物。
景区秉持着乡村与生态相结合的建设理念，融入本土民俗文化特色，开展跳岭头、烟墩大鼓表演等非遗文化项目展示，设有民俗博物馆、各类科普教育活动场地。
配备野外烧烤、农家乐、荔枝等农作物采摘、野外露营、运动拓展、动物逗趣等野趣项目。实属亲子游玩、野外拓展采风、乡村生态游玩休闲度假的上佳选择。
"	"自驾路线：
①朝南宁国际会展中心/G80/广昆高速/G72方向-直行进入泉南高速公路-朝柳州/梧州/G80/G72方向-朝柳州/桂林/梧州/广州方向-朝钦州港/防城港/北海/湛江方向，靠右进入六钦高速公路-从新福/沙坪/刘圩出口离开-S103-朝灵山方向，靠右-根据景区指示牌指引，到达游客服务中心。
②向西南方向出发，行驶140米，左转进入迎宾街-左转进入北部湾大道-直行进入钦防高速公路-大牛冲桥靠左-朝北海/钦州方向，靠右进入兰海高速公路-在茶山江大桥靠左-朝柳州/桂林/S43方向，靠右进入六钦高速公路-从新福/沙坪/刘圩出口离开-行驶1.3公里，左转进入S103-朝灵山方向-根据景区指示牌指引，到达游客服务中心。"	9:00-17:30 	"       A.免票政策：儿童身高1.1（含）米以下免景区大门票。
B.优惠政策：儿童身高1.1-1.5米、全日制在校学生凭本人学生证、60周岁以上老年人凭老年证、现役军人凭军官证购景区优惠票（可网络预订优待票）。 "	25	306	306	4
钦州麻蓝岛	 广西·钦州  	钦州	NA	麻蓝岛又名麻蓝头，是钦州湾上的一个海岛，位于钦州市犀牛脚镇的西北角，乘坐游览船半小时可到达。该岛酷似一个牛轭，最宽处４００多米，最窄处２００多米，岛上有一座面积约８万平方米的小山，登上山顶就可饱览大海景色。岛上种植有马尾松、美国湿地松等树木，绿地覆盖率达80%。 岛的西北面为一大片沙滩，宽阔平坦，沙质金黄，是天然海滨浴场，西南面为礁石群，礁石千姿百态，奇形怪状，东面则为一大片极为壮观的红树林。 这一带还盛产“三沙”：沙虫、沙钻鱼、沙蟹，名扬海外。该岛是钦州新开发的旅游度假村、旅游配套设施正不断完善。	乘车至钦州港码头，乘游船半小时可到达，船票30元每人，300元每船；返回时间要事先定，一般上午去，当天下午返回，如要住宿，次日来接需要加钱。也可到钦州客运站乘车前往犀牛脚镇（近三娘湾），在附近的大环村等沿海渔村乘渔船前往，5元/人。	NA	NA	NA	360	360	2
大芦村古宅	 广西·钦州  	钦州	NA	大芦村位于灵山县东郊8公里处，号称“荔枝村”，这里最值得一游的是有着丰厚历史文化底蕴的古文化住宅群，大芦村劳氏古宅共有九个群落，分别建于明清两代，古宅依山傍水，古静幽深，藏有文天祥手迹等大量的文物珍品，见证着历史的辉煌，最宝贵的是这里藏有三百多副明、清时期创作的传世楹联，有着珍贵的人文历史研究价值和欣赏价值。	在灵山县城可搭三轮车前往，需12元左右。（钦州客运站到灵山县巴士：车票22元，车程1小时）	NA	NA	NA	375	375	3
钦州刘永福故居	 广西·钦州 广西钦州市板桂街10号（古称下南关） 	钦州	NA	故居又名三宣堂，在钦州市。刘永福在越南抗法战争中屡立战功，被越南王封为三宣提督，其故居则据此命名。刘永福（1837-1917），字渊亭，广西上思人，雇工出身。1857年，在太平天国革命影响下参加天地会起义军。1864年在归顺州（今靖西）安德组织黑旗军。在中法战争中，率领黑旗军与法国侵略者抗击，先后取得罗池大捷、纸桥大捷等，还抗旨保台，打击日寇，是著名的爱国将士。 　　三宣堂不仅是爱国主义教育基地，还具有很高的艺术价值。它建于1891年，占地面积22776平方米，建筑面积5622.5平方米，有大小厅房119间，用料考究，造型端庄而朴实，规模宏大，布局独特。主屋分三进，坐北朝南，为中国式圆柱瓦檐，墙上有圣贤豪杰、文武将臣、彩凤仙鹤等一百多幅画，金饰彩绘，神韵优雅，栩栩如生，与雕梁画栋交相辉映，既有晚清风格，又有民族特色。四周有高墙炮楼，正屋前有广场照壁，四周有花草树木，是一座气势不凡、宏伟富丽、典型古朴的建筑。		NA	NA	NA	369	369	3
三宣堂(刘永福故居)	 广西·钦州  	钦州	NA	三宣堂是刘永福以其在越南抗法屡立战功，被越南王封为三宣提督而命名的，位于钦州城南板桂街，主建筑为晚清风格厢房，内有圣贤豪杰、文臣武将、彩凤仙鹤等一百多幅图画，四周有高墙炮楼，正屋前有广场照壁，与四周花草树木交相映衬，美观典雅。	钦州市内可搭三轮车到达，3元。	NA	NA	NA	399	399	4
钦州灵东水库	 广西·钦州 钦州市灵山县城东14公里 	钦州	NA	又称“东湖”，位于灵山县城东14公里，在号称灵山第一峰的罗阳山翠峦环抱中，高山出平湖，水色湛蓝，似是一面明镜。 　　该水库始建于1958年，当时全国兴修的十大水库之一，景区总面积728万平方米，现在已建设成为以灌溉防洪为主，兼发电、种养、旅游等综合利用，风景秀丽的人造湖，是水利部重点联系的大型水库之一，被列入广西滨海旅游风景区。 　　水库东西走向，呈狭长形，水平直线长15000米，最宽处3150米，水面面积667万平方米。水云间15个岛屿，大则几千平方米，小则几百平方米，在水中央的天湖岛上建有天湖岛度假村。水库大坝高30.6米，坝顶长1824米，巍横贯南北。坝堤西下三级斜坡，植草披绿，宛如凭空悬挂着一张宽幅的驼绒壁毯。坝堤临水一面以大石块镶嵌，侧看恰似巨龙卧波。大坝两端还建有东湖阁宾馆、东湖阁、东湖度假村和灵湖茜苑。		NA	NA	NA	312	312	5
钦州椎林叠翠	 广西·钦州 钦州市浦北县 	钦州	NA	纵贯浦北县境中南部的五黄岭山脉生长着20多万亩连片原始红椎次生林，它们躯干挺直粗大（有的要两三人才能合抱），参天耸立（有的两三丈高），枝条多而紧凑，叶子青绿密集而细长，每棵树都象一把翠绿的巨伞，遮天蔽日。从山下往上看，那葱茏翠绿的椎林，顺着由低到高、蜿蜒起伏的山势，漫山遍野，密密匝匝、层层叠叠地生长，一望无际。这一片红椎林海，堪称中国一绝。由省道20123线（寨圩至张黄）61公里处叉路口向西走4公里村道，便到了处于五黄岭的中心地带的龙门镇茅家村。在这里，游人可领略到瑰丽奇伟的“椎林叠翠”自然景观。		NA	NA	NA	363	363	5
