title	address	city	theme	introduce	traffic_guide	open_time	ticket_information	ticket_price	ticket_total	ticket_surplus	stars
防城港九龙潭漂流景区	 广西·防城港 广西防城港市那良镇里火村 	防城港	漂流 避暑	"九龙潭漂流景区，位于广西东兴沿边公路那良镇十万大山脚下，距南宁、北海、钦州均在100公里上下，交通十分便捷。 九龙潭漂流总长5公里，落差180米，漂流时间约2小时，两岸有奇石、果林，漂流忽转忽旋，急驰而下，大浪扑面，让你秒秒钟嚎吼与尖叫，险滩充满刺激。时而惊涛拍艇，卷起千堆雪，时而堕入深潭，天光云影，徘徊其间，在这里你可尽显男儿本色、女性的飒爽英姿。 进入险滩，两岸峰森之中，奇石林立、果园飘香，天光云影，徘徊其中，充满了激情与浪漫……九龙潭漂流区沿途有10余滩，20余潭,30余湾。峰回路转，艇移暗迁，是前段峡谷中最为精彩刺激的一段。
温馨提示：
①漂流一天有三次，时间为10:00；14:00；16:00，漂流用时大概1.5至2个小时左右。
②请务必携带好身份证，请带好一套换洗的衣服，一双拖鞋和毛巾等。
③患有心脏病、精神病、高血压、痴呆、酒精过量及残疾者禁止漂流；12岁以下、身高不足1.4米的儿童，65岁以上老人及孕妇谢绝漂流。
④漂流过程须穿戴好救生衣及安全帽，要抓紧皮艇内安全扶手；不可站立或做过于兴奋的举动；不可在漂流途中上岸进入丛林，以免发生意外；皮艇应保持适当间距，以免发生 卡船、翻船现象。若不幸翻船也不要惊慌，应立即走回岸上，会有工作人员帮助您。
⑤忌水物品及贵重物品请不要带往漂流，如手机、相机、车钥匙等。
⑥要尊重当地民俗民风，不可毁坏民居民房等。
"	"自驾路线：
钦东高速公路（防城港收费站）→北部湾大道→西湾跨海大桥→防东一级公路→沿边三级公路→九龙潭景区
乘车路线：
游客可先在防城汽车总站（直达）、防城第二汽车站（普通）、港口汽车站（直达）乘车前往东兴市，然后再换乘九龙潭漂流专线大巴，开车时间为7:20、9:30、12:00、13:00、5:30
交通指南：
九龙潭位于防城港市东兴的西部，距东兴市区约30公里，距防城港市区约80公里，距北海、南宁均为约200公里。"	8：00—19:00 	"       欣欣价-九龙潭漂流门票：100元起（省68元）；
景区统一售票，暂无优惠政策。 "	60	306	306	4
防城港火山岛旅游度假风景区	 广西·防城港 广西防城港市港口区光坡镇红沙村 	防城港	NA	火山岛，当地俗称“六墩岛”，由6座相连的小岛组成。传说在很久以前，在这里的一条小龙，爱上了天宫里的仙女，经常跑到天上与仙女相会，犯了天条。玉皇大帝一怒之下追到这里，把小龙砍成六截，化成六座小岛。传说，那位仙女经常来到这里，祭拜小龙，因此小岛也沾染了一点仙气。 　　因此，火山岛的条件得天独厚，周围的海水清朗而湛蓝，岛沙滩细软柔和，50万年前的火山运动生成的岩石，经由海水冲刷多年后有着没有的纹理。火山岛岸边鸟声唳唳，是白鹭的长居之所。岛上树木葱翠，树木种类繁多，更有平常不多见的热带野果，是名副其实的火山岛。在岛上，特别是海面上吊养大蚝的一片片浮排，和插养在滩涂上的一块块蚝田，也是一幅壮观的景象。风平浪静的海湾，碧蓝的海水轻轻地摇曳着沉睡的万亩大蚝排，洁白的海鸥不时的掠过海面，满载而归的鱼船缓缓游入港湾…… 　　鱼家乐旅游是火山岛的一大特色，不可不尽兴而归，如果只想散散心，那就任由自己沉浸在岛上迷人的风光里，或是赤着脚在细柔的沙滩上散散步。站在火山岛的小山上极目远眺，还可望见附近几座葱翠仙灵的小岛和现代化的钦州港口。		NA	NA	NA	389	389	4
野人谷漂流	 广西·防城港 广西防城港市那良镇那楼村 	防城港	峡谷 漂流 避暑	"广西防城港市野人谷风景区位于十万大山南麓的防城港市、防城区那良镇那楼村，野人谷自然风景区面积约150平方公里。野人谷是广西独具魅力的原生态漂流胜地。景区主要经营项目：漂流、野战、军事拓展、烧烤‘露营、餐饮等。景区里溪流纵横交错，两条软桥分别连接景区大门和餐厅，桥下潺潺流水，怪石嶙峋，周围群山郁郁葱葱，映衬景区里木结构的瑶族风情木屋，一阵阵清凉的感觉，真是个暑天度假的好去处。
野人谷漂流属于溪河自助探险河流，位于北仑河的第一大支流河上，以山河雄峻、奇石丛林、溪水湍急而闻名。漂流全部采用双人橡皮艇，漂流全程5.2公里，漂流全程需要两个小时，历经3关18滩，野人谷漂流不受那良蓄水影响，全程动水漂流，这里的险峻，溪水湍急，怪石嶙峋，漂流全程均为天然河床。野人谷漂流独有飞漂惊险落差和长达1.5公里的滚水冲浪，构成了那良最惊险刺激的漂流河段.让您放漂心灵之舟，体验澎湃激情，尽享探险征服之乐。

"	"①起始地点——名称/位置——距景区公里数——如何到达景区
东兴市——那良镇——22——东兴市客运站至那良镇公交车每15钟一趟，到那良镇之后距离景区还有2两公里。坐出租车即可到达！
②个人出行的朋友可以从南宁琅东客运中心，或者江南客运站乘坐南宁至东兴的快班，票价为55元，如果首站是防城港，也可乘坐到防城 41元/人。 
两个车站的发车时刻表附后，到达东兴后，可以乘坐东兴到那良的班车，发车时间为： 07：20 09：30 12：00 15：00 17：00 从野人谷返程时间为：08:20 10:30 13:00 16:00 18:00，一般南宁的朋友一日游过去可以漂流 14：00 ，二日游可以漂流10点那躺，时间都比较宽松。"	9:00-16:00 	         漂流168元（欣欣价：120元起），野战118元（欣欣价：80元起）。漂流+野战欣欣套票：180元起。 	60	362	362	5
防城港金沙水漂流	 广西·防城港 广西省防城港防城区那梭镇捻稳村 	防城港	漂流 避暑	"金沙水漂流全程3.9公里，总落差108米，漂流时长约1.5小时。沿途峡谷纵深，河道曲折，水质清纯，环境优美。
一路漂流，经过水流湍急处那段长达800米的滑道，水花四溅，冰爽清凉。过了滑道，接下来冲击大S弯道，急速刺激，犹如乘坐水上过山车，一路上尖叫声不断，欢笑声不断。而漂越过80米幽谧的时空隧道时，人们会有一种恍若穿越时光般的感觉，神秘而幽静。在这里，游客既能在奔腾飞跃中挑战自己的极限感受激情，又能在平缓的潺潺流水中享受远离喧嚣的宁静。
"	钦东高速公路-S312-防城港金沙水漂流	08:00~17:30 	       180元 	78	336	336	4
金沙水旅游度假景区	 广西·防城港 广西省防城港市防城区那梭镇稔稳村 	防城港	NA	"金沙水旅游度假区是集漂流运动、温泉养生、酒店度假、体育休闲、农业观光为一体的综合旅游项目。景区位于防城港市防城区那梭镇稔稳村，地理位置优越，交通十分便利。
漂流河道全长3.9公里、落差108米。目前，漂流河道已建设完成，并顺利开漂，漂流时长约1.5小时。沿途峡谷纵深，河道曲折，水质清纯，环境优美。
水流湍急处体验总长800米滑道，既刺激又安全；冲击大S弯道，使人享受宛如水上“过山车”的快感；漂越80米幽秘时光隧道，使人恍若穿越时空般的感觉。在这里，你既能在奔腾飞越中挑战极限，又能在浪激飞舟中体验激情，更能在潺潺流水中享受远离喧嚣的浪漫。
"	NA	NA	NA	NA	378	378	4
上思县百鸟乐园	 广西·防城港 防城港市上思县十万大山国家森林公园旁 	防城港	NA	"“百鸟乐园”旅游项目是利用十万大山优越的自然生态环境，建立以各种珍稀鸟类（国家二类保护的野生动物）观赏为中心主题，以休闲度假、科普教育、康体培训、绿色环保为主要内容。
并集“吃、住、玩、乐”为一体，具有参与性、趣味性、娱乐性特色的大型生态旅游度假景区。
百鸟乐园位于上思县十万大山国家森林公园旁，景区面积约为2000亩，计划投资1.5亿元，全部建成之后，园区内的各种珍稀鸟类数量将会达到5000多只，一百五十余个品种。百鸟乐园将成为国内乃至亚洲最大的、以鸟类文化为主题的旅游生态景区。
百鸟乐园是广西唯一的保护鸟类驯养、观赏基地。目前已经初具规模，游客在此可以观赏到蓝、白孔雀、鸵鸟、锦鸡、秃鹫、灰鹤等几十种鸟类。
"	"公交车
①南宁—上思：南宁江南客运站每天7:00-18:00发车前往上思县，票价50元左右，每30分钟一班，单程需2.5小时左右。
②防城—上思：防城港汽车客运站每天7:00-18:00发车前往上思县，票价35元左右，每30分钟一班，单程需3小时左右。
③北海—上思：北海客运中心每天早6:30有一班发往上思的班车，票价50元。
④上思汽车站—百鸟乐园：上思县西门汽车站乘坐“县城—森林公园”旅游专线，上、下午各两班，票价10元，车程为35公里，时间约40分钟。
自驾车
从南宁市出发到达景区大概100公里，车程约为2小时30分钟，南宁“机场高速”—“崇左、友谊关、越南”出口，进“南友高速”—约14公里“苏圩/上思”出口出，进“苏圩-上思”一级公路，大概50公里到达上思县城—上思县“龙江桥”左转，沿“江滨路”直行至“三华桥”左转——直行约3公里，“三叉路”左前方直行，沿途留意“十万大山森林公园或百鸟乐园”路标直行约30公里即可抵达。"	NA	NA	NA	314	314	5
防城港金滩	 广西·防城港 京岛旅游度假区内的万尾岛 	防城港	NA	金滩位于京岛旅游度假区内的万尾岛上，该岛地处北纬21°31’，东经108°22’，位于北回归线以南，属亚热带季风气候，日照充足，旅游季节长达８个月之久。岛上草木繁茂，四季常绿。 　金滩全长15公里，宽阔坦荡，沙质细柔金黄。绿岛、长滩、碧海、阳光，构成京岛如画景色，是天然的海滨浴场，滨海旅游度假胜地，自治区级风景名胜区。经过几年的开发，京岛旅游度假区已初具规模，旅游基础设施、接待设施、娱乐设施日趋完善，现已成为广西继北海银滩之后又一滨海旅游热点。	防城到金滩坐东兴车，在金滩路口下，在路口搭乘开往金滩的公车，很容易辨识！	NA	NA	NA	370	370	5
防城港蝴蝶岛风景区	 广西·防城港 防城港市企沙镇西万海滨 	防城港	NA	蝴蝶岛也叫天堂滩，位于防城港市企沙半岛南边，距防城港市区16公里，距企沙镇６公里，与防城港隔海相望，海上距离约1.5公里。是海滨休闲场所。沿岛沙滩长约3.5千米，滩宽250米。沙滩平缓，水浅流缓，没有旋涡。沙子银白洁净，海水清澈透底，是开展海滨体育运动的极佳场所，滨海旅游度假胜地。蝴蝶岭位于天堂滩与玉石滩交接处，涨潮时成为海岛，退潮时与大陆相连。岛上林木葱葱。蝴蝶岭是日本入侵中国大陆西南第一登陆点，在此处曾留下中国军队抗战日军的史篇，是开展爱国主义教育基地的极佳场所。蝴蝶岭四面临海，鱼产丰富，还是极佳的钓鱼场所。 游——原生态海滩海岛。西万海滨阳光明媚、沙滩无垠、波平浪静，蝴蝶岛上鲁古树影婆娑，捻子果飘香。这儿气候温和湿润，昼夜温差10℃左右，年平均温度25℃左右，空气清新，负氧离子含量是内陆城市的30—50倍，是典型的亚热带海滨气候，是都市人周末、节假日，旅游、休闲、度假的胜地！ 玩——海滩夜里烧烤、品茶、岛边垂钓、海边戏水、海里冲浪。除此之外，您还可进行排球、足球等沙滩运动，与家人、情侣、好友观看日出。涨潮时可乘船出海、网鱼、垂钓，让您真正体验一回“渔民”生活，退潮时，可步行到千米外的蝴蝶岛上观光，沿着岛边扒螺、拾贝、捡海、抓蟹。 吃——纯天然生猛海鲜。西万海滨出产的海鲜生猛肥美，从渔民船上收回刚捕获的海鲜，其味绝非海水养殖所能相媲美。真乃名副其实的纯天然生猛海鲜，再来一瓶本地特产“企沙米酒”或“鸡场米酒”，把酒临风，倾听涛声，遥看渔帆、渔火，美酒佳肴，犹入仙境。		NA	NA	NA	324	324	5
防城港十万大山	 广西·防城港 防城港市上思县 	防城港	NA	十万大山国家森林公园位于上思县西南部，距县城36公里，距南宁136公里，距旅游热点城市东兴100公里。该园地处桂林、南宁、十万大山森林公园、东兴、越南下龙湾黄金旅游线上。其前身是以水源林为管护对象的生态公益性林场――红旗林场。辖区总面积2037公顷，其中水源林1336公顷，占总面积65%，森林覆盖率达98%以上。1995年7月林场进行产业结构调整，利用森林资源和自然景观发展森林旅游业，创办十万大山森林公园。该公园座落在十万大山核心区，50年代拍摄的影片《英雄虎胆》的故事就发生在十万大山，十万大山森林公园也是该片重要的拍摄外景地。《英雄虎胆》故事片的上映使十万大山扬名全国。1996年8月，十万大山森林公园经国家林业局评定为国家森林公园。	"到十万大山一定要先到上思县，上思县县城距离广西首府南宁市仅100公里，距南宁吴圩机场75公里，距防城港市116公里，上思不通铁路，广西各地都有往来上思的巴士。 
1、各地到上思县 
南宁——上思：南宁江南客运站和上思县每天有往返的快巴，每半小时一班，单程需2小时左右，车票25元。 
防城——上思：防城港汽车站到上思县每20分钟一趟车，票价6元左右；快班车每天两班（12：20、18：00），车程2小时，普通班车需3小时。 
北海——上思：北海客运中心每天早6：30有一班发往上思的班车，票价25元。 
2、上思到十万大山 
在上思汽车站下车后乘摩托车到西门汽车站（2元），那里有班车开往森林公园，车票5元，一般要等人满后才开车；也可搭三轮摩托车去，包车20元，可坐6个人，但山路崎岖，不太安全，最好还是乘巴士。公园返回县城的车比较少，返程的时候要事先问好发车时间。"	NA	NA	NA	315	315	2
防城港大平坡	 广西·防城港 江山半岛月亮湾西南侧6公里处 	防城港	NA	大平坡位于江山半岛月亮湾西南侧6公里处，因其极为宽广而平坦又名白浪滩。白浪滩宽1―2、8公里，长6公里。沙质细软，因含钛矿而白中泛黑色。十里长滩，坦荡如坻，一和望无际，可同时供几十万人活动，是开展海滨体育运动的最佳场所。规划将其开发成环北部湾规模最大的滨海体育娱乐中心。 景点特色 大平坡---白浪滩。人称“中国的夏威夷，天下第一滩。”宽广的沙滩不但壮观美丽。而且各种车辆可以直接开到沙滩上. 白沙海湾名符其实，白沙细软，粗细均匀。 游人伫立在大坪坡洁白的沙滩上，常常可以看到一排排滚滚而来的白浪，它会激起你无穷的逸兴壮思.... 这里是海鸟的乐园，这一大奇观，使人有返朴归真，回归大自然的感觉。		NA	NA	NA	378	378	3
