title	city	hotels	hotels_price
桂林山水周边酒店	桂林	"桂林柳钢桂林疗养院, 维也纳酒店(桂林万福广场店), 城市便捷酒店(桂林瓦窑批发城店), 桂林鑫昌商务酒店, 骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林德盛便捷酒店, 桂林德天宾馆"	"128, 102, 68, 97, 75, 114, 49, 49"
漓江周边酒店	桂林	"桂林26°酒店, 桂林文文阿姨普通公寓, 桂林悦舍公寓, 星驿国际服务公寓(桂林万达广场店), 旭阳主题酒店公寓(桂林万达店), 万腾酒店公寓(桂林万达七星店), 桂林斯维登度假公寓(高新万达), 桂林万达华府SOHO公寓"	"99, 246, 219, 50, 134, 79, 126, 388"
西街周边酒店	桂林	"阳朔外泊家遇见客栈, 既见·乡榭酒店(阳朔十里画廊店), 阳朔旅安居客栈, 阳朔璞闲居采茶山庄, 阳朔盛兴阁, 阳朔蔽龙阁, 阳朔福景山客栈, 阳朔赏榕客栈"	"207, 339, 59, 438, 241, 274, 129, 55"
龙胜梯田周边酒店	桂林	"柠檬湾酒店(桂林高新万达店), 桂林美天宾馆, 浦江大酒店(桂林火车站店), 桂林南星谊美酒店, 桂林城市梦想酒店, 桂林四建精品酒店, 桂林鑫悦宾馆, 桂林豪帝宾馆"	"90, 42, 60, 68, 92, 107, 60, 150"
印象刘三姐周边酒店	桂林	"阳朔七仙峰茶园客栈, 阳朔县益佳客栈, 桂林阳朔陈家花园西街分店客栈, 桂林兴坪山水美宿渔家乐(总统之旅店)"	"142, 69, 98, 448"
象鼻山周边酒店	桂林	"柠檬湾酒店(桂林高新万达店), 桂林美天宾馆, 浦江大酒店(桂林火车站店), 桂林南星谊美酒店, 桂林城市梦想酒店, 桂林四建精品酒店, 桂林鑫悦宾馆, 桂林豪帝宾馆"	"90, 42, 60, 68, 92, 107, 60, 150"
两江四湖周边酒店	桂林	"柠檬湾酒店(桂林高新万达店), 桂林美天宾馆, 浦江大酒店(桂林火车站店), 桂林南星谊美酒店, 桂林城市梦想酒店, 桂林四建精品酒店, 桂林鑫悦宾馆, 桂林豪帝宾馆"	"90, 42, 60, 68, 92, 107, 60, 150"
七星公园周边酒店	桂林	"桂林凯嘉假日酒店, 桂林假日之星精品酒店, 桂林乐居宾馆, 柠檬湾酒店(桂林高新万达店), 桂林美天宾馆, 浦江大酒店(桂林火车站店), 桂林南星谊美酒店, 桂林城市梦想酒店"	"58, 58, 51, 90, 42, 60, 68, 92"
乐满地周边酒店	桂林	"兴安乐满地度假酒店, 七天阁商务酒店(兴安乐满地店), 兴安帝豪大酒店, 兴安福鑫宾馆, 兴安锦佳商务宾馆, 7天连锁酒店(兴安乐满地店), 城市便捷酒店(兴安店), 兴安丰泰酒店"	"400, 138, 165, 30, 49, 60, 72, 38"
世外桃源周边酒店	桂林	"阳朔鸿谊宾馆, 阳朔祥隆宾馆, 阳朔嘉诚民宿, 阳朔肖氏宾馆, 阳朔刘哥宾馆, 阳朔胡林宾馆, 阳朔诚诚宾馆, 桂林休闲驿站"	"121, 55, 98, 69, 113, 49, 109, 58"
银子岩周边酒店	桂林	"桂林柳钢桂林疗养院, 维也纳酒店(桂林万福广场店), 城市便捷酒店(桂林瓦窑批发城店), 桂林鑫昌商务酒店, 骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林德盛便捷酒店, 桂林德天宾馆"	"128, 102, 68, 97, 75, 114, 49, 49"
遇龙河周边酒店	桂林	"柠檬湾酒店(桂林高新万达店), 桂林美天宾馆, 浦江大酒店(桂林火车站店), 桂林南星谊美酒店, 桂林城市梦想酒店, 桂林四建精品酒店, 桂林鑫悦宾馆, 桂林豪帝宾馆"	"90, 42, 60, 68, 92, 107, 60, 150"
王城周边酒店	桂林	"桂林瓦窑旅馆, 维也纳国际酒店(桂林万达店), 金海宾馆(桂林瓦窑店), 桂林华安宾馆, 桂林旺鑫宾馆, 城市便捷酒店(桂林瓦窑店), 桂林祥发宾馆, 桂林春江宾馆"	"28, 113, 51, 77, 34, 68, 68, 68"
龙脊梯田周边酒店	桂林	"柠檬湾酒店(桂林高新万达店), 桂林美天宾馆, 浦江大酒店(桂林火车站店), 桂林南星谊美酒店, 桂林城市梦想酒店, 桂林四建精品酒店, 桂林鑫悦宾馆, 桂林豪帝宾馆"	"90, 42, 60, 68, 92, 107, 60, 150"
冠岩周边酒店	桂林	"桂林柳钢桂林疗养院, 维也纳酒店(桂林万福广场店), 城市便捷酒店(桂林瓦窑批发城店), 桂林鑫昌商务酒店, 骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林德盛便捷酒店, 桂林德天宾馆"	"128, 102, 68, 97, 75, 114, 49, 49"
古东瀑布周边酒店	桂林	"柠檬湾酒店(桂林高新万达店), 桂林美天宾馆, 浦江大酒店(桂林火车站店), 桂林南星谊美酒店, 桂林城市梦想酒店, 桂林四建精品酒店, 桂林鑫悦宾馆, 桂林豪帝宾馆"	"90, 42, 60, 68, 92, 107, 60, 150"
兴安灵渠周边酒店	桂林	"柠檬湾酒店(桂林高新万达店), 桂林美天宾馆, 浦江大酒店(桂林火车站店), 桂林南星谊美酒店, 桂林城市梦想酒店, 桂林四建精品酒店, 桂林鑫悦宾馆, 桂林豪帝宾馆"	"90, 42, 60, 68, 92, 107, 60, 150"
猫儿山周边酒店	桂林	"桂林原乡生活客栈, 桂林创兴大酒店, 桂林翡翠宾馆, 7天连锁酒店(桂林七星路师范大学店), 桂林荣华商务宾馆, 桂林翻滚吧动漫主题青年旅社, 桂林华侨大厦, 桂林紫藤花大酒店"	"102, 119, 48, 65, 58, 25, 159, 75"
刘三姐景观园周边酒店	桂林	"桂林聚龙宾馆, 桂林鑫豪宾馆, 桂林金三角酒店, 桂林瓦窑旅馆, 金海宾馆(桂林瓦窑店), 桂林华安宾馆, 桂林旺鑫宾馆, 城市便捷酒店(桂林瓦窑店)"	"50, 69, 68, 28, 51, 77, 34, 68"
月亮山周边酒店	桂林	"阳朔陌上美宿·云谷山居, 桂林云谷山房客栈, 阳朔东篱下度假民宿馆, 阳朔俊发客栈, 阳朔高田馨怡宾馆, 阳朔碧莲大酒店, 阳朔览月山庄, 阳朔月伴湾度假别墅"	"290, 550, 478, 111, 60, 66, 238, 194"
芦笛岩周边酒店	桂林	"桂林万成国际酒店, 桂林安琪大酒店, 港湾一号酒店(桂林民航大厦象山公园店), 柠檬湾酒店(桂林国际会展中心店), 桂林盛鑫宾馆, 桂林甲天下温馨家庭酒店, 桂林和润雁舍住宿, 桂林一壶春假日酒店"	"318, 88, 60, 70, 39, 149, 297, 60"
遇龙河朝阳工农桥漂流周边酒店	桂林	"柠檬湾酒店(桂林高新万达店), 桂林美天宾馆, 浦江大酒店(桂林火车站店), 桂林南星谊美酒店, 桂林城市梦想酒店, 桂林四建精品酒店, 桂林鑫悦宾馆, 桂林豪帝宾馆"	"90, 42, 60, 68, 92, 107, 60, 150"
叠彩山周边酒店	桂林	"桂林海悦快捷酒店, 湘文宾馆, 桂林资江假日宾馆, 桂林燕宾招待所, 桂林汇金酒店, 桂林海福宾馆, 桂林华庭主题酒店, 润东酒店(桂林高新万达店)"	"45, 86, 69, 200, 50, 50, 58, 58"
兴坪渔村周边酒店	桂林	"桂林柳钢桂林疗养院, 维也纳酒店(桂林万福广场店), 城市便捷酒店(桂林瓦窑批发城店), 桂林鑫昌商务酒店, 骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林德盛便捷酒店, 桂林德天宾馆"	"128, 102, 68, 97, 75, 114, 49, 49"
图腾古道周边酒店	桂林	"阳朔俊发客栈, 阳朔高田馨怡宾馆, 阳朔碧莲大酒店, 阳朔览月山庄, 阳朔月伴湾度假别墅, 阳朔疏影阑珊客栈, 阳朔香满楼客栈, 阳朔听月楼客栈"	"111, 60, 66, 238, 194, 110, 69, 306"
聚龙潭周边酒店	桂林	"阳朔陌上美宿·云谷山居, 桂林云谷山房客栈, 阳朔东篱下度假民宿馆, 阳朔俊发客栈, 阳朔高田馨怡宾馆, 阳朔碧莲大酒店, 阳朔览月山庄, 阳朔月伴湾度假别墅"	"290, 550, 478, 111, 60, 66, 238, 194"
两江四湖游船周边酒店	桂林	"骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林金鑫宾馆, 桂林湘桂旅馆(平山北路店), 桂林华强宾馆, 桂林德盛便捷酒店, 桂林德天宾馆, 宜诚酒店(桂林万福广场店)"	"75, 114, 68, 178, 49, 49, 49, 78"
《桂林山水间》周边酒店	桂林	"桂林柳钢桂林疗养院, 维也纳酒店(桂林万福广场店), 城市便捷酒店(桂林瓦窑批发城店), 桂林鑫昌商务酒店, 骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林德盛便捷酒店, 桂林德天宾馆"	"128, 102, 68, 97, 75, 114, 49, 49"
伏波山周边酒店	桂林	"城市便捷酒店(桂林瓦窑店), 桂林祥发宾馆, 桂林春江宾馆, 桂林和桥宾馆七星店, 桂林大树脚酒店红街店, 智佳公寓(桂林高新万达广场店), 桂林桂花舒适公寓, 桂林26°酒店"	"68, 68, 68, 62, 61, 50, 80, 99"
日月双塔周边酒店	桂林	"宜诚酒店(桂林万福广场店), 桂林桂资宾馆, 桂林明利宾馆, 桂林豪荣宾馆, 桂林桂建商务酒店, 汉庭酒店(桂林南溪山公园店), 桂林小豪庭宾馆, 桂林凯嘉假日酒店"	"78, 50, 56, 46, 88, 97, 65, 58"
龙胜温泉周边酒店	桂林	"龙胜大唐湾月夜多耶度假酒店, 龙胜温泉SPA宾馆, 龙胜半山农家乐, 龙胜泊心山舍民宿, 龙胜温泉度假中心酒店, 龙胜金泉山庄, 龙胜温泉双龙福酒店, 龙胜苗王酒店"	"80, 419, 117, 163, 406, 888, 76, 40"
刘三姐歌圩周边酒店	桂林	"阳朔月亮山客栈, 阳朔朴悦居, 阳朔新地球村度假饭店, 阳朔禧朔源月舍度假酒店, 阳朔凤楼岁月山庄, 阳朔外泊家遇见客栈, 既见·乡榭酒店(阳朔十里画廊店), 阳朔旅安居客栈"	"69, 46, 184, 324, 422, 207, 339, 59"
永福温泉周边酒店	桂林	永福金钟山假日酒店	398
尧山周边酒店	桂林	"桂林珍妮·悦舍客栈, 桂林丽斯酒店, 桂林新龙门宾馆, 桂林一家宾馆, 桂林宏都商务酒店, 桂林今生缘商务宾馆, 桂林馨梦宾馆, 桂林心感觉酒店"	"20, 60, 55, 171, 56, 50, 38, 77"
天籁蝴蝶泉周边酒店	桂林	"阳朔陌上美宿·云谷山居, 桂林云谷山房客栈, 阳朔东篱下度假民宿馆, 阳朔俊发客栈, 阳朔高田馨怡宾馆, 阳朔碧莲大酒店, 阳朔览月山庄, 阳朔月伴湾度假别墅"	"290, 550, 478, 111, 60, 66, 238, 194"
木龙湖周边酒店	桂林	"桂林汇金酒店, 桂林海福宾馆, 桂林华庭主题酒店, 润东酒店(桂林高新万达店), 桂林五丰宾馆, 桂林唯美主题酒店, 桂林聆舍精品客栈高新万达店, 桂林宜家精装小户型酒店式公寓"	"50, 50, 58, 58, 64, 70, 139, 368"
大榕树周边酒店	桂林	"阳朔七仙峰茶园客栈, 阳朔县益佳客栈, 桂林阳朔陈家花园西街分店客栈, 桂林兴坪山水美宿渔家乐(总统之旅店)"	"142, 69, 98, 448"
永福岩周边酒店	桂林	永福金钟山假日酒店	398
九马画山峡谷漂流周边酒店	桂林	"阳朔七仙峰茶园客栈, 阳朔县益佳客栈, 桂林阳朔陈家花园西街分店客栈, 桂林兴坪山水美宿渔家乐(总统之旅店), 阳朔兴坪漓江山水居客栈, 桂林兴坪山水美宿总统之旅特色民宿(渔村分店), 阳朔龙盤客栈, 阳朔兴坪宝熊庄民宿"	"142, 69, 98, 448, 109, 368, 69, 295"
虞山公园周边酒店	桂林	"桂林湘东宾馆, 格盟酒店(广西桂林中山南路火车站店), 锦江之星(桂林七星路店), 新金海大酒店(桂林火车站店), 桂林瓦当青年旅舍, 桂林帅府宾馆, 怡莱连锁酒店(桂林火车站店), 桂林鑫意宾馆"	"54, 88, 38, 60, 108, 32, 107, 40"
漓江古东周边酒店	桂林	"桂林柳钢桂林疗养院, 维也纳酒店(桂林万福广场店), 城市便捷酒店(桂林瓦窑批发城店), 桂林鑫昌商务酒店, 骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林德盛便捷酒店, 桂林德天宾馆"	"128, 102, 68, 97, 75, 114, 49, 49"
龙颈河周边酒店	桂林	"阳朔归园田居客栈, 阳朔花园小厨客栈, 阳朔龙颈河酒店"	"131, 98, 69"
象山公园周边酒店	桂林	"城市便捷酒店(桂林瓦窑批发城店), 桂林鑫昌商务酒店, 骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林金鑫宾馆, 桂林湘桂旅馆(平山北路店), 桂林华强宾馆, 桂林德盛便捷酒店"	"68, 97, 75, 114, 68, 178, 49, 49"
宋城周边酒店	桂林	"桂林柳钢桂林疗养院, 维也纳酒店(桂林万福广场店), 城市便捷酒店(桂林瓦窑批发城店), 桂林鑫昌商务酒店, 骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林德盛便捷酒店, 桂林德天宾馆"	"128, 102, 68, 97, 75, 114, 49, 49"
仙家温泉周边酒店	桂林	"平乐仙家温泉度假山庄, 平乐黄金海岸大酒店, 平乐金荣大酒店"	"368, 58, 110"
刘三姐大观园周边酒店	桂林	"桂林金三角酒店, 桂林瓦窑旅馆, 金海宾馆(桂林瓦窑店), 桂林华安宾馆, 桂林旺鑫宾馆, 城市便捷酒店(桂林瓦窑店), 桂林祥发宾馆, 桂林春江宾馆"	"68, 28, 51, 77, 34, 68, 68, 68"
南溪山周边酒店	桂林	"桂林工人疗养院住宿, 桂林柳钢桂林疗养院, 维也纳酒店(桂林万福广场店), 城市便捷酒店(桂林瓦窑批发城店), 桂林鑫昌商务酒店, 骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林金鑫宾馆"	"407, 128, 102, 68, 97, 75, 114, 68"
桂林园博园周边酒店	桂林	"柠檬湾酒店(桂林高新万达店), 桂林美天宾馆, 浦江大酒店(桂林火车站店), 桂林南星谊美酒店, 桂林城市梦想酒店, 桂林四建精品酒店, 桂林鑫悦宾馆, 桂林豪帝宾馆"	"90, 42, 60, 68, 92, 107, 60, 150"
古东森林瀑布群周边酒店	桂林	"柠檬湾酒店(桂林高新万达店), 桂林美天宾馆, 浦江大酒店(桂林火车站店), 桂林南星谊美酒店, 桂林城市梦想酒店, 桂林四建精品酒店, 桂林鑫悦宾馆, 桂林豪帝宾馆"	"90, 42, 60, 68, 92, 107, 60, 150"
穿山公园周边酒店	桂林	"桂林柳钢桂林疗养院, 维也纳酒店(桂林万福广场店), 城市便捷酒店(桂林瓦窑批发城店), 桂林鑫昌商务酒店, 骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林金鑫宾馆, 桂林湘桂旅馆(平山北路店)"	"128, 102, 68, 97, 75, 114, 68, 178"
义江缘周边酒店	桂林	"桂林罗山湖温泉度假酒店, 桂林临桂区曦阳田园客栈"	"1195, 186"
訾洲公园周边酒店	桂林	"汉庭酒店(桂林南溪山公园店), 桂林小豪庭宾馆, 桂林凯嘉假日酒店, 桂林假日之星精品酒店, 桂林乐居宾馆, 柠檬湾酒店(桂林高新万达店), 桂林美天宾馆, 浦江大酒店(桂林火车站店)"	"97, 65, 58, 58, 51, 90, 42, 60"
逍遥湖周边酒店	桂林	"花筑·桂林神龙谷青岚居度假酒店, 桂林雨禾轩庄园, 桂林车友饭庄, 桂林桂林漓江怡趣园客栈, 桂林大圩锦秀山庄"	"474, 78, 68, 368, 108"
金水岩周边酒店	桂林	"金鑫宾馆(郑州火车站店), 郑州易居酒店公寓, 郑州惠安快捷酒店, 郑州一鼎商务酒店, 郑州新通泰公寓, 郑州鑫鑫酒店公寓, 郑州鑫源酒店公寓, 郑州中原大厦天鹅宾馆"	"80, 67, 78, 56, 55, 48, 66, 80"
桂林天门山周边酒店	桂林	"桂林柳钢桂林疗养院, 维也纳酒店(桂林万福广场店), 城市便捷酒店(桂林瓦窑批发城店), 桂林鑫昌商务酒店, 骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林德盛便捷酒店, 桂林德天宾馆"	"128, 102, 68, 97, 75, 114, 49, 49"
靖江王陵周边酒店	桂林	"桂林海悦快捷酒店, 湘文宾馆, 桂林汇金酒店, 桂林海福宾馆, 润东酒店(桂林高新万达店), 桂林五丰宾馆, 桂林聆舍精品客栈高新万达店, 桂林宜家精装小户型酒店式公寓"	"45, 86, 50, 50, 58, 64, 139, 368"
荔江湾周边酒店	桂林	"柠檬湾酒店(桂林高新万达店), 桂林美天宾馆, 浦江大酒店(桂林火车站店), 桂林南星谊美酒店, 桂林城市梦想酒店, 桂林四建精品酒店, 桂林鑫悦宾馆, 桂林豪帝宾馆"	"90, 42, 60, 68, 92, 107, 60, 150"
十二滩漂流周边酒店	桂林	"桂林柳钢桂林疗养院, 维也纳酒店(桂林万福广场店), 城市便捷酒店(桂林瓦窑批发城店), 桂林鑫昌商务酒店, 骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林德盛便捷酒店, 桂林德天宾馆"	"128, 102, 68, 97, 75, 114, 49, 49"
桂林天坑周边酒店	桂林	永福金钟山假日酒店	398
穿山周边酒店	桂林	"桂林柳钢桂林疗养院, 维也纳酒店(桂林万福广场店), 城市便捷酒店(桂林瓦窑批发城店), 桂林鑫昌商务酒店, 骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林金鑫宾馆, 桂林湘桂旅馆(平山北路店)"	"128, 102, 68, 97, 75, 114, 68, 178"
丹霞温泉周边酒店	桂林	"资源安得乐宾馆, 资源山水大酒店, 资源金山宾馆, 资源风雨桥酒店, 资源新华宾馆, 资源好百年宾馆, 资源资江商务宾馆, 桂林资源青年旅舍"	"88, 68, 53, 59, 138, 49, 122, 70"
超然派周边酒店	桂林	"台州津都毅豪商务宾馆, 台州通达宾馆, 台州广丰宾馆, 台州吉梦宾馆, 台州群益旅社, 时间商务大酒店(台州石浜公园店), 台州曼尼莱国际大酒店, 南苑e家(台州路桥下里桥店 )"	"55, 90, 118, 70, 50, 85, 108, 88"
七星景区周边酒店	桂林	"桂林桂建商务酒店, 汉庭酒店(桂林南溪山公园店), 桂林小豪庭宾馆, 桂林凯嘉假日酒店, 桂林假日之星精品酒店, 桂林乐居宾馆, 柠檬湾酒店(桂林高新万达店), 桂林美天宾馆"	"88, 97, 65, 58, 58, 51, 90, 42"
龙脊峡漂流周边酒店	桂林	"花筑·龙胜龙脊龙堡壮家酒店, 桂林金竹林下农家乐特色民宿(天下桂林步行街分店), 龙胜休闲山庄, 龙胜双月阁客栈, 龙胜龙脊古壮寨水云间酒店, 龙胜龙脊小筑客栈, 桂林金竹林下农家乐, 龙胜云天大酒店"	"280, 143, 105, 68, 76, 92, 148, 120"
梦幻漓江周边酒店	桂林	"桂林柳钢桂林疗养院, 维也纳酒店(桂林万福广场店), 城市便捷酒店(桂林瓦窑批发城店), 桂林鑫昌商务酒店, 骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林金鑫宾馆, 桂林湘桂旅馆(平山北路店)"	"128, 102, 68, 97, 75, 114, 68, 178"
月岭古民居周边酒店	桂林	"桂林柳钢桂林疗养院, 维也纳酒店(桂林万福广场店), 城市便捷酒店(桂林瓦窑批发城店), 桂林鑫昌商务酒店, 骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林德盛便捷酒店, 桂林德天宾馆"	"128, 102, 68, 97, 75, 114, 49, 49"
芦笛岩周边酒店	桂林	"桂林万成国际酒店, 桂林安琪大酒店, 港湾一号酒店(桂林民航大厦象山公园店), 柠檬湾酒店(桂林国际会展中心店), 桂林盛鑫宾馆, 桂林甲天下温馨家庭酒店, 桂林和润雁舍住宿, 桂林一壶春假日酒店"	"318, 88, 60, 70, 39, 149, 297, 60"
clubmed度假村周边酒店	桂林	"Club Med桂林度假村, 桂林前海旅馆, 桂林聚缘楼住宿部, 桂林博轩便捷酒店, 云逸休闲酒店(桂林雁山店)"	"984, 79, 86, 58, 118"
叠彩伏波景区周边酒店	桂林	"桂林祥发宾馆, 桂林春江宾馆, 桂林和桥宾馆七星店, 桂林大树脚酒店红街店, 智佳公寓(桂林高新万达广场店), 桂林桂花舒适公寓, 桂林26°酒店, 桂林文文阿姨普通公寓"	"68, 68, 62, 61, 50, 80, 99, 246"
云峰寺周边酒店	桂林	"桂林柳钢桂林疗养院, 维也纳酒店(桂林万福广场店), 城市便捷酒店(桂林瓦窑批发城店), 桂林鑫昌商务酒店, 骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林德盛便捷酒店, 桂林德天宾馆"	"128, 102, 68, 97, 75, 114, 49, 49"
阳朔漓江周边酒店	桂林	"阳朔七仙峰茶园客栈, 阳朔县益佳客栈, 桂林阳朔陈家花园西街分店客栈, 桂林兴坪山水美宿渔家乐(总统之旅店)"	"142, 69, 98, 448"
